program_id	source_instruction_de	master_card_ids	semantic_atom_sequence	master_surface_sequence	card_count
U01	Setze den Posten auf Sollmaß und halte ihn länger offen.	MC120 MC002	OK+AIIN | OK+EE+Y	okaiin okeey	2
U02	Gib eine Portion zu, setze sie am Ziel an, übertrage und schließe.	MC017 MC040 MC025	OK+AIN | OK+AL | CHD+CLOSE	okain okal dchedy	3
U03	Nimm den nächsten Ansatz und halte ihn kurz bereit.	MC013 MC073	OT+OR | CTH+E+Y	otchor qcthey	2
U04	Setze diesen Posten an und führe ihn durch den Durchlass.	MC026 MC035	OK+Y | CKH+Y	choky chckhy	2
U05	Nimm ihn aus der Quelle und setze ihn um.	MC055 MC074	AR | CHD+Y	char chdy	2
U06	Stelle das Folgemaß ein und führe danach zum Ziel.	MC060 MC093	OT+AIIN | OT+AL	otaiin otal	2
U07	Lass kurz absetzen und lies danach das Ergebnis.	MC128 MC119	SHED+E+CLOSE | CHEEY	cheedy cheey	2
U08	Führe den vorigen Ansatz weiter und übertrage weiter.	MC157 MC028	OL+OR | OL+CHD+CLOSE	cholor olchedy	2
U09	Setze den laufenden Posten an und halte ihn länger.	MC103 MC002	OK+Y | OK+EE+Y	chokchy okeey	2
U10	Nimm eine Zutat und gib sie nach Sollmaß zu.	MC034 MC087	HO | HO+AIIN	cho chodaiin	2
U11	Sammle länger, schließe den Schritt und fahre fort.	MC045 MC153	SOLK+EE+CLOSE | OL	olkeedy cheol	2
U12	Übertrage den Folgeposten, bereite den Ansatz und halte ihn bereit.	MC057 MC080 MC161	OT+CHD+CLOSE | OR | CTH+Y	otchedy chor checthy	3
