program_id	renderer_id	workshop_name	source_instruction_de	card_identity_sequence	visible_surface_sequence	changed_from_master_cards	surface_ambiguous_cards	ambiguous_surfaces	surface_candidate_set_sizes	semantic_program_preserved	decode_rule
U01	R-A	VORLAGENHAND	Setze den Posten auf Sollmaß und halte ihn länger offen.	MC120 MC002	okaiin okeey	0	0	NONE	1,1	YES	VISIBLE_FAMILY_SUFFICIENT
U01	R-B	Q-EINTRITTSHAND	Setze den Posten auf Sollmaß und halte ihn länger offen.	MC120 MC002	qokaiin qokeey	2	0	NONE	1,1	YES	VISIBLE_FAMILY_SUFFICIENT
U01	R-C	S-FLUSSHAND	Setze den Posten auf Sollmaß und halte ihn länger offen.	MC120 MC002	okaiin okeey	0	0	NONE	1,1	YES	VISIBLE_FAMILY_SUFFICIENT
U01	R-D	KURZHAND	Setze den Posten auf Sollmaß und halte ihn länger offen.	MC120 MC002	okaiin okeey	0	0	NONE	1,1	YES	VISIBLE_FAMILY_SUFFICIENT
U02	R-A	VORLAGENHAND	Gib eine Portion zu, setze sie am Ziel an, übertrage und schließe.	MC017 MC040 MC025	okain okal dchedy	0	0	NONE	1,1,1	YES	VISIBLE_FAMILY_SUFFICIENT
U02	R-B	Q-EINTRITTSHAND	Gib eine Portion zu, setze sie am Ziel an, übertrage und schließe.	MC017 MC040 MC025	qokain qokal dchedy	2	0	NONE	1,1,1	YES	VISIBLE_FAMILY_SUFFICIENT
U02	R-C	S-FLUSSHAND	Gib eine Portion zu, setze sie am Ziel an, übertrage und schließe.	MC017 MC040 MC025	okain okal schedy	1	0	NONE	1,1,1	YES	VISIBLE_FAMILY_SUFFICIENT
U02	R-D	KURZHAND	Gib eine Portion zu, setze sie am Ziel an, übertrage und schließe.	MC017 MC040 MC025	okain okal dchedy	0	0	NONE	1,1,1	YES	VISIBLE_FAMILY_SUFFICIENT
U03	R-A	VORLAGENHAND	Nimm den nächsten Ansatz und halte ihn kurz bereit.	MC013 MC073	otchor qcthey	0	0	NONE	1,1	YES	VISIBLE_FAMILY_SUFFICIENT
U03	R-B	Q-EINTRITTSHAND	Nimm den nächsten Ansatz und halte ihn kurz bereit.	MC013 MC073	qotchor qcthey	1	0	NONE	1,1	YES	VISIBLE_FAMILY_SUFFICIENT
U03	R-C	S-FLUSSHAND	Nimm den nächsten Ansatz und halte ihn kurz bereit.	MC013 MC073	otchor shcthey	1	0	NONE	1,1	YES	VISIBLE_FAMILY_SUFFICIENT
U03	R-D	KURZHAND	Nimm den nächsten Ansatz und halte ihn kurz bereit.	MC013 MC073	otchor qcthey	0	0	NONE	1,1	YES	VISIBLE_FAMILY_SUFFICIENT
U04	R-A	VORLAGENHAND	Setze diesen Posten an und führe ihn durch den Durchlass.	MC026 MC035	choky chckhy	0	0	NONE	1,1	YES	VISIBLE_FAMILY_SUFFICIENT
U04	R-B	Q-EINTRITTSHAND	Setze diesen Posten an und führe ihn durch den Durchlass.	MC026 MC035	qoky chckhy	1	0	NONE	1,1	YES	VISIBLE_FAMILY_SUFFICIENT
U04	R-C	S-FLUSSHAND	Setze diesen Posten an und führe ihn durch den Durchlass.	MC026 MC035	choky shckhy	1	0	NONE	1,1	YES	VISIBLE_FAMILY_SUFFICIENT
U04	R-D	KURZHAND	Setze diesen Posten an und führe ihn durch den Durchlass.	MC026 MC035	oky chckhy	1	0	NONE	1,1	YES	VISIBLE_FAMILY_SUFFICIENT
U05	R-A	VORLAGENHAND	Nimm ihn aus der Quelle und setze ihn um.	MC055 MC074	char chdy	0	0	NONE	1,1	YES	VISIBLE_FAMILY_SUFFICIENT
U05	R-B	Q-EINTRITTSHAND	Nimm ihn aus der Quelle und setze ihn um.	MC055 MC074	char chdy	0	0	NONE	1,1	YES	VISIBLE_FAMILY_SUFFICIENT
U05	R-C	S-FLUSSHAND	Nimm ihn aus der Quelle und setze ihn um.	MC055 MC074	sar chdy	1	0	NONE	1,1	YES	VISIBLE_FAMILY_SUFFICIENT
U05	R-D	KURZHAND	Nimm ihn aus der Quelle und setze ihn um.	MC055 MC074	dar chdy	1	0	NONE	1,1	YES	VISIBLE_FAMILY_SUFFICIENT
U06	R-A	VORLAGENHAND	Stelle das Folgemaß ein und führe danach zum Ziel.	MC060 MC093	otaiin otal	0	0	NONE	1,1	YES	VISIBLE_FAMILY_SUFFICIENT
U06	R-B	Q-EINTRITTSHAND	Stelle das Folgemaß ein und führe danach zum Ziel.	MC060 MC093	otaiin qotal	1	0	NONE	1,1	YES	VISIBLE_FAMILY_SUFFICIENT
U06	R-C	S-FLUSSHAND	Stelle das Folgemaß ein und führe danach zum Ziel.	MC060 MC093	sotaiin otal	1	0	NONE	1,1	YES	VISIBLE_FAMILY_SUFFICIENT
U06	R-D	KURZHAND	Stelle das Folgemaß ein und führe danach zum Ziel.	MC060 MC093	otaiin otal	0	0	NONE	1,1	YES	VISIBLE_FAMILY_SUFFICIENT
U07	R-A	VORLAGENHAND	Lass kurz absetzen und lies danach das Ergebnis.	MC128 MC119	cheedy cheey	0	0	NONE	1,1	YES	VISIBLE_FAMILY_SUFFICIENT
U07	R-B	Q-EINTRITTSHAND	Lass kurz absetzen und lies danach das Ergebnis.	MC128 MC119	cheedy cheey	0	0	NONE	1,1	YES	VISIBLE_FAMILY_SUFFICIENT
U07	R-C	S-FLUSSHAND	Lass kurz absetzen und lies danach das Ergebnis.	MC128 MC119	shedy shey	2	0	NONE	1,1	YES	VISIBLE_FAMILY_SUFFICIENT
U07	R-D	KURZHAND	Lass kurz absetzen und lies danach das Ergebnis.	MC128 MC119	tedy shey	2	0	NONE	1,1	YES	VISIBLE_FAMILY_SUFFICIENT
U08	R-A	VORLAGENHAND	Führe den vorigen Ansatz weiter und übertrage weiter.	MC157 MC028	cholor olchedy	0	0	NONE	1,1	YES	VISIBLE_FAMILY_SUFFICIENT
U08	R-B	Q-EINTRITTSHAND	Führe den vorigen Ansatz weiter und übertrage weiter.	MC157 MC028	cholor qolchedy	1	0	NONE	1,1	YES	VISIBLE_FAMILY_SUFFICIENT
U08	R-C	S-FLUSSHAND	Führe den vorigen Ansatz weiter und übertrage weiter.	MC157 MC028	cholor olchedy	0	0	NONE	1,1	YES	VISIBLE_FAMILY_SUFFICIENT
U08	R-D	KURZHAND	Führe den vorigen Ansatz weiter und übertrage weiter.	MC157 MC028	olor olchedy	1	0	NONE	1,1	YES	VISIBLE_FAMILY_SUFFICIENT
U09	R-A	VORLAGENHAND	Setze den laufenden Posten an und halte ihn länger.	MC103 MC002	chokchy okeey	0	0	NONE	1,1	YES	VISIBLE_FAMILY_SUFFICIENT
U09	R-B	Q-EINTRITTSHAND	Setze den laufenden Posten an und halte ihn länger.	MC103 MC002	qokchy qokeey	2	0	NONE	1,1	YES	VISIBLE_FAMILY_SUFFICIENT
U09	R-C	S-FLUSSHAND	Setze den laufenden Posten an und halte ihn länger.	MC103 MC002	chokchy okeey	0	0	NONE	1,1	YES	VISIBLE_FAMILY_SUFFICIENT
U09	R-D	KURZHAND	Setze den laufenden Posten an und halte ihn länger.	MC103 MC002	okchy okeey	1	0	NONE	1,1	YES	VISIBLE_FAMILY_SUFFICIENT
