edition	paragraph	page	leaf	lines	groups	values
ZL3b	f100r|f100r.12-f100r.15	f100r	100	4	35	1
ZL3b	f103r|f103r.1-f103r.4	f103r	103	4	50	2
ZL3b	f103r|f103r.24-f103r.26	f103r	103	3	31	1
ZL3b	f103r|f103r.40-f103r.42	f103r	103	3	27	0
ZL3b	f103v|f103v.17-f103v.19	f103v	103	3	28	1
ZL3b	f104r|f104r.39-f104r.42	f104r	104	4	35	0
ZL3b	f104v|f104v.41-f104v.44	f104v	104	4	41	1
ZL3b	f106r|f106r.42-f106r.47	f106r	106	6	57	1
ZL3b	f107r|f107r.4-f107r.7	f107r	107	4	37	0
ZL3b	f107v|f107v.45-f107v.49	f107v	107	5	49	1
ZL3b	f108r|f108r.8-f108r.13	f108r	108	6	61	2
ZL3b	f111r|f111r.6-f111r.35	f111r	111	30	365	11
ZL3b	f112r|f112r.11-f112r.14	f112r	112	4	33	0
ZL3b	f112v|f112v.39-f112v.41	f112v	112	3	24	2
ZL3b	f113r|f113r.37-f113r.38	f113r	113	2	17	2
ZL3b	f114v|f114v.29-f114v.32	f114v	114	4	36	0
ZL3b	f114v|f114v.33-f114v.35	f114v	114	3	27	0
ZL3b	f115v|f115v.1-f115v.5	f115v	115	5	46	1
ZL3b	f115v|f115v.13-f115v.17	f115v	115	5	51	1
ZL3b	f115v|f115v.18-f115v.20	f115v	115	3	26	1
ZL3b	f115v|f115v.34-f115v.36	f115v	115	3	26	0
ZL3b	f116r|f116r.1-f116r.3	f116r	116	3	33	1
ZL3b	f116r|f116r.7-f116r.9	f116r	116	3	25	0
ZL3b	f19v|f19v.1-f19v.7	f19v	19	7	37	4
ZL3b	f20r|f20r.1-f20r.4	f20r	20	4	27	0
ZL3b	f20r|f20r.9-f20r.13	f20r	20	5	35	1
ZL3b	f42v|f42v.9-f42v.16	f42v	42	8	57	2
ZL3b	f44r|f44r.5-f44r.7	f44r	44	3	23	1
ZL3b	f56v|f56v.1-f56v.6	f56v	56	6	36	4
ZL3b	f75r|f75r.32-f75r.46	f75r	75	15	122	1
ZL3b	f76v|f76v.16-f76v.24	f76v	76	9	86	1
ZL3b	f77r|f77r.9-f77r.24	f77r	77	16	142	2
ZL3b	f79r|f79r.1-f79r.6	f79r	79	6	61	0
ZL3b	f82r|f82r.11-f82r.19	f82r	82	9	80	1
