edition	paragraph	page	scope	at	word	value	numerator	numerator_at	denominator	denominator_at	M_status	R_status
ZL3b	f100r|f100r.12-f100r.15	f100r	RECORD	ZL3b|f100r.13|G007	daiin	C	cthey	ZL3b|f100r.13|G002			BOUND	MISSING_DENOMINATOR
ZL3b	f100r|f100r.12-f100r.15	f100r	LINE	ZL3b|f100r.13|G007	daiin	C	cthey	ZL3b|f100r.13|G002			BOUND	MISSING_DENOMINATOR
ZL3b	f103r|f103r.1-f103r.4	f103r	RECORD	ZL3b|f103r.1|G010	dain	B					MISSING_MATERIAL	MISSING_BOTH
ZL3b	f103r|f103r.1-f103r.4	f103r	RECORD	ZL3b|f103r.2|G001	dain	B					MISSING_MATERIAL	MISSING_BOTH
ZL3b	f103r|f103r.1-f103r.4	f103r	LINE	ZL3b|f103r.1|G010	dain	B					MISSING_MATERIAL	MISSING_BOTH
ZL3b	f103r|f103r.1-f103r.4	f103r	LINE	ZL3b|f103r.2|G001	dain	B					MISSING_MATERIAL	MISSING_BOTH
ZL3b	f103r|f103r.24-f103r.26	f103r	RECORD	ZL3b|f103r.24|G010	dain	B					MISSING_MATERIAL	MISSING_BOTH
ZL3b	f103r|f103r.24-f103r.26	f103r	LINE	ZL3b|f103r.24|G010	dain	B					MISSING_MATERIAL	MISSING_BOTH
ZL3b	f103v|f103v.17-f103v.19	f103v	RECORD	ZL3b|f103v.19|G001	daiin	C					MISSING_MATERIAL	MISSING_BOTH
ZL3b	f103v|f103v.17-f103v.19	f103v	LINE	ZL3b|f103v.19|G001	daiin	C					MISSING_MATERIAL	MISSING_BOTH
ZL3b	f104v|f104v.41-f104v.44	f104v	RECORD	ZL3b|f104v.44|G001	daiin	C	qotaiin	ZL3b|f104v.41|G009			BOUND	MISSING_DENOMINATOR
ZL3b	f104v|f104v.41-f104v.44	f104v	LINE	ZL3b|f104v.44|G001	daiin	C					MISSING_MATERIAL	MISSING_BOTH
ZL3b	f106r|f106r.42-f106r.47	f106r	RECORD	ZL3b|f106r.43|G003	daiin	C					MISSING_MATERIAL	MISSING_BOTH
ZL3b	f106r|f106r.42-f106r.47	f106r	LINE	ZL3b|f106r.43|G003	daiin	C					MISSING_MATERIAL	MISSING_BOTH
ZL3b	f107v|f107v.45-f107v.49	f107v	RECORD	ZL3b|f107v.47|G008	daiin	C					MISSING_MATERIAL	MISSING_BOTH
ZL3b	f107v|f107v.45-f107v.49	f107v	LINE	ZL3b|f107v.47|G008	daiin	C					MISSING_MATERIAL	MISSING_BOTH
