edition	paragraph	closing_at	logA	logB	logC	status	signed_equations
ZL3b	f108r|f108r.8-f108r.13	ZL3b|f108r.12|G003	0	0	0	DUPLICATE_NO_RESTRICTION	1*[ZL3b|f108r.11|G009: m(okaiin)/m(cthey)=B]; -1*[ZL3b|f108r.12|G003: m(okaiin)/m(cthey)=B]
ZL3b	f18v|f18v.1-f18v.10	ZL3b|f18v.10|G003	-1	0	1	NONTRIVIAL	1*[ZL3b|f18v.7|G005: m(chy)/m(chor)=C]; -1*[ZL3b|f18v.10|G003: m(chy)/m(chor)=A]
ZL3b	f2v|f2v.1-f2v.4	ZL3b|f2v.2|G009	1	0	-1	NONTRIVIAL	1*[ZL3b|f2v.1|G007: m(chor)/m(kooiin)=A]; -1*[ZL3b|f2v.2|G009: m(chor)/m(kooiin)=C]
ZL3b	f2v|f2v.1-f2v.4	ZL3b|f2v.3|G008	1	0	-1	NONTRIVIAL	1*[ZL3b|f2v.1|G007: m(chor)/m(kooiin)=A]; -1*[ZL3b|f2v.3|G008: m(chor)/m(kooiin)=C]
IT2a	f18v|f18v.1-f18v.10	IT2a|f18v.10|G003	-1	0	1	NONTRIVIAL	1*[IT2a|f18v.7|G005: m(chy)/m(chor)=C]; -1*[IT2a|f18v.10|G003: m(chy)/m(chor)=A]
IT2a	f2v|f2v.1-f2v.4	IT2a|f2v.2|G009	1	0	-1	NONTRIVIAL	1*[IT2a|f2v.1|G008: m(chor)/m(kooiin)=A]; -1*[IT2a|f2v.2|G009: m(chor)/m(kooiin)=C]
IT2a	f2v|f2v.1-f2v.4	IT2a|f2v.3|G008	1	0	-1	NONTRIVIAL	1*[IT2a|f2v.1|G008: m(chor)/m(kooiin)=A]; -1*[IT2a|f2v.3|G008: m(chor)/m(kooiin)=C]
ZL3b	f108v|f108v.30-f108v.53	ZL3b|f108v.40|G001	0	1	-1	NONTRIVIAL	1*[ZL3b|f108v.36|G009: m(chor)/m(keol)=B]; -1*[ZL3b|f108v.40|G001: m(chor)/m(keol)=C]
ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.7|G001	0	0	0	DUPLICATE_NO_RESTRICTION	1*[ZL3b|f15r.5|G005: m(cthy)/m(shor)=C]; -1*[ZL3b|f15r.7|G001: m(cthy)/m(shor)=C]
ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.8|G005	0	-1	1	NONTRIVIAL	1*[ZL3b|f15r.5|G005: m(cthy)/m(shor)=C]; -1*[ZL3b|f15r.8|G005: m(cthy)/m(shor)=B]
ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.14|G004	0	0	-2	NONTRIVIAL	-1*[ZL3b|f15r.5|G005: m(cthy)/m(shor)=C]; -1*[ZL3b|f15r.14|G004: m(shor)/m(cthy)=C]
ZL3b	f38r|f38r.1-f38r.6	ZL3b|f38r.6|G004	0	1	-1	NONTRIVIAL	1*[ZL3b|f38r.5|G007: m(ctho)/m(chor)=B]; -1*[ZL3b|f38r.6|G004: m(ctho)/m(chor)=C]
