edition	paragraph	at	word	role	R	M
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.12|G001	pcheol	UNREAD	⟦pcheol⟧	⟦pcheol⟧
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.12|G002	sheod	UNREAD	⟦sheod⟧	⟦sheod⟧
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.12|G003	qocpheeckhy	UNREAD	⟦qocpheeckhy⟧	⟦qocpheeckhy⟧
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.12|G004	shodol	UNREAD	⟦shodol⟧	⟦shodol⟧
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.12|G005	{c@132;h}da	UNREAD	⟦{c@132;h}da⟧	⟦{c@132;h}da⟧
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.12|G006	@168;oto	UNREAD	⟦@168;oto⟧	⟦@168;oto⟧
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.12|G007	cho[?:ch]os	UNREAD	⟦cho[?:ch]os⟧	⟦cho[?:ch]os⟧
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.12|G008	sheey	UNREAD	⟦sheey⟧	⟦sheey⟧
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.12|G009	ch{cthh'}o	UNREAD	⟦ch{cthh'}o⟧	⟦ch{cthh'}o⟧
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.12|G010	s	UNREAD	⟦s⟧	⟦s⟧
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.13|G001	dsheor	UNREAD	⟦dsheor⟧	⟦dsheor⟧
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.13|G002	cthey	MATERIAL_ASSUMED	M(cthey) [Materialhypothese]	M(cthey) [Materialhypothese]
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.13|G003	qokeey	UNREAD	⟦qokeey⟧	⟦qokeey⟧
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.13|G004	oteey	UNREAD	⟦oteey⟧	⟦oteey⟧
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.13|G005	ykeeodain	UNREAD	⟦ykeeodain⟧	⟦ykeeodain⟧
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.13|G006	[r:s]orarydaiin	UNREAD	⟦[r:s]orarydaiin⟧	⟦[r:s]orarydaiin⟧
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.13|G007	daiin	VALUE_ASSUMED	m(cthey)/m(?)=C	m(cthey)=C·Uₚ
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.13|G008	deeomchol	UNREAD	⟦deeomchol⟧	⟦deeomchol⟧
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.14|G001	shor	MATERIAL_ASSUMED	M(shor) [Materialhypothese]	M(shor) [Materialhypothese]
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.14|G002	chkeey	UNREAD	⟦chkeey⟧	⟦chkeey⟧
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.14|G003	qoteey	UNREAD	⟦qoteey⟧	⟦qoteey⟧
