clause_id	instruction_id	record	page	member_card_nos	source_position_ids	visible_event_ids	old_reparsed_clause_de	frame_conditioned_clause_de	refined_action_components	component_values_changed	attachment_status
I001-C01	I001	H1	f10r	PROC001	SRC_E001	E001	den laufenden Posten kurz abziehen	den laufenden Posten kurz abziehen	NONE	NO	DIRECT_ACTION_BUNDLE
I001-C02	I001	H1	f10r	PROC002|PROC003|PROC004	SRC_E002|SRC_E003|SRC_E004	E002|E003|E004	den laufenden Posten von dort im Arbeitsgang bis bereit eintragen	den laufenden Posten von dort im Arbeitsgang bis bereit eintragen	NONE	NO	DIRECT_ACTION_BUNDLE
I001-C03	I001	H1	f10r	PROC005|PROC006	SRC_E005|SRC_E006	E005|E006	den laufenden Posten im Lauf im Arbeitsfach abziehen	den laufenden Posten im Lauf abziehen	NONE	NO	DIRECT_ACTION_BUNDLE
I001-C04	I001	H1	f10r	PROC007	SRC_E007	E007	danach den laufenden Posten weiter eintragen und abziehen	danach den laufenden Posten weiter eintragen und abziehen	NONE	NO	DIRECT_ACTION_BUNDLE
I001-C05	I001	H1	f10r	PROC008	SRC_E008	E008	den laufenden Posten ansetzen	den laufenden Posten einsetzen	OK:ACTIVATE	NO	DIRECT_ACTION_BUNDLE
I001-C06	I001	H1	f10r	PROC009|PROC010	SRC_E009|SRC_E010	E009|E010	den laufenden Posten nach vorgeschriebenem Maß kurz eintragen	den laufenden Posten nach vorgeschriebenem Maß kurz eintragen	NONE	NO	DIRECT_ACTION_BUNDLE
I001-C07	I001	H1	f10r	PROC011	SRC_E011	E011	den laufenden Posten ansetzen	den laufenden Posten einsetzen	OK:ACTIVATE	NO	DIRECT_ACTION_BUNDLE
I001-C08	I001	H1	f10r	PROC012|PROC013|PROC014	SRC_E012|SRC_E013|SRC_E014	E012|E013|E014	danach den laufenden Posten weiter bis bereit abziehen	danach den laufenden Posten weiter bis bereit abziehen	NONE	NO	DIRECT_ACTION_BUNDLE
I002-C01	I002	H2	f10r	PROC015	SRC_E015	E015	den laufenden Posten kurz abziehen	den laufenden Posten kurz abziehen	NONE	NO	DIRECT_ACTION_BUNDLE
I002-C02	I002	H2	f10r	PROC014|PROC016|PROC017|PROC018|PROC019|PROC019|PROC009|PROC019|PROC020	SRC_E016|SRC_E017|SRC_E018|SRC_E019|SRC_E020|SRC_E021|SRC_E022|SRC_E023|SRC_E024	E016|E017|E018|E019|E020|E021|E022|E023|E024	danach den laufenden Posten weiter nach vorgeschriebenem Maß im Arbeitsgang bis bereit abziehen	danach den laufenden Posten weiter nach vorgeschriebenem Maß im Arbeitsgang bis bereit abziehen	NONE	NO	DIRECT_ACTION_BUNDLE
I002-C03	I002	H2	f10r	PROC016|PROC021|PROC013|PROC022|PROC013|PROC009|PROC003|PROC023	SRC_E025|SRC_E026|SRC_E027|SRC_E028|SRC_E029|SRC_E030|SRC_E031|SRC_E032	E025|E026|E027|E028|E029|E030|E031|E032	danach den laufenden Posten weiter von dort nach vorgeschriebenem Maß im Arbeitsgang zuführen	danach den laufenden Posten weiter von dort nach vorgeschriebenem Maß im Arbeitsgang zugeben	K:MATERIAL_ADD	NO	DIRECT_ACTION_BUNDLE
I002-C04	I002	H2	f10r	PROC016|PROC016|PROC019|PROC024	SRC_E033|SRC_E034|SRC_E035|SRC_E036	E033|E034|E035|E036	den laufenden Posten bis zur Sollstufe zuführen	den laufenden Posten bis zur Sollstufe zugeben	K:MATERIAL_ADD	NO	DIRECT_ACTION_BUNDLE
I002-C05	I002	H2	f10r	PROC019|PROC025	SRC_E037|SRC_E038	E037|E038	den laufenden Posten nach vorgeschriebenem Maß im Arbeitsgang abziehen	den laufenden Posten nach vorgeschriebenem Maß im Arbeitsgang abziehen	NONE	NO	DIRECT_ACTION_BUNDLE
I003-C01	I003	H3	f11r	PROC026	SRC_E039	E039	den laufenden Posten weiter eintragen und halten	den laufenden Posten weiter eintragen und halten	NONE	NO	DIRECT_ACTION_BUNDLE
I003-C02	I003	H3	f11r	PROC027	SRC_E040	E040	den laufenden Posten an der bezeichneten Stelle im Arbeitsgang halten	den laufenden Posten an der bezeichneten Stelle im Arbeitsgang halten	NONE	NO	DIRECT_ACTION_BUNDLE
I003-C03	I003	H3	f11r	PROC028	SRC_E041	E041	den laufenden Posten auswringen	den laufenden Posten auswringen	NONE	NO	DIRECT_ACTION_BUNDLE
I003-C04	I003	H3	f11r	PROC029	SRC_E042	E042	den laufenden Posten nach vorgeschriebenem Maß halten	den laufenden Posten nach vorgeschriebenem Maß halten	NONE	NO	DIRECT_ACTION_BUNDLE
I003-C05	I003	H3	f11r	PROC030	SRC_E043	E043	den laufenden Posten hineingeben	den laufenden Posten hineingeben	NONE	NO	DIRECT_ACTION_BUNDLE
I003-C06	I003	H3	f11r	PROC031	SRC_E044	E044	den laufenden Posten länger halten	den laufenden Posten länger halten	NONE	NO	DIRECT_ACTION_BUNDLE
I003-C07	I003	H3	f11r	PROC032	SRC_E045	E045	den laufenden Posten im Arbeitsgang eintragen und abziehen und den Schritt schließen	den laufenden Posten im Arbeitsgang eintragen und abziehen und den Schritt schließen	NONE	NO	DIRECT_ACTION_BUNDLE
I004-C01	I004	H3	f11r	PROC033	SRC_E046	E046	den laufenden Posten im Arbeitsgang halten und eintragen	den laufenden Posten im Arbeitsgang halten und eintragen	NONE	NO	DIRECT_ACTION_BUNDLE
I004-C02	I004	H3	f11r	PROC034|PROC019|PROC035	SRC_E047|SRC_E048|SRC_E049	E047|E048|E049	den laufenden Posten weiter zuführen	den laufenden Posten weiter zugeben	K:ADD	NO	DIRECT_ACTION_BUNDLE
I004-C03	I004	H3	f11r	PROC019|PROC009|PROC036|PROC037|PROC014|PROC019	SRC_E050|SRC_E051|SRC_E052|SRC_E053|SRC_E054|SRC_E055	E050|E051|E052|E053|E054|E055	danach den laufenden Posten weiter nach vorgeschriebenem Maß bis bereit ansetzen	danach den laufenden Posten weiter nach vorgeschriebenem Maß bis bereit einsetzen	OK:MEASURED_CHARGE	NO	DIRECT_ACTION_BUNDLE
I005-C01	I005	H4	f55v	PROC038	SRC_E056	E056	den laufenden Posten nach vorgeschriebenem Maß ansetzen	den laufenden Posten nach vorgeschriebenem Maß einsetzen	OK:MEASURED_CHARGE	NO	DIRECT_ACTION_BUNDLE
I005-C02	I005	H4	f55v	PROC009|PROC039	SRC_E057|SRC_E058	E057|E058	den laufenden Posten nach vorgeschriebenem Maß als Portion zuführen	den laufenden Posten nach vorgeschriebenem Maß als Portion dosiert zugeben	K:MEASURED_ADD	NO	DIRECT_ACTION_BUNDLE
I005-C03	I005	H4	f55v	PROC040|PROC041	SRC_E059|SRC_E060	E059|E060	den laufenden Posten als Portion im Arbeitsgang zuführen und den Schritt schließen	den laufenden Posten als Portion im Arbeitsgang zugeben und den Schritt schließen	K:MATERIAL_ADD	NO	DIRECT_ACTION_BUNDLE
I006-C01	I006	H4	f55v	PROC009|PROC042	SRC_E061|SRC_E062	E061|E062	den laufenden Posten nach vorgeschriebenem Maß umsetzen	den laufenden Posten nach vorgeschriebenem Maß abmessen und umsetzen	CHD:MEASURED_TRANSFER	NO	DIRECT_ACTION_BUNDLE
I006-C02	I006	H4	f55v	PROC043	SRC_E063	E063	den laufenden Posten verwahren	den laufenden Posten verwahren	NONE	NO	DIRECT_ACTION_BUNDLE
I006-C03	I006	H4	f55v	PROC044	SRC_E064	E064	den laufenden Posten nach vorgeschriebenem Maß zuführen	den laufenden Posten nach vorgeschriebenem Maß dosiert zugeben	K:MEASURED_ADD	NO	DIRECT_ACTION_BUNDLE
I006-C04	I006	H4	f55v	PROC045	SRC_E065	E065	den laufenden Posten von dort im Arbeitsgang kurz abziehen	den laufenden Posten von dort im Arbeitsgang kurz abziehen	NONE	NO	DIRECT_ACTION_BUNDLE
