frame_rule_no	action_component	frame_code	frame_conditioned_verb_de	trigger	occurrences	records
AF01	CHD	COMMIT_TRANSFER	überführen	CHD plus Schluss	22	B1|B2|B3|B4|B5
AF02	CHD	MEASURED_TRANSFER	abmessen und umsetzen	CHD plus Maß/Portion	6	B3|B4|B5|H4
AF03	CHD	PATH_TRANSFER	durchleiten	CHD plus Lauf/Durchlass	2	B1|B3
AF04	CHD	TARGET_TRANSFER	umfüllen	CHD plus Ziel	8	B1|B2|B3|B5
AF05	CHD	TRANSFER	umsetzen	CHD ohne engeren Rahmen	10	B1|B2|B3|B4
AF06	K	ADD	zugeben	K ohne engeren Rahmen	2	B6|H3
AF07	K	COMMIT_ADD	zugeben	K plus Schluss	2	B1|B4
AF08	K	MATERIAL_ADD	zugeben	K plus Ansatz/Arbeitsgang/Gabe	6	H2|H4|H5
AF09	K	MEASURED_ADD	dosiert zugeben	K plus Maß/Portion	7	B1|B3|B4|H4
AF10	K	PATH_FEED	einspeisen	K plus Lauf/Durchlass	1	B1
AF11	K	TARGET_FEED	zuführen	K plus Ziel	3	B4|H5
AF12	L	CLOSED_DRAIN	abführen	L plus Schluss	11	B2|B3|B4
AF13	L	GUIDE	führen	L ohne engeren Rahmen	6	B1|B2|B3
AF14	L	PATH_GUIDE	durchleiten	L plus Lauf/Durchlass	3	B1|B2
AF15	L	SOURCE_DRAIN	ableiten	L plus Quelle	3	B2|B3
AF16	L	TARGET_GUIDE	hinleiten	L plus Ziel	4	B1|B3|B5|B6
AF17	OK	ACTIVATE	einsetzen	OK ohne engeren Adressrahmen	19	B1|B2|B3|B4|B5|H1|H5
AF18	OK	FLOW_START	einleiten	OK plus Lauf/Durchlass	3	B1|B2|B3
AF19	OK	HOLD_ACTIVE	wirken lassen	OK plus Grad ohne Schluss	9	B1|B2|B3|B4
AF20	OK	MEASURED_CHARGE	einsetzen	OK plus Maß/Portion	17	B1|B2|B3|B4|H3|H4
AF21	OK	PREPARATION_START	ansetzen	OK plus Ansatz/Arbeitsgang/Gabe	2	H5
AF22	OK	TARGET_APPLY	anlegen	OK plus Zielstelle/Arbeitsfach	10	B1|B2|B3|B4|H4|H5
AF23	OK	TIMED_APPLICATION	einwirken lassen	OK plus Grad und Schluss	19	B1|B2|B3|B4
