occurrence_no	clause_id	instruction_id	record	page	action_component	frame_code	frame_conditioned_verb_de	trigger	member_card_nos	source_position_ids	component_values_changed	action_gloss_refined
1	I001-C05	I001	H1	f10r	OK	ACTIVATE	einsetzen	OK ohne engeren Adressrahmen	PROC008	SRC_E008	NO	YES
2	I001-C07	I001	H1	f10r	OK	ACTIVATE	einsetzen	OK ohne engeren Adressrahmen	PROC011	SRC_E011	NO	YES
3	I002-C03	I002	H2	f10r	K	MATERIAL_ADD	zugeben	K plus Ansatz/Arbeitsgang/Gabe	PROC016|PROC021|PROC013|PROC022|PROC013|PROC009|PROC003|PROC023	SRC_E025|SRC_E026|SRC_E027|SRC_E028|SRC_E029|SRC_E030|SRC_E031|SRC_E032	NO	YES
4	I002-C04	I002	H2	f10r	K	MATERIAL_ADD	zugeben	K plus Ansatz/Arbeitsgang/Gabe	PROC016|PROC016|PROC019|PROC024	SRC_E033|SRC_E034|SRC_E035|SRC_E036	NO	YES
5	I004-C02	I004	H3	f11r	K	ADD	zugeben	K ohne engeren Rahmen	PROC034|PROC019|PROC035	SRC_E047|SRC_E048|SRC_E049	NO	YES
6	I004-C03	I004	H3	f11r	OK	MEASURED_CHARGE	einsetzen	OK plus Maß/Portion	PROC019|PROC009|PROC036|PROC037|PROC014|PROC019	SRC_E050|SRC_E051|SRC_E052|SRC_E053|SRC_E054|SRC_E055	NO	YES
7	I005-C01	I005	H4	f55v	OK	MEASURED_CHARGE	einsetzen	OK plus Maß/Portion	PROC038	SRC_E056	NO	YES
8	I005-C02	I005	H4	f55v	K	MEASURED_ADD	dosiert zugeben	K plus Maß/Portion	PROC009|PROC039	SRC_E057|SRC_E058	NO	YES
9	I005-C03	I005	H4	f55v	K	MATERIAL_ADD	zugeben	K plus Ansatz/Arbeitsgang/Gabe	PROC040|PROC041	SRC_E059|SRC_E060	NO	YES
10	I006-C01	I006	H4	f55v	CHD	MEASURED_TRANSFER	abmessen und umsetzen	CHD plus Maß/Portion	PROC009|PROC042	SRC_E061|SRC_E062	NO	YES
11	I006-C03	I006	H4	f55v	K	MEASURED_ADD	dosiert zugeben	K plus Maß/Portion	PROC044	SRC_E064	NO	YES
