edition	paragraph	target	grammar	kind	mention	form	patient	second	relation_to_dam	debts	additional_grammar_assumption	row_status
ZL3b	f22v|f22v.6-f22v.16	f22v.8:5	ALL	MATERIAL	f22v.9:2	shody			NO_IDENTIFIED_REMAINDER_REFERENCE			recorded
ZL3b	f22v|f22v.6-f22v.16	f22v.8:5	ALL	MATERIAL	f22v.9:4	tchol			NO_IDENTIFIED_REMAINDER_REFERENCE			recorded
ZL3b	f22v|f22v.6-f22v.16	f22v.8:5	ALL	MATERIAL	f22v.9:5	otaiin			NO_IDENTIFIED_REMAINDER_REFERENCE			recorded
ZL3b	f22v|f22v.6-f22v.16	f22v.8:5	ALL	QUANTITY	f22v.9:6	daiin			NO_IDENTIFIED_REMAINDER_REFERENCE			recorded
ZL3b	f22v|f22v.6-f22v.16	f22v.8:5	ALL	QUANTITY	f22v.10:2	daiin			NO_IDENTIFIED_REMAINDER_REFERENCE			recorded
ZL3b	f22v|f22v.6-f22v.16	f22v.8:5	ALL	QUANTITY	f22v.10:4	or			NO_IDENTIFIED_REMAINDER_REFERENCE			recorded
ZL3b	f22v|f22v.6-f22v.16	f22v.8:5	ALL	QUANTITY	f22v.12:2	daiin			NO_IDENTIFIED_REMAINDER_REFERENCE			recorded
ZL3b	f22v|f22v.6-f22v.16	f22v.8:5	ALL	MATERIAL	f22v.12:3	cthy			NO_IDENTIFIED_REMAINDER_REFERENCE			recorded
ZL3b	f22v|f22v.6-f22v.16	f22v.8:5	ALL	QUANTITY	f22v.14:4	daiin			NO_IDENTIFIED_REMAINDER_REFERENCE			recorded
ZL3b	f22v|f22v.6-f22v.16	f22v.8:5	ALL	MATERIAL	f22v.15:1	sho			NO_IDENTIFIED_REMAINDER_REFERENCE			recorded
ZL3b	f22v|f22v.6-f22v.16	f22v.8:5	ALL	MATERIAL	f22v.15:2	cthy			NO_IDENTIFIED_REMAINDER_REFERENCE			recorded
ZL3b	f22v|f22v.6-f22v.16	f22v.8:5	B	ACTION	f22v.9:3	chol	f22v.9:2		NO_IDENTIFIED_REMAINDER_REFERENCE			recorded
ZL3b	f22v|f22v.6-f22v.16	f22v.8:5	B	ACTION	f22v.10:1	qokchy	f22v.9:5		NO_IDENTIFIED_REMAINDER_REFERENCE	IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT		recorded
ZL3b	f22v|f22v.6-f22v.16	f22v.8:5	B	ACTION	f22v.15:4	qokchy	f22v.15:2	f22v.15:1	NO_IDENTIFIED_REMAINDER_REFERENCE	UNREAD_BETWEEN:f22v.15:3		recorded
ZL3b	f22v|f22v.6-f22v.16	f22v.8:5	J	ACTION	f22v.9:3	chol	f22v.9:2		NO_IDENTIFIED_REMAINDER_REFERENCE			recorded
ZL3b	f22v|f22v.6-f22v.16	f22v.8:5	J	ACTION	f22v.10:1	qokchy	f22v.9:5		NO_IDENTIFIED_REMAINDER_REFERENCE	IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT		recorded
ZL3b	f22v|f22v.6-f22v.16	f22v.8:5	J	ACTION	f22v.15:4	qokchy	f22v.15:2	f22v.15:1	NO_IDENTIFIED_REMAINDER_REFERENCE	UNREAD_BETWEEN:f22v.15:3		recorded
ZL3b	f22v|f22v.6-f22v.16	f22v.8:5	M	ACTION	f22v.9:3	chol	f22v.9:2		NO_IDENTIFIED_REMAINDER_REFERENCE			recorded
ZL3b	f22v|f22v.6-f22v.16	f22v.8:5	M	ACTION	f22v.10:1	qokchy	f22v.9:5		NO_IDENTIFIED_REMAINDER_REFERENCE	IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT		recorded
ZL3b	f22v|f22v.6-f22v.16	f22v.8:5	M	ACTION	f22v.15:4	qokchy	f22v.15:2	f22v.15:1	NO_IDENTIFIED_REMAINDER_REFERENCE	UNREAD_BETWEEN:f22v.15:3		recorded
ZL3b	f24r|f24r.1-f24r.20	f24r.16:4	ALL	QUANTITY	f24r.16:5	dal			NO_IDENTIFIED_REMAINDER_REFERENCE			recorded
