edition	paragraph	target	quantity	form	inherited_meaning	carrier	carrier_form	rule	debts	numerical_value	equation	row_status
ZL3b	f22v|f22v.6-f22v.16	f22v.8:5	f22v.8:4	daiin	Dosis Q	f22v.8:3	qokol	LOCAL_LEFT				recorded
ZL3b	f22v|f22v.6-f22v.16	f22v.8:5	f22v.8:5	dam	Restmenge	f22v.8:3	qokol	LOCAL_LEFT				recorded
ZL3b	f24r|f24r.1-f24r.20	f24r.16:4	f24r.16:3	dal	Maß	f24r.16:1	sham	LOCAL_LEFT	UNREAD_BETWEEN:f24r.16:2			recorded
ZL3b	f24r|f24r.1-f24r.20	f24r.16:4	f24r.16:4	dam	Restmenge	f24r.16:1	sham	LOCAL_LEFT	UNREAD_BETWEEN:f24r.16:2			recorded
ZL3b	f24r|f24r.1-f24r.20	f24r.16:4	f24r.16:5	dal	Maß	f24r.16:1	sham	LOCAL_LEFT	UNREAD_BETWEEN:f24r.16:2			recorded
ZL3b	f93r|f93r.1-f93r.32	f93r.3:5	f93r.3:2	dal	Maß	f93r.3:6	chody	LOCAL_RIGHT	UNREAD_BETWEEN:f93r.3:3;UNREAD_BETWEEN:f93r.3:4			recorded
ZL3b	f93r|f93r.1-f93r.32	f93r.3:5	f93r.3:5	dam	Restmenge	f93r.3:6	chody	LOCAL_RIGHT				recorded
ZL3b	f93r|f93r.1-f93r.32	f93r.3:5	f93r.3:7	dal	Maß	f93r.3:6	chody	LOCAL_LEFT				recorded
IT2a	f22v|f22v.6-f22v.16	f22v.8:5	f22v.8:4	daiin	Dosis Q	f22v.8:3	qokol	LOCAL_LEFT				recorded
IT2a	f22v|f22v.6-f22v.16	f22v.8:5	f22v.8:5	dam	Restmenge	f22v.8:3	qokol	LOCAL_LEFT				recorded
IT2a	f24r|f24r.1-f24r.20	f24r.16:4	f24r.16:3	dal	Maß	f24r.16:1	sham	LOCAL_LEFT	UNREAD_BETWEEN:f24r.16:2			recorded
IT2a	f24r|f24r.1-f24r.20	f24r.16:4	f24r.16:4	dam	Restmenge	f24r.16:1	sham	LOCAL_LEFT	UNREAD_BETWEEN:f24r.16:2			recorded
IT2a	f24r|f24r.1-f24r.20	f24r.16:4	f24r.16:5	dal	Maß	f24r.16:1	sham	LOCAL_LEFT	UNREAD_BETWEEN:f24r.16:2			recorded
IT2a	f93r|f93r.1-f93r.32	f93r.3:5	f93r.3:2	dal	Maß	f93r.3:6	chody	LOCAL_RIGHT	UNREAD_BETWEEN:f93r.3:3;UNREAD_BETWEEN:f93r.3:4			recorded
IT2a	f93r|f93r.1-f93r.32	f93r.3:5	f93r.3:5	dam	Restmenge	f93r.3:6	chody	LOCAL_RIGHT				recorded
IT2a	f93r|f93r.1-f93r.32	f93r.3:5	f93r.3:7	dal	Maß	f93r.3:6	chody	LOCAL_LEFT				recorded
RF1b	f22v|f22v.6-f22v.16	f22v.8:5	f22v.8:4	daiin	Dosis Q	f22v.8:3	qokol	LOCAL_LEFT				recorded
RF1b	f22v|f22v.6-f22v.16	f22v.8:5	f22v.8:5	dam	Restmenge	f22v.8:3	qokol	LOCAL_LEFT				recorded
RF1b	f24r|f24r.1-f24r.20	f24r.16:4	f24r.16:3	dal	Maß	f24r.16:1	sham	LOCAL_LEFT	UNREAD_BETWEEN:f24r.16:2			recorded
RF1b	f24r|f24r.1-f24r.20	f24r.16:4	f24r.16:4	dam	Restmenge	f24r.16:1	sham	LOCAL_LEFT	UNREAD_BETWEEN:f24r.16:2			recorded
RF1b	f24r|f24r.1-f24r.20	f24r.16:4	f24r.16:5	dal	Maß	f24r.16:1	sham	LOCAL_LEFT	UNREAD_BETWEEN:f24r.16:2			recorded
RF1b	f93r|f93r.1-f93r.32	f93r.3:5	f93r.3:2	dal	Maß	f93r.3:6	chody	LOCAL_RIGHT	UNREAD_BETWEEN:f93r.3:3;UNREAD_BETWEEN:f93r.3:4			recorded
RF1b	f93r|f93r.1-f93r.32	f93r.3:5	f93r.3:5	dam	Restmenge	f93r.3:6	chody	LOCAL_RIGHT				recorded
RF1b	f93r|f93r.1-f93r.32	f93r.3:5	f93r.3:7	dal	Maß	f93r.3:6	chody	LOCAL_LEFT				recorded
