page	local_index	locus	surface	working_owner	working_medical_role	complete_instruction	alignment_status
f67r2	1	f67r2.1	ykshy	Aries	head and face	Aries: protect the head and face; avoid invasive treatment there	LOCAL_TWELVEFOLD_ORDER_ONLY
f67r2	2	f67r2.2	ykecho	Taurus	neck and throat	Taurus: protect the neck and throat; avoid invasive treatment there	LOCAL_TWELVEFOLD_ORDER_ONLY
f67r2	3	f67r2.3	ey	Gemini	shoulders, arms and hands	Gemini: protect the shoulders, arms and hands; avoid invasive treatment there	LOCAL_TWELVEFOLD_ORDER_ONLY
f67r2	4	f67r2.4	shekchy	Cancer	chest and breast	Cancer: protect the chest and breast; avoid invasive treatment there	LOCAL_TWELVEFOLD_ORDER_ONLY
f67r2	5	f67r2.5	ykeody	Leo	heart and upper back	Leo: protect the heart and upper back; avoid invasive treatment there	LOCAL_TWELVEFOLD_ORDER_ONLY
f67r2	6	f67r2.6	dchetay	Virgo	belly and intestines	Virgo: protect the belly and intestines; avoid invasive treatment there	LOCAL_TWELVEFOLD_ORDER_ONLY
f67r2	7	f67r2.7	ykchy	Libra	lower back and kidneys	Libra: protect the lower back and kidneys; avoid invasive treatment there	LOCAL_TWELVEFOLD_ORDER_ONLY
f67r2	8	f67r2.8	chkchdar	Scorpio	genitals and bladder	Scorpio: protect the genitals and bladder; avoid invasive treatment there	LOCAL_TWELVEFOLD_ORDER_ONLY
f67r2	9	f67r2.9	ykar	Sagittarius	hips and thighs	Sagittarius: protect the hips and thighs; avoid invasive treatment there	LOCAL_TWELVEFOLD_ORDER_ONLY
f67r2	10	f67r2.10	lkshy	Capricorn	knees	Capricorn: protect the knees; avoid invasive treatment there	LOCAL_TWELVEFOLD_ORDER_ONLY
f67r2	11	f67r2.11	chky	Aquarius	shins and ankles	Aquarius: protect the shins and ankles; avoid invasive treatment there	LOCAL_TWELVEFOLD_ORDER_ONLY
f67r2	12	f67r2.12	ykees	Pisces	feet	Pisces: protect the feet; avoid invasive treatment there	LOCAL_TWELVEFOLD_ORDER_ONLY
