working_index	f68_spatial_locus	f68_surface	f68_role	f69_schedule_locus	f69_surface	f69_working_rule	cross_page_alignment
1	f68r1.9	odchecthy	identify the drawn lunar station by its spatial pattern	f69v.4	okeey sar	schedule station 1: favour the named application	NOT_VISIBLE_CONVENTIONAL_INDEX_REQUIRED
2	f68r1.10	otcheody	identify the drawn lunar station by its spatial pattern	f69v.5	okeo dy	schedule station 2: withhold the named application	NOT_VISIBLE_CONVENTIONAL_INDEX_REQUIRED
3	f68r1.11	okoaly	identify the drawn lunar station by its spatial pattern	f69v.6	ochoyk	schedule station 3: favour the named application	NOT_VISIBLE_CONVENTIONAL_INDEX_REQUIRED
4	f68r1.12	chocfhy	identify the drawn lunar station by its spatial pattern	f69v.7	ykeey	schedule station 4: withhold the named application	NOT_VISIBLE_CONVENTIONAL_INDEX_REQUIRED
5	f68r1.13	octhey	identify the drawn lunar station by its spatial pattern	f69v.8	ytory	schedule station 5: favour the named application	NOT_VISIBLE_CONVENTIONAL_INDEX_REQUIRED
6	f68r1.14	otshey	identify the drawn lunar station by its spatial pattern	f69v.9	oeesy	schedule station 6: withhold the named application	NOT_VISIBLE_CONVENTIONAL_INDEX_REQUIRED
7	f68r1.15	otydy	identify the drawn lunar station by its spatial pattern	f69v.10	ytody	schedule station 7: favour the named application	NOT_VISIBLE_CONVENTIONAL_INDEX_REQUIRED
8	f68r1.16	okear	identify the drawn lunar station by its spatial pattern	f69v.11	okody	schedule station 8: withhold the named application	NOT_VISIBLE_CONVENTIONAL_INDEX_REQUIRED
9	f68r1.17	cphocthy	identify the drawn lunar station by its spatial pattern	f69v.12	otody	schedule station 9: favour the named application	NOT_VISIBLE_CONVENTIONAL_INDEX_REQUIRED
10	f68r1.18	ytchody	identify the drawn lunar station by its spatial pattern	f69v.13	okeal	schedule station 10: withhold the named application	NOT_VISIBLE_CONVENTIONAL_INDEX_REQUIRED
11	f68r1.19	otys	identify the drawn lunar station by its spatial pattern	f69v.14	okeod	schedule station 11: favour the named application	NOT_VISIBLE_CONVENTIONAL_INDEX_REQUIRED
12	f68r1.20	olor	identify the drawn lunar station by its spatial pattern	f69v.15	oteeys	schedule station 12: withhold the named application	NOT_VISIBLE_CONVENTIONAL_INDEX_REQUIRED
13	f68r1.21	ockhy	identify the drawn lunar station by its spatial pattern	f69v.16	oteol	schedule station 13: favour the named application	NOT_VISIBLE_CONVENTIONAL_INDEX_REQUIRED
14	f68r1.22	ofcheor	identify the drawn lunar station by its spatial pattern	f69v.17	ykeydy	schedule station 14: withhold the named application	NOT_VISIBLE_CONVENTIONAL_INDEX_REQUIRED
15	f68r1.23	otchdy	identify the drawn lunar station by its spatial pattern	f69v.18	okeod	schedule station 15: favour the named application	NOT_VISIBLE_CONVENTIONAL_INDEX_REQUIRED
16	f68r1.24	otykchs	identify the drawn lunar station by its spatial pattern	f69v.19	saral	schedule station 16: withhold the named application	NOT_VISIBLE_CONVENTIONAL_INDEX_REQUIRED
17	f68r1.25	otol	identify the drawn lunar station by its spatial pattern	f69v.20	saiir	schedule station 17: favour the named application	NOT_VISIBLE_CONVENTIONAL_INDEX_REQUIRED
18	f68r1.26	otor	identify the drawn lunar station by its spatial pattern	f69v.21	okolar	schedule station 18: withhold the named application	NOT_VISIBLE_CONVENTIONAL_INDEX_REQUIRED
19	f68r1.27	oiinar	identify the drawn lunar station by its spatial pattern	f69v.22	ykeody	schedule station 19: favour the named application	NOT_VISIBLE_CONVENTIONAL_INDEX_REQUIRED
20	f68r1.28	okoldy	identify the drawn lunar station by its spatial pattern	f69v.23	sarydy	schedule station 20: withhold the named application	NOT_VISIBLE_CONVENTIONAL_INDEX_REQUIRED
21	f68r1.29	ykchdy	identify the drawn lunar station by its spatial pattern	f69v.24	otchy	schedule station 21: favour the named application	NOT_VISIBLE_CONVENTIONAL_INDEX_REQUIRED
22	f68r1.30	oeeody	identify the drawn lunar station by its spatial pattern	f69v.25	okeey dy	schedule station 22: withhold the named application	NOT_VISIBLE_CONVENTIONAL_INDEX_REQUIRED
23	f68r1.31	ocphy	identify the drawn lunar station by its spatial pattern	f69v.26	okey d	schedule station 23: favour the named application	NOT_VISIBLE_CONVENTIONAL_INDEX_REQUIRED
24	f68r1.32	okeeodal	identify the drawn lunar station by its spatial pattern	f69v.27	okeod	schedule station 24: withhold the named application	NOT_VISIBLE_CONVENTIONAL_INDEX_REQUIRED
25	f68r1.33	okshor	identify the drawn lunar station by its spatial pattern	f69v.28	okodchy	schedule station 25: favour the named application	NOT_VISIBLE_CONVENTIONAL_INDEX_REQUIRED
26	f68r1.34	osdaiin	identify the drawn lunar station by its spatial pattern	f69v.29	okeody	schedule station 26: withhold the named application	NOT_VISIBLE_CONVENTIONAL_INDEX_REQUIRED
27	f68r1.35	otochedy	identify the drawn lunar station by its spatial pattern	f69v.30	okcheys	schedule station 27: favour the named application	NOT_VISIBLE_CONVENTIONAL_INDEX_REQUIRED
28	f68r1.36	dolchedy	identify the drawn lunar station by its spatial pattern	f69v.31	oar alys	schedule station 28: withhold the named application	NOT_VISIBLE_CONVENTIONAL_INDEX_REQUIRED
