statement_ordinal	statement_id	physical_page	register	owner_de	event_count	surface_sequence	corrected_recipe_sequence	action_chain_de	arguments_de	relations_de	grades_de	end_mode	focus_attachment_count	bounded_forward_count	owner_only_count	rule_families	scope_skeleton_de	pass1026_recipe_changed	scope_result
1	P1009-S001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	39	pchocthy shor octhody chorchy pchodol chopchal ypch kom dchey cthoor char chty os chair otytchol oky daiin etyd qotor o tchy daiin chocthy qotchy chol or yty dy dy sor chaiin chcthy ctho ckhy or aiin chtchor doiir ody	P+CH+O+CH+T+Y | SH+OR | O+CH+T+O+D_ADDR+Y | CH+OR+CH+Y | P+CH+O+D_ADDR+OL | CH+O+P+CH+AL | Y+P+CH | K+O+M_LOCAL | CH+E+Y | CH+T+O+OR | AR | CH+T+Y | OS | CH+AIR | OT+Y+T+CH+OL | OK+Y | AIIN | E+T+Y | OT+OR | O | T+Y | AIIN | CH+O+CH+T+Y | OT+Y | OL | OR | Y+T+Y | Y | Y | S+OR | CH+AIIN | CH+CH+T+Y | CH+T+O | CH+K+Y | OR | AIIN | CH+T+CH+OR | D_ADDR+O+IIN+R | O+DY	EINSETZEN > NEHMEN > NEHMEN > EINSTELLEN > HALTEN > NEHMEN > EINSTELLEN > NEHMEN > NEHMEN > EINSETZEN > NEHMEN > NEHMEN > EINSETZEN > NEHMEN > EINSETZEN > NEHMEN > GEBEN > NEHMEN > NEHMEN > EINSTELLEN > NEHMEN > EINSTELLEN > NEHMEN > EINSTELLEN > NEHMEN > SETZEN > EINSTELLEN > EINSTELLEN > NEHMEN > NEHMEN > EINSTELLEN > EINSTELLEN > WÄHLEN > NEHMEN > NEHMEN > NEHMEN > EINSTELLEN > NEHMEN > EINSTELLEN > NEHMEN > GEBEN > NEHMEN > EINSTELLEN > NEHMEN > MARKIEREN	WERT×4+EINHEIT×8+AKTIVER POSTEN×18	ZIELORT×1+AUSGANG×1+LAUF×1	GRAD I×2	LICENSED_DY_CLOSE	35	0	0	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK	BESITZER[zweiknolliges blauköpfiges Heilkraut] > HANDLUNG[SETZEN×1+NEHMEN×23+HALTEN×1+GEBEN×2+WÄHLEN×1+EINSTELLEN×12+MARKIEREN×1+EINSETZEN×4] > ARG[WERT×4+EINHEIT×8+AKTIVER POSTEN×18] > REL[ZIELORT×1+AUSGANG×1+LAUF×1] > GRAD[GRAD I×2] > LICENSED_DY_CLOSE	NO	COMPLETE_SELECTED_SCOPE__NO_OPEN_ATTACHMENTS
2	P1009-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	53	qokchy qotchol chol cthy ycheor cthy chor cthaiin qoctholy dy chy taiin shy dchy qokchol y kchaiin yty daiin cth dain dair am qotchor chor otol chol cholor chol daiin dar oykchor shor chor chy kaiiin dy chodaiin oqotor otor cfhy cthor osain ytoiin otchoshor qoty qotor cthyd otar odaiin daiin qotchy qotor	OK+Y | OT+CH+OL | OL | CH+T+Y | Y+CH+E+O+R | CH+T+Y | CH+OR | CH+T+AIIN | CARRIER_Q+O+CH+T+OL+Y | Y | Y | T+AIIN | Y | D_ADDR+Y | OK+OL | Y | K+CH+AIIN | Y+T+Y | AIIN | CH+T | AIN | D_ADDR+AIR | AM_ADDR | OT+CH+OR | CH+OR | OT+OL | OL | OL+OR | OL | AIIN | D_ADDR+AR | O+Y+K+CH+OR | SH+OR | CH+OR | Y | K+A_ADDR+LOCAL_CHAR_I+IIN | Y | CH+O+D_ADDR+AIIN | O+OT+OR | OT+OR | CH+LOCAL_CHAR_F+Y | CH+T+OR | O+S+AIN | Y+T+O+IIN | OT+CH+O+SH+OR | OT+Y | OT+OR | CH+T+Y+D_ADDR | OT+AR | O+D_ADDR+AIIN | AIIN | OT+Y | OT+OR	SETZEN > NEHMEN > NEHMEN > EINSTELLEN > NEHMEN > MARKIEREN > NEHMEN > EINSTELLEN > NEHMEN > NEHMEN > EINSTELLEN > NEHMEN > EINSTELLEN > EINSTELLEN > SETZEN > GEBEN > NEHMEN > EINSTELLEN > NEHMEN > EINSTELLEN > NEHMEN > NEHMEN > GEBEN > NEHMEN > HALTEN > NEHMEN > GEBEN > NEHMEN > NEHMEN > NEHMEN > EINSTELLEN > WÄHLEN > EINSTELLEN > NEHMEN > HALTEN > NEHMEN > EINSTELLEN	WERT×8+ANTEIL×2+EINHEIT×13+AKTIVER POSTEN×20	AUSGANG×2+LAUF×1	GRAD I×1	PAGE_END_OPEN	47	0	0	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK	BESITZER[zweiknolliges blauköpfiges Heilkraut] > HANDLUNG[SETZEN×2+NEHMEN×18+HALTEN×2+GEBEN×3+WÄHLEN×1+EINSTELLEN×10+MARKIEREN×1] > ARG[WERT×8+ANTEIL×2+EINHEIT×13+AKTIVER POSTEN×20] > REL[AUSGANG×2+LAUF×1] > GRAD[GRAD I×1] > PAGE_END_OPEN	NO	COMPLETE_SELECTED_SCOPE__NO_OPEN_ATTACHMENTS
3	P1009-S003	f11r	HERBAL	blühender dreikroniger Sodenstock	7	tshol schoal cfhy shfydaiin cphy shey tchody	T+SH+OL | SH+O+AL | CH+LOCAL_CHAR_F+Y | SH+Y+AIIN | CH+P+Y | SH+E+Y | T+CH+O+DY	EINSTELLEN > HALTEN > HALTEN > NEHMEN > HALTEN > NEHMEN > EINSETZEN > HALTEN > EINSTELLEN > NEHMEN	WERT×1+AKTIVER POSTEN×4	ZIELORT×1	GRAD I×1	LICENSED_DY_CLOSE	7	0	0	AL_AR_ORDERED_FALLBACK|NEAREST_HEAD_LEFT_TIE	BESITZER[blühender dreikroniger Sodenstock] > HANDLUNG[NEHMEN×3+HALTEN×4+EINSTELLEN×2+EINSETZEN×1] > ARG[WERT×1+AKTIVER POSTEN×4] > REL[ZIELORT×1] > GRAD[GRAD I×1] > LICENSED_DY_CLOSE	NO	COMPLETE_SELECTED_SCOPE__NO_OPEN_ATTACHMENTS
4	P1009-S004	f11r	HERBAL	blühender dreikroniger Sodenstock	52	shoyty socthody qodor y kshy daiin ytchy ytchoky kchol daiin qoty chol cthy dor ykychy choty dain chaiin daiin dod dchol chy kchy dy daiin tchol shor shor dky y daiin cthy d y chodl daiin odl d s y otol chaiin ykchor dair chody cthy s daiin qotchy okchol cthy dy	SH+O+Y+T+Y | S+O+CH+T+O+D_ADDR+Y | CARRIER_Q+O+D_ADDR+OR | Y | K+SH+Y | AIIN | Y+T+Y | Y+T+OK+Y | K+OL | AIIN | OT+Y | OL | CH+T+Y | D_ADDR+OR | Y+K+Y+CH+Y | CH+OT+Y | AIN | CH+AIIN | AIIN | D_ADDR+O+D_ADDR | D_ADDR+OL | Y | K+Y | Y | AIIN | T+OL | SH+OR | SH+OR | D_ADDR+K+Y | Y | AIIN | CH+T+Y | D_ADDR | Y | CH+O+D_ADDR+L | AIIN | O+D_ADDR+L | D_ADDR | S | Y | OT+OL | CH+AIIN | Y+K+CH+OR | D_ADDR+AIR | CH+O+D_ADDR+Y | CH+T+Y | S | AIIN | OT+Y | OK+OL | CH+T+Y | Y	HALTEN > EINSTELLEN > WÄHLEN > NEHMEN > EINSTELLEN > GEBEN > HALTEN > EINSTELLEN > EINSTELLEN > SETZEN > GEBEN > NEHMEN > EINSTELLEN > GEBEN > NEHMEN > NEHMEN > NEHMEN > GEBEN > EINSTELLEN > HALTEN > HALTEN > GEBEN > NEHMEN > EINSTELLEN > NEHMEN > WÄHLEN > NEHMEN > GEBEN > NEHMEN > NEHMEN > NEHMEN > EINSTELLEN > WÄHLEN > SETZEN > NEHMEN > EINSTELLEN	WERT×9+ANTEIL×1+EINHEIT×5+AKTIVER POSTEN×29	VERBINDUNG×2+LAUF×1	NONE	PAGE_END_OPEN	47	0	0	INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK	BESITZER[blühender dreikroniger Sodenstock] > HANDLUNG[SETZEN×2+NEHMEN×12+HALTEN×4+GEBEN×6+WÄHLEN×3+EINSTELLEN×9] > ARG[WERT×9+ANTEIL×1+EINHEIT×5+AKTIVER POSTEN×29] > REL[VERBINDUNG×2+LAUF×1] > GRAD[NONE] > PAGE_END_OPEN	NO	COMPLETE_SELECTED_SCOPE__NO_OPEN_ATTACHMENTS
5	P1009-S005	f13r	HERBAL	große Wurzelkrone mit Blatt und Blütenstand	42	torshor opchy shol dy qopchy shol opchor dypchy dchg dchol chol dol shkchy ydal shy ykchy qoty daiin s y s y dchor shaiin oeees ykor chor ytshy ykchy kchy dar qodchy ytchy otchor shorodo shy tshy kchol dpchy qopchy otchol cfholdy	T+OR+SH+OR | O+P+Y | SH+OL | Y | O+P+Y | SH+OL | O+P+CH+OR | D_ADDR+Y+P+Y | D_ADDR+CH+LOCAL_CHAR_G | D_ADDR+OL | OL | D_ADDR+OL | SH+K+Y | Y+AL | Y | Y+K+Y | OT+Y | AIIN | S | Y | S | Y | D_ADDR+CH+OR | SH+AIIN | O+EEE+S | Y+K+OR | CH+OR | Y+T+Y | Y+K+Y | K+Y | D_ADDR+AR | O+D_ADDR+Y | Y+T+Y | OT+CH+OR | SH+OR+O+D_ADDR+O | Y | T+Y | K+OL | D_ADDR+P+Y | O+P+Y | OT+CH+OL | CH+LOCAL_CHAR_F+OL+DY	EINSTELLEN > HALTEN > EINSETZEN > HALTEN > EINSETZEN > HALTEN > EINSETZEN > NEHMEN > EINSETZEN > NEHMEN > HALTEN > GEBEN > GEBEN > WÄHLEN > WÄHLEN > NEHMEN > HALTEN > WÄHLEN > GEBEN > NEHMEN > EINSTELLEN > GEBEN > GEBEN > EINSTELLEN > NEHMEN > HALTEN > EINSTELLEN > GEBEN > EINSETZEN > EINSETZEN > NEHMEN > NEHMEN	WERT×2+EINHEIT×8+AKTIVER POSTEN×26	ZIELORT×1+AUSGANG×1	GRAD III×1	LICENSED_DY_CLOSE	39	0	0	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK	BESITZER[große Wurzelkrone mit Blatt und Blütenstand] > HANDLUNG[NEHMEN×7+HALTEN×6+GEBEN×6+WÄHLEN×3+EINSTELLEN×4+EINSETZEN×6] > ARG[WERT×2+EINHEIT×8+AKTIVER POSTEN×26] > REL[ZIELORT×1+AUSGANG×1] > GRAD[GRAD III×1] > LICENSED_DY_CLOSE	NO	COMPLETE_SELECTED_SCOPE__NO_OPEN_ATTACHMENTS
6	P1009-S006	f13r	HERBAL	große Wurzelkrone mit Blatt und Blütenstand	16	tchor dor daiin qotchol okchy okchor oiin chckhy d dchy qoky chol dy qoy d oldy	T+CH+OR | D_ADDR+OR | AIIN | OT+CH+OL | OK+Y | OK+CH+OR | O+IIN | CH+K+Y | D_ADDR | D_ADDR+Y | OK+Y | OL | Y | O+Y | D_ADDR | OL+DY	EINSTELLEN > NEHMEN > NEHMEN > SETZEN > SETZEN > NEHMEN > NEHMEN > GEBEN > SETZEN	WERT×1+EINHEIT×3+AKTIVER POSTEN×6	NONE	NONE	LICENSED_DY_CLOSE	10	0	0	INHERITED_ACTION_STACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK	BESITZER[große Wurzelkrone mit Blatt und Blütenstand] > HANDLUNG[SETZEN×3+NEHMEN×4+GEBEN×1+EINSTELLEN×1] > ARG[WERT×1+EINHEIT×3+AKTIVER POSTEN×6] > REL[NONE] > GRAD[NONE] > LICENSED_DY_CLOSE	NO	COMPLETE_SELECTED_SCOPE__NO_OPEN_ATTACHMENTS
7	P1009-S007	f13r	HERBAL	große Wurzelkrone mit Blatt und Blütenstand	10	okchor doaiin shochy qokchy torchy k s okchey daiin oldy	OK+CH+OR | D_ADDR+O+AIIN | HO+Y | OK+Y | T+OR+Y | K | S | OK+Y | AIIN | OL+DY	SETZEN > NEHMEN > SETZEN > EINSTELLEN > GEBEN > WÄHLEN > SETZEN	WERT×2+EINHEIT×2+AKTIVER POSTEN×4	NONE	NONE	LICENSED_DY_CLOSE	8	0	0	INHERITED_ACTION_STACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK	BESITZER[große Wurzelkrone mit Blatt und Blütenstand] > HANDLUNG[SETZEN×3+NEHMEN×1+GEBEN×1+WÄHLEN×1+EINSTELLEN×1] > ARG[WERT×2+EINHEIT×2+AKTIVER POSTEN×4] > REL[NONE] > GRAD[NONE] > LICENSED_DY_CLOSE	NO	COMPLETE_SELECTED_SCOPE__NO_OPEN_ATTACHMENTS
8	P1009-S008	f13r	HERBAL	große Wurzelkrone mit Blatt und Blütenstand	6	shey chol doiin ykoly okchal daldy	SH+E+Y | OL | D_ADDR+O+IIN | Y+K+OL+Y | OK+CH+AL | AL+DY	HALTEN > GEBEN > SETZEN > NEHMEN	AKTIVER POSTEN×3	ZIELORT×2	GRAD I×1	LICENSED_DY_CLOSE	6	0	0	AL_AR_ORDERED_FALLBACK|NEAREST_HEAD_LEFT_TIE	BESITZER[große Wurzelkrone mit Blatt und Blütenstand] > HANDLUNG[SETZEN×1+NEHMEN×1+HALTEN×1+GEBEN×1] > ARG[AKTIVER POSTEN×3] > REL[ZIELORT×2] > GRAD[GRAD I×1] > LICENSED_DY_CLOSE	NO	COMPLETE_SELECTED_SCOPE__NO_OPEN_ATTACHMENTS
9	P1009-S009	f13r	HERBAL	große Wurzelkrone mit Blatt und Blütenstand	3	sotchy kchy okorory	S+OT+Y | K+Y | OK+OR+OR+Y	WÄHLEN > GEBEN > SETZEN	EINHEIT×2+AKTIVER POSTEN×3	NONE	NONE	PAGE_END_OPEN	5	0	0	NEAREST_HEAD_LEFT_TIE	BESITZER[große Wurzelkrone mit Blatt und Blütenstand] > HANDLUNG[SETZEN×1+GEBEN×1+WÄHLEN×1] > ARG[EINHEIT×2+AKTIVER POSTEN×3] > REL[NONE] > GRAD[NONE] > PAGE_END_OPEN	NO	COMPLETE_SELECTED_SCOPE__NO_OPEN_ATTACHMENTS
10	P1009-S010	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	1	fshody	LOCAL_CHAR_F+SH+O+DY	HALTEN	NONE	NONE	NONE	LICENSED_DY_CLOSE	0	0	0	NONE	BESITZER[abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen] > HANDLUNG[HALTEN×1] > ARG[NONE] > REL[NONE] > GRAD[NONE] > LICENSED_DY_CLOSE	NO	COMPLETE_SELECTED_SCOPE__NO_OPEN_ATTACHMENTS
