attachment_id	focus_key	focus_core	focus_value_de	focus_family	event_id	pass1026_event_id	running_event_ordinal	physical_page	register	statement_id	card_ordinal_in_statement	locus	owner_de	surface	component_recipe	focus_atom_ordinal	focus_occurrence_ordinal	left_atom	right_atom	active_head_before	chosen_attachment_class	chosen_action	chosen_action_value_de	chosen_action_event_id	chosen_action_card_ordinal	chosen_action_atom_ordinal	selected_attachment_de	teaching_rule_families	micro_signature	r_position_mode	duplicate_scope_mode	duplicate_scope_role	paired_focus_atom_ordinal	bounded_lookahead_cards	owner_boundary_crossed	resolution_status
G399-A00001	P912-E0001:Y:1	Y	AKTIVER POSTEN	ARGUMENT	P912-E0001	P1026-E0001	1	f10r	HERBAL	P1009-S001	1	f10r.1	zweiknolliges blauköpfiges Heilkraut	pchocthy	P+CH+O+CH+T+Y	6	1	T	CARD_END	NONE	SAME_CARD_LEFT_ACTION	T	EINSTELLEN	P912-E0001	1	5	T=EINSTELLEN[Y=AKTIVER POSTEN]	NEAREST_HEAD_LEFT_TIE	ARG_GRADE__SAME_CARD_LEFT_ACTION	NONE	SINGLE	SINGLE	NONE	0	NO	COMPLETE_SELECTED_SCOPE
G399-A00002	P912-E0002:OR:1	OR	EINHEIT	ARGUMENT	P912-E0002	P1026-E0002	2	f10r	HERBAL	P1009-S001	2	f10r.1	zweiknolliges blauköpfiges Heilkraut	shor	SH+OR	2	1	SH	CARD_END	T=EINSTELLEN	SAME_CARD_LEFT_ACTION	SH	HALTEN	P912-E0002	2	1	SH=HALTEN[OR=EINHEIT]	NEAREST_HEAD_LEFT_TIE	ARG_GRADE__SAME_CARD_LEFT_ACTION	NONE	SINGLE	SINGLE	NONE	0	NO	COMPLETE_SELECTED_SCOPE
G399-A00003	P912-E0003:Y:1	Y	AKTIVER POSTEN	ARGUMENT	P912-E0003	P1026-E0003	3	f10r	HERBAL	P1009-S001	3	f10r.1	zweiknolliges blauköpfiges Heilkraut	octhody	O+CH+T+O+D_ADDR+Y	6	1	D_ADDR	CARD_END	SH=HALTEN	SAME_CARD_LEFT_ACTION	T	EINSTELLEN	P912-E0003	3	3	T=EINSTELLEN[Y=AKTIVER POSTEN]	NEAREST_HEAD_LEFT_TIE	ARG_GRADE__SAME_CARD_LEFT_ACTION	NONE	SINGLE	SINGLE	NONE	0	NO	COMPLETE_SELECTED_SCOPE
G399-A00004	P912-E0004:OR:1	OR	EINHEIT	ARGUMENT	P912-E0004	P1026-E0004	4	f10r	HERBAL	P1009-S001	4	f10r.1	zweiknolliges blauköpfiges Heilkraut	chorchy	CH+OR+CH+Y	2	1	CH	CH	T=EINSTELLEN	SAME_CARD_LEFT_ACTION	CH	NEHMEN	P912-E0004	4	1	CH=NEHMEN[OR=EINHEIT]	NEAREST_HEAD_LEFT_TIE	ARG_GRADE__SAME_CARD_LEFT_ACTION	NONE	SINGLE	SINGLE	NONE	0	NO	COMPLETE_SELECTED_SCOPE
G399-A00005	P912-E0004:Y:1	Y	AKTIVER POSTEN	ARGUMENT	P912-E0004	P1026-E0004	4	f10r	HERBAL	P1009-S001	4	f10r.1	zweiknolliges blauköpfiges Heilkraut	chorchy	CH+OR+CH+Y	4	1	CH	CARD_END	T=EINSTELLEN	SAME_CARD_LEFT_ACTION	CH	NEHMEN	P912-E0004	4	3	CH=NEHMEN[Y=AKTIVER POSTEN]	NEAREST_HEAD_LEFT_TIE	ARG_GRADE__SAME_CARD_LEFT_ACTION	NONE	SINGLE	SINGLE	NONE	0	NO	COMPLETE_SELECTED_SCOPE
G399-A00006	P912-E0006:AL:1	AL	ZIELORT	RELATION	P912-E0006	P1026-E0006	6	f10r	HERBAL	P1009-S001	6	f10r.1	zweiknolliges blauköpfiges Heilkraut	chopchal	CH+O+P+CH+AL	5	1	CH	CARD_END	CH=NEHMEN	SAME_CARD_LEFT_ACTION	CH	NEHMEN	P912-E0006	6	4	CH=NEHMEN[AL=ZIELORT]	AL_AR_ORDERED_FALLBACK	AL_AR__SAME_CARD_LEFT_ACTION	NONE	SINGLE	SINGLE	NONE	0	NO	COMPLETE_SELECTED_SCOPE
G399-A00007	P912-E0007:Y:1	Y	AKTIVER POSTEN	ARGUMENT	P912-E0007	P1026-E0007	7	f10r	HERBAL	P1009-S001	7	f10r.1	zweiknolliges blauköpfiges Heilkraut	ypch	Y+P+CH	1	1	CARD_START	P	CH=NEHMEN	SAME_CARD_RIGHT_ACTION	P	EINSETZEN	P912-E0007	7	2	[Y=AKTIVER POSTEN]→P=EINSETZEN	NEAREST_HEAD_LEFT_TIE	ARG_GRADE__SAME_CARD_RIGHT_ACTION	NONE	SINGLE	SINGLE	NONE	0	NO	COMPLETE_SELECTED_SCOPE
G399-A00008	P912-E0009:E:1	E	GRAD I	GRADE	P912-E0009	P1026-E0009	9	f10r	HERBAL	P1009-S001	9	f10r.2	zweiknolliges blauköpfiges Heilkraut	dchey	CH+E+Y	2	1	CH	Y	K=GEBEN	SAME_CARD_LEFT_ACTION	CH	NEHMEN	P912-E0009	9	1	CH=NEHMEN[E=GRAD I]	NEAREST_HEAD_LEFT_TIE	ARG_GRADE__SAME_CARD_LEFT_ACTION	NONE	SINGLE	SINGLE	NONE	0	NO	COMPLETE_SELECTED_SCOPE
G399-A00009	P912-E0009:Y:1	Y	AKTIVER POSTEN	ARGUMENT	P912-E0009	P1026-E0009	9	f10r	HERBAL	P1009-S001	9	f10r.2	zweiknolliges blauköpfiges Heilkraut	dchey	CH+E+Y	3	1	E	CARD_END	K=GEBEN	SAME_CARD_LEFT_ACTION	CH	NEHMEN	P912-E0009	9	1	CH=NEHMEN[Y=AKTIVER POSTEN]	NEAREST_HEAD_LEFT_TIE	ARG_GRADE__SAME_CARD_LEFT_ACTION	NONE	SINGLE	SINGLE	NONE	0	NO	COMPLETE_SELECTED_SCOPE
G399-A00010	P912-E0010:OR:1	OR	EINHEIT	ARGUMENT	P912-E0010	P1026-E0010	10	f10r	HERBAL	P1009-S001	10	f10r.2	zweiknolliges blauköpfiges Heilkraut	cthoor	CH+T+O+OR	4	1	O	CARD_END	CH=NEHMEN	SAME_CARD_LEFT_ACTION	T	EINSTELLEN	P912-E0010	10	2	T=EINSTELLEN[OR=EINHEIT]	NEAREST_HEAD_LEFT_TIE	ARG_GRADE__SAME_CARD_LEFT_ACTION	NONE	SINGLE	SINGLE	NONE	0	NO	COMPLETE_SELECTED_SCOPE
