page_ordinal	physical_page	register	visible_group_count	running_event_count	local_group_count	statement_count	focus_attachment_count	bounded_forward_count	owner_only_count	rule_families_used	unsupported_rule_families_when_page_held	exact_surface_from_other_page	root_recipe_from_other_page	new_page_recipe_known_atoms	page_replay_result
1	f10r	HERBAL	92	92	0	2	82	0	0	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK	NONE	62	8	22	PASS_FIXED_SCOPE_RULES
2	f11r	HERBAL	59	59	0	2	54	0	0	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK	NONE	42	1	16	PASS_FIXED_SCOPE_RULES
3	f13r	HERBAL	77	77	0	5	68	0	0	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK	NONE	56	7	14	PASS_FIXED_SCOPE_RULES
4	f17r	HERBAL	80	78	2	8	62	2	0	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|ONE_CARD_FORWARD|PREVIOUS_CARD_STACK|R_POSITIONAL_MARKING	NONE	37	7	34	PASS_FIXED_SCOPE_RULES
5	f18r	HERBAL	84	84	0	5	75	2	2	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|ONE_CARD_FORWARD|PREVIOUS_CARD_STACK|R_POSITIONAL_MARKING	NONE	59	12	13	PASS_FIXED_SCOPE_RULES
6	f55v	HERBAL	106	106	0	5	120	3	0	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|ONE_CARD_FORWARD|PREVIOUS_CARD_STACK|Q_OT_PACKAGE_FORWARD|R_POSITIONAL_MARKING	NONE	79	3	24	PASS_FIXED_SCOPE_RULES
7	f56r	HERBAL	105	105	0	3	94	1	0	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|NEAREST_HEAD_LEFT_TIE|ONE_CARD_FORWARD|PREVIOUS_CARD_STACK|R_POSITIONAL_MARKING	NONE	69	10	26	PASS_FIXED_SCOPE_RULES
8	f67r2	CELESTIAL	190	126	64	11	145	3	3	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|ONE_CARD_FORWARD|OWNER_CONTEXT|PREVIOUS_CARD_STACK|R_POSITIONAL_MARKING	NONE	68	5	53	PASS_FIXED_SCOPE_RULES
9	f68r1	CELESTIAL	65	31	34	3	44	0	0	AL_AR_ORDERED_FALLBACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK|R_POSITIONAL_MARKING	NONE	15	2	14	PASS_FIXED_SCOPE_RULES
10	f69v	CELESTIAL	140	0	140	0	0	0	0	NONE	NONE	0	0	0	LOCAL_ADDRESS_COPY_ONLY
11	f70v	CELESTIAL	218	0	218	0	0	0	0	NONE	NONE	0	0	0	LOCAL_ADDRESS_COPY_ONLY
