replay_event_id	event_id	pass1026_event_id	physical_page	register	statement_id	locus	surface	component_recipe	component_atom_count	pass1026_change	all_atoms_on_fixed_sheet	outside_surface_pages	outside_recipe_pages	outside_surface_registers	outside_recipe_registers	page_replay_result	register_replay_result
G399-E0001	P912-E0001	P1026-E0001	f10r	HERBAL	P1009-S001	f10r.1	pchocthy	P+CH+O+CH+T+Y	6	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_PAGE_RECIPE__KNOWN_ATOMS	NEW_REGISTER_RECIPE__KNOWN_ATOMS
G399-E0002	P912-E0002	P1026-E0002	f10r	HERBAL	P1009-S001	f10r.1	shor	SH+OR	2	UNCHANGED	YES	f11r|f17r|f18r|f77r|f88v|f89r	f11r|f17r|f18r|f77r|f88v|f89r	BIOLOGICAL|PHARMA	BIOLOGICAL|PHARMA	EXACT_SURFACE_FROM_OTHER_PAGE	EXACT_SURFACE_FROM_OTHER_REGISTER
G399-E0003	P912-E0003	P1026-E0003	f10r	HERBAL	P1009-S001	f10r.1	octhody	O+CH+T+O+D_ADDR+Y	6	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_PAGE_RECIPE__KNOWN_ATOMS	NEW_REGISTER_RECIPE__KNOWN_ATOMS
G399-E0004	P912-E0004	P1026-E0004	f10r	HERBAL	P1009-S001	f10r.1	chorchy	CH+OR+CH+Y	4	UNCHANGED	YES	f56r	f56r	NONE	NONE	EXACT_SURFACE_FROM_OTHER_PAGE	NEW_REGISTER_RECIPE__KNOWN_ATOMS
G399-E0005	P912-E0005	P1026-E0005	f10r	HERBAL	P1009-S001	f10r.1	pchodol	P+CH+O+D_ADDR+OL	5	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_PAGE_RECIPE__KNOWN_ATOMS	NEW_REGISTER_RECIPE__KNOWN_ATOMS
G399-E0006	P912-E0006	P1026-E0006	f10r	HERBAL	P1009-S001	f10r.1	chopchal	CH+O+P+CH+AL	5	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_PAGE_RECIPE__KNOWN_ATOMS	NEW_REGISTER_RECIPE__KNOWN_ATOMS
G399-E0007	P912-E0007	P1026-E0007	f10r	HERBAL	P1009-S001	f10r.1	ypch	Y+P+CH	3	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_PAGE_RECIPE__KNOWN_ATOMS	NEW_REGISTER_RECIPE__KNOWN_ATOMS
G399-E0008	P912-E0008	P1026-E0008	f10r	HERBAL	P1009-S001	f10r.1	kom	K+O+M_LOCAL	3	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_PAGE_RECIPE__KNOWN_ATOMS	NEW_REGISTER_RECIPE__KNOWN_ATOMS
G399-E0009	P912-E0009	P1026-E0009	f10r	HERBAL	P1009-S001	f10r.2	dchey	CH+E+Y	3	UNCHANGED	YES	f56r|f88r	f56r|f88r	PHARMA	PHARMA	EXACT_SURFACE_FROM_OTHER_PAGE	EXACT_SURFACE_FROM_OTHER_REGISTER
G399-E0010	P912-E0010	P1026-E0010	f10r	HERBAL	P1009-S001	f10r.2	cthoor	CH+T+O+OR	4	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_PAGE_RECIPE__KNOWN_ATOMS	NEW_REGISTER_RECIPE__KNOWN_ATOMS
G399-E0011	P912-E0011	P1026-E0011	f10r	HERBAL	P1009-S001	f10r.2	char	AR	1	UNCHANGED	YES	f75r|f82r	f55v|f67r2|f71v|f72r|f75r|f76r|f77r|f82r|f83r|f88r|f89r	BIOLOGICAL	BIOLOGICAL|CELESTIAL|PHARMA	EXACT_SURFACE_FROM_OTHER_PAGE	EXACT_SURFACE_FROM_OTHER_REGISTER
G399-E0012	P912-E0012	P1026-E0012	f10r	HERBAL	P1009-S001	f10r.2	chty	CH+T+Y	3	UNCHANGED	YES	NONE	f11r|f17r|f18r|f56r|f75r|f76r|f83r	NONE	BIOLOGICAL	ROOT_RECIPE_FROM_OTHER_PAGE	ROOT_RECIPE_FROM_OTHER_REGISTER
G399-E0013	P912-E0013	P1026-E0013	f10r	HERBAL	P1009-S001	f10r.2	os	OS	1	UNCHANGED	YES	f55v|f67r2|f72r	f55v|f67r2|f72r	CELESTIAL	CELESTIAL	EXACT_SURFACE_FROM_OTHER_PAGE	EXACT_SURFACE_FROM_OTHER_REGISTER
G399-E0014	P912-E0014	P1026-E0014	f10r	HERBAL	P1009-S001	f10r.2	chair	CH+AIR	2	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_PAGE_RECIPE__KNOWN_ATOMS	NEW_REGISTER_RECIPE__KNOWN_ATOMS
G399-E0015	P912-E0015	P1026-E0015	f10r	HERBAL	P1009-S001	f10r.2	otytchol	OT+Y+T+CH+OL	5	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_PAGE_RECIPE__KNOWN_ATOMS	NEW_REGISTER_RECIPE__KNOWN_ATOMS
G399-E0016	P912-E0016	P1026-E0016	f10r	HERBAL	P1009-S001	f10r.2	oky	OK+Y	2	UNCHANGED	YES	f55v|f76r|f81v|f82r|f88r|f89r	f13r|f17r|f18r|f55v|f56r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|PHARMA	BIOLOGICAL|PHARMA	EXACT_SURFACE_FROM_OTHER_PAGE	EXACT_SURFACE_FROM_OTHER_REGISTER
G399-E0017	P912-E0017	P1026-E0017	f10r	HERBAL	P1009-S001	f10r.2	daiin	AIIN	1	UNCHANGED	YES	f11r|f13r|f18r|f55v|f56r|f67r2|f71v|f72r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	f11r|f13r|f18r|f55v|f56r|f67r2|f71v|f72r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	BIOLOGICAL|CELESTIAL|PHARMA	EXACT_SURFACE_FROM_OTHER_PAGE	EXACT_SURFACE_FROM_OTHER_REGISTER
G399-E0018	P912-E0018	P1026-E0018	f10r	HERBAL	P1009-S001	f10r.2	etyd	E+T+Y	3	UNCHANGED	YES	NONE	NONE	NONE	NONE	NEW_PAGE_RECIPE__KNOWN_ATOMS	NEW_REGISTER_RECIPE__KNOWN_ATOMS
G399-E0019	P912-E0019	P1026-E0019	f10r	HERBAL	P1009-S001	f10r.3	qotor	OT+OR	2	UNCHANGED	YES	NONE	f68r1|f71v|f83r	NONE	BIOLOGICAL|CELESTIAL	ROOT_RECIPE_FROM_OTHER_PAGE	ROOT_RECIPE_FROM_OTHER_REGISTER
G399-E0020	P912-E0020	P1026-E0020	f10r	HERBAL	P1009-S001	f10r.3	o	O	1	UNCHANGED	YES	f17r|f56r|f72r|f75r|f76r|f83r|f89r	f17r|f56r|f72r|f75r|f76r|f77r|f83r|f89r	BIOLOGICAL|CELESTIAL|PHARMA	BIOLOGICAL|CELESTIAL|PHARMA	EXACT_SURFACE_FROM_OTHER_PAGE	EXACT_SURFACE_FROM_OTHER_REGISTER
