statement_id	physical_page	register	event_count	changed_event_count	old_recipe_sequence	new_recipe_sequence	old_focus_count	new_focus_count	focus_count_delta	added_focus_atoms	removed_focus_atoms	old_rule_families	new_rule_families	new_bounded_forward_count	new_owner_only_count	scope_rebuild_result
P1009-S019	f18r	HERBAL	29	7	D_ADDR+AR+OR | Y+K+AR | K+OL | D_ADDR+AR | O+AM_ADDR | CH+K+Y | CH+T+OR | AL | OT+CH+OL | OK+OL | OK+CH+Y | OK+CH+AL | AIIN | Y | OL | AIN | OK+CH+OR | CH+OR | E+Y | OR | Y | OK+OL | Y | K+CH+AR+LOCAL_CHAR_G | CH+OR | CH+T+OR | OK+E+OR | K+OL | OK+AIN	D_ADDR+AR+O+D_ADDR | Y+O+AR | Y+K+OL | D_ADDR+AR | O+AM_ADDR | CH+K+Y | O+CH+T+OR | AL | OT+SH+OL | OK+OL | Y+K+CH+Y | OK+CH+AL | AIIN | Y | OL | AIN | OK+CH+OR | CH+OR | E+Y | OR | Y | OK+OL | Y | K+CH+AR+LOCAL_CHAR_G | CH+OR | CH+T+OR | OK+E+OR | Y+K+OL | OK+AIN	26	28	2	Y×3	OR×1	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|NEAREST_HEAD_LEFT_TIE|ONE_CARD_FORWARD|PREVIOUS_CARD_STACK	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|NEAREST_HEAD_LEFT_TIE|ONE_CARD_FORWARD|PREVIOUS_CARD_STACK	1	2	COMPLETE__NO_NEW_CORE_VALUE
P1009-S020	f18r	HERBAL	19	6	T+CH+OR | SH+OR | CH+T+AIIN | CH+T+OL | OL | HO | Y | K+CH+OR | D_ADDR+AIR | T+OL | CH+CH+T+Y | D_ADDR+AR | D_ADDR+AR | AL | SH+OR | SH+AIIN | CH+T+Y | S+OL+D_ADDR+Y | OL+DY	T+CH+OR | SH+OR | CH+T+AIIN | CH+T+OL | L+OL | HO+M_LOCAL | Y+Y | K+CH+OR | D_ADDR+AIR | Y+T+OL | CH+CH+T+Y | D_ADDR+AR | D_ADDR+AR | AL | O+SH+OR | SH+AIIN | CH+T+Y | SH+OL+D_ADDR+Y | OL+DY	14	17	3	Y×2|L×1	NONE	INHERITED_ACTION_STACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE	0	0	COMPLETE__NO_NEW_CORE_VALUE
P1009-S021	f18r	HERBAL	4	3	OL+D_ADDR+AIIN | OK+CH+OR | OL | OL+DY	OL+AIIN | OK+CH+OR | CH+K+OL | OL+O+DY	2	2	0	NONE	NONE	NEAREST_HEAD_LEFT_TIE|ONE_CARD_FORWARD	NEAREST_HEAD_LEFT_TIE|ONE_CARD_FORWARD	1	0	COMPLETE__NO_NEW_CORE_VALUE
P1009-S022	f18r	HERBAL	31	5	OK+AL | Y | DA+R+Y | OL | CH+T+AL | OK+CH+AL | OK+AL | D_ADDR+AR | SH+OR | OK+OL | OL | Y+D_ADDR+AIIN | S+OT+AIIN | OK+CH+Y | CH+K+O | CH+OR | Y | CH+AIR | CH+T+OL | AIIN | OK+Y | CH+T+Y | OR | SH+AIIN | CH+T+AR | CH+T+AL | OK+AL | D_ADDR+AR | Y+CH+K+Y | Y | K+CH+AIIN	OK+AL | Y | DA+R+Y | OL | CH+T+AL | OK+SH+AL | OK+AL | D_ADDR+AR | SH+OR | OK+OL | OL | Y+D_ADDR+AIIN | S+OT+AIIN | OK+CH+Y | CH+K+OL | CH+OR | LOCAL_CHAR_G | Y+CH+AIR | CH+T+OL | AIIN | OK+Y | CH+T+Y | OR | SH+AIIN | CH+T+AR | CH+T+AL | OK+AL | D_ADDR+AR | Y+CH+K | Y | K+CH+AIIN	28	27	-1	NONE	Y×1	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK|R_POSITIONAL_MARKING	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK|R_POSITIONAL_MARKING	0	0	COMPLETE__NO_NEW_CORE_VALUE
P1009-S050	f72r	CELESTIAL	5	2	OT+EE+Y | CH+T+E+Y | OL | CH+E+O+L | OL+CH+E+O+DY	OT+EE+O | CH+T+E+Y | L+OL | CH+E+O+L | OL+CH+E+O+DY	7	7	0	L×1	Y×1	L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|Q_OT_PACKAGE_FORWARD	L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|Q_OT_PACKAGE_FORWARD	1	0	COMPLETE__NO_NEW_CORE_VALUE
P1009-S051	f72r	CELESTIAL	4	1	AL | OT+EE+Y | P+CHD+AL | OT+EE+DY	AL | OT+EE+Y | CHD+AL | OT+EE+DY	5	5	0	NONE	NONE	AL_AR_ORDERED_FALLBACK|OWNER_CONTEXT|PREVIOUS_CARD_STACK|Q_OT_PACKAGE_FORWARD	AL_AR_ORDERED_FALLBACK|PREVIOUS_CARD_STACK|Q_OT_PACKAGE_FORWARD	2	1	COMPLETE__NO_NEW_CORE_VALUE
P1009-S052	f72r	CELESTIAL	6	2	OK+E+O+D_ADDR+AL+Y | OL | OK+OL | CH+E+O+K+Y | OK+AIIN | OK+EE+DY	OK+E+O+D_ADDR+AL+Y | OL | OK+E+OL | CH+E+O+K+Y | OK+IIN+R | OK+EE+DY	7	7	0	E×1	AIIN×1	AL_AR_ORDERED_FALLBACK|NEAREST_HEAD_LEFT_TIE	AL_AR_ORDERED_FALLBACK|NEAREST_HEAD_LEFT_TIE	0	0	COMPLETE__NO_NEW_CORE_VALUE
P1009-S053	f72r	CELESTIAL	27	4	SH+E+OL+T+E+Y | CH+E+O+R | AIIN | Y+AL | OK+Y | SH+O | S+A_ADDR+L+SH+E+Y | SH+OL | AL+AIIN | CH+K+OL | K+OL | OT+O | AR | AIIN | OT+AM_ADDR | OT+AM_ADDR | CH+OT+AM_ADDR | S+AL | OK+E+O | D_ADDR+AR | AR | AL | D_ADDR+AR | OK+EE+Y | AIIN | OT+EE+Y | OK+AIIN	SH+E+OL+T+E+Y | CH+E+O+R | AIIN | Y+AL | OK+O+Y | SH+O | S+A_ADDR+L+SH+E+Y | SH+OL | AL+AIIN | CH+K+E+OL | K+OL | OT+O+S | AR | AIIN | OT+AM_ADDR | OT+AM_ADDR | CH+OT+AM_ADDR | S+AL | OK+E+O | D_ADDR+AR | AR | A_ADDR+AL | D_ADDR+AR | OK+EE+Y | AIIN | OT+EE+Y | OK+AIIN	27	28	1	E×1	NONE	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK|R_POSITIONAL_MARKING	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK|R_POSITIONAL_MARKING	0	0	COMPLETE__NO_NEW_CORE_VALUE
P1009-S054	f72r	CELESTIAL	13	5	OT+E+O+D_ADDR+AR | T+E+Y | OT+E+Y | SH+EE+Y | OK+OR | OK+AL+AR | OT+AIIN | SH+E+OL+AIIN | OT+AIIN | CH+E+T+E+Y | OL+OR | OT+O | OT+EE+O+DY	OT+E+O+D_ADDR+AR | T+E+Y | OT+E+Y | SH+E+T+E+Y | OK+OR | OK+AL+AL | OT+AIIN | SH+E+OL+AIIN | OT+AIIN | CH+E+T+E+Y | OL+E+OR | OT+E+O | T+EE+O+DY	20	23	3	E×4|AL×1	EE×1|AR×1	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK|Q_OT_PACKAGE_FORWARD	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK|Q_OT_PACKAGE_FORWARD	2	0	COMPLETE__NO_NEW_CORE_VALUE
P1009-S055	f72r	CELESTIAL	14	3	OT+AR | SH+OK+AIIN | OK+AIIN | AL | AL | CH+EE+D_ADDR+Y | OT+AR | AR | CH+K+E+Y | OK+AL | OT+AR | AL | O | OK+AR	OT+AR | OK+AIIN | OK+AIIN | AL | AL+O | CH+EE+D_ADDR+Y | OT+E+AR | AR | CH+K+E+Y | OK+AL | OT+AR | AL | O | OK+AR	15	16	1	E×1	NONE	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK|Q_OT_PACKAGE_FORWARD	AL_AR_ORDERED_FALLBACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK	1	0	COMPLETE__NO_NEW_CORE_VALUE
