exact_card_id	quantity_token	component_recipe	working_reading_de	surfaces	events	pages	surface_transparency
PROC009	AIIN	AIIN	SOLLMASS	aiin,chaiin,daiin,saiin,taiin	20	f10r,f11r,f55v,f56r,f81v,f82r,f83r	TRANSPARENT
PROC017	AIIN	CTH+AIIN	BEREITEN · SOLLMASS	cthaiin	1	f10r	TRANSPARENT
PROC025	AIIN	CH+O+AIIN	ENTNEHMEN · ARBEITSGANG · SOLLMASS	chodaiin	1	f10r	TRANSPARENT
PROC029	AIIN	SH+Y+AIIN	HALTEN · DIES · SOLLMASS	shfydaiin	1	f11r	TRANSPARENT
PROC038	AIIN	OK+AIIN	ANSETZEN · SOLLMASS	okaiin,qokaiin	9	f55v,f81v,f82r,f83r	TRANSPARENT
PROC039	AIN	Y+K+AIN	DIES · ZUGEBEN · PORTION	ykain	1	f55v	TRANSPARENT
PROC044	AIIN	Y+K+AIIN	DIES · ZUGEBEN · SOLLMASS	ykaiin	1	f55v	TRANSPARENT
PROC050	AIN	OR+AIN	ANSATZ · PORTION	orain	1	f55v	TRANSPARENT
PROC064	AIN	OT+O+AIN	DANACH · ARBEITSGANG · PORTION	sotodan	1	f56r	OPAQUE_WHOLE_ALLOGRAPH
PROC069	AIN	K+AIN	ZUGEBEN · PORTION	chkain,kain	3	f81v,f83r	TRANSPARENT
PROC070	AIN	OL+K+AIN	WEITER · ZUGEBEN · PORTION	olkain,qolkain	2	f81v,f83r	TRANSPARENT
PROC080	AIN	OK+AIN	ANSETZEN · PORTION	okain,qokain	7	f81v,f82r,f83r	TRANSPARENT
PROC105	AIIN	SOLK+AIIN	SAMMELSTELLE · SOLLMASS	solkaiin	1	f82r	TRANSPARENT
PROC112	AIIN	OT+AIIN	DANACH · SOLLMASS	otaiin,sotaiin	3	f82r,f83r	TRANSPARENT
PROC147	AIIN	L+AIIN	LEITEN · SOLLMASS	chldaiin	1	f83r	TRANSPARENT
PROC151	AIN	CHD+AIN	UMSETZEN · PORTION	chedain	1	f83r	TRANSPARENT
PROC152	AIIN	OT+E+AIIN	DANACH · KURZ · SOLLMASS	qotedaiin	1	f83r	TRANSPARENT
PROC156	AIN	AIN	PORTION	dain	2	f83r	TRANSPARENT
