source_recipe	source_quantity	source_surfaces	source_events	counterpart_recipe	counterpart_quantity	counterpart_reading_de	predicted_surfaces	status
CH+O+AIIN	AIIN	chodaiin	1	CH+O+AIN	AIN	ENTNEHMEN · ARBEITSGANG · PORTION	chodain	SURFACE_PREDICTABLE
CHD+AIN	AIN	chedain	1	CHD+AIIN	AIIN	UMSETZEN · SOLLMASS	chedaiin	SURFACE_PREDICTABLE
CTH+AIIN	AIIN	cthaiin	1	CTH+AIN	AIN	BEREITEN · PORTION	cthain	SURFACE_PREDICTABLE
K+AIN	AIN	chkain,kain	3	K+AIIN	AIIN	ZUGEBEN · SOLLMASS	chkaiin,kaiin	SURFACE_PREDICTABLE
L+AIIN	AIIN	chldaiin	1	L+AIN	AIN	LEITEN · PORTION	chldain	SURFACE_PREDICTABLE
OL+K+AIN	AIN	olkain,qolkain	2	OL+K+AIIN	AIIN	WEITER · ZUGEBEN · SOLLMASS	olkaiin,qolkaiin	SURFACE_PREDICTABLE
OR+AIN	AIN	orain	1	OR+AIIN	AIIN	ANSATZ · SOLLMASS	oraiin	SURFACE_PREDICTABLE
OT+AIIN	AIIN	otaiin,sotaiin	3	OT+AIN	AIN	DANACH · PORTION	otain,sotain	SURFACE_PREDICTABLE
OT+E+AIIN	AIIN	qotedaiin	1	OT+E+AIN	AIN	DANACH · KURZ · PORTION	qotedain	SURFACE_PREDICTABLE
OT+O+AIN	AIN	sotodan	1	OT+O+AIIN	AIIN	DANACH · ARBEITSGANG · SOLLMASS	NO_SAFE_SURFACE	MEANING_COUNTERPART_ONLY__SURFACE_WITHHELD
SH+Y+AIIN	AIIN	shfydaiin	1	SH+Y+AIN	AIN	HALTEN · DIES · PORTION	shfydain	SURFACE_PREDICTABLE
SOLK+AIIN	AIIN	solkaiin	1	SOLK+AIN	AIN	SAMMELSTELLE · PORTION	solkain	SURFACE_PREDICTABLE
