event_id	page	record	statement_id	statement_position	exact_card_id	surface	component_recipe	quantity_token	quantity_reading_de	working_reading_de	surface_transparency
E009	f10r	H1	H1-S001	MIDDLE	PROC009	daiin	AIIN	AIIN	SOLLMASS	SOLLMASS	TRANSPARENT
E018	f10r	H2	H2-S001	MIDDLE	PROC017	cthaiin	CTH+AIIN	AIIN	SOLLMASS	BEREITEN · SOLLMASS	TRANSPARENT
E022	f10r	H2	H2-S001	MIDDLE	PROC009	taiin	AIIN	AIIN	SOLLMASS	SOLLMASS	TRANSPARENT
E030	f10r	H2	H2-S002	MIDDLE	PROC009	daiin	AIIN	AIIN	SOLLMASS	SOLLMASS	TRANSPARENT
E038	f10r	H2	H2-S003	LAST	PROC025	chodaiin	CH+O+AIIN	AIIN	SOLLMASS	ENTNEHMEN · ARBEITSGANG · SOLLMASS	TRANSPARENT
E042	f11r	H3	H3-S001	MIDDLE	PROC029	shfydaiin	SH+Y+AIIN	AIIN	SOLLMASS	HALTEN · DIES · SOLLMASS	TRANSPARENT
E051	f11r	H3	H3-S003	LAST	PROC009	daiin	AIIN	AIIN	SOLLMASS	SOLLMASS	TRANSPARENT
E056	f55v	H4	H4-S001	FIRST	PROC038	qokaiin	OK+AIIN	AIIN	SOLLMASS	ANSETZEN · SOLLMASS	TRANSPARENT
E057	f55v	H4	H4-S001	MIDDLE	PROC009	chaiin	AIIN	AIIN	SOLLMASS	SOLLMASS	TRANSPARENT
E058	f55v	H4	H4-S001	MIDDLE	PROC039	ykain	Y+K+AIN	AIN	PORTION	DIES · ZUGEBEN · PORTION	TRANSPARENT
E061	f55v	H4	H4-S002	FIRST	PROC009	daiin	AIIN	AIIN	SOLLMASS	SOLLMASS	TRANSPARENT
E064	f55v	H4	H4-S003	FIRST	PROC044	ykaiin	Y+K+AIIN	AIIN	SOLLMASS	DIES · ZUGEBEN · SOLLMASS	TRANSPARENT
E068	f55v	H4	H4-S004	FIRST	PROC009	aiin	AIIN	AIIN	SOLLMASS	SOLLMASS	TRANSPARENT
E073	f55v	H4	H4-S004	LAST	PROC050	orain	OR+AIN	AIN	PORTION	ANSATZ · PORTION	TRANSPARENT
E077	f56r	H5	H5-S001	MIDDLE	PROC009	daiin	AIIN	AIIN	SOLLMASS	SOLLMASS	TRANSPARENT
E097	f56r	H5	H5-S005	LAST	PROC064	sotodan	OT+O+AIN	AIN	PORTION	DANACH · ARBEITSGANG · PORTION	OPAQUE_WHOLE_ALLOGRAPH
E100	f56r	H5	H5-S006	LAST	PROC009	daiin	AIIN	AIIN	SOLLMASS	SOLLMASS	TRANSPARENT
E102	f81v	B1	B1-S002	FIRST	PROC038	okaiin	OK+AIIN	AIIN	SOLLMASS	ANSETZEN · SOLLMASS	TRANSPARENT
E107	f81v	B1	B1-S002	MIDDLE	PROC069	kain	K+AIN	AIN	PORTION	ZUGEBEN · PORTION	TRANSPARENT
E108	f81v	B1	B1-S002	MIDDLE	PROC070	olkain	OL+K+AIN	AIN	PORTION	WEITER · ZUGEBEN · PORTION	TRANSPARENT
E116	f81v	B1	B1-S002	MIDDLE	PROC009	daiin	AIIN	AIIN	SOLLMASS	SOLLMASS	TRANSPARENT
E118	f81v	B1	B1-S002	MIDDLE	PROC009	daiin	AIIN	AIIN	SOLLMASS	SOLLMASS	TRANSPARENT
E127	f81v	B1	B1-S006	FIRST	PROC080	qokain	OK+AIN	AIN	PORTION	ANSETZEN · PORTION	TRANSPARENT
E169	f82r	B2	B2-S003	FIRST	PROC080	qokain	OK+AIN	AIN	PORTION	ANSETZEN · PORTION	TRANSPARENT
E178	f82r	B2	B2-S005	MIDDLE	PROC105	solkaiin	SOLK+AIIN	AIIN	SOLLMASS	SAMMELSTELLE · SOLLMASS	TRANSPARENT
E180	f82r	B2	B2-S005	MIDDLE	PROC038	qokaiin	OK+AIIN	AIIN	SOLLMASS	ANSETZEN · SOLLMASS	TRANSPARENT
E181	f82r	B2	B2-S005	MIDDLE	PROC038	qokaiin	OK+AIIN	AIIN	SOLLMASS	ANSETZEN · SOLLMASS	TRANSPARENT
E190	f82r	B2	B2-S008	FIRST	PROC112	sotaiin	OT+AIIN	AIIN	SOLLMASS	DANACH · SOLLMASS	TRANSPARENT
E198	f82r	B2	B2-S011	FIRST	PROC080	okain	OK+AIN	AIN	PORTION	ANSETZEN · PORTION	TRANSPARENT
E200	f82r	B2	B2-S011	MIDDLE	PROC080	okain	OK+AIN	AIN	PORTION	ANSETZEN · PORTION	TRANSPARENT
E207	f82r	B2	B2-S012	MIDDLE	PROC009	daiin	AIIN	AIIN	SOLLMASS	SOLLMASS	TRANSPARENT
E217	f82r	B2	B2-S016	MIDDLE	PROC009	aiin	AIIN	AIIN	SOLLMASS	SOLLMASS	TRANSPARENT
E219	f82r	B2	B2-S016	MIDDLE	PROC038	qokaiin	OK+AIIN	AIIN	SOLLMASS	ANSETZEN · SOLLMASS	TRANSPARENT
E233	f83r	B3	B3-S003	MIDDLE	PROC009	daiin	AIIN	AIIN	SOLLMASS	SOLLMASS	TRANSPARENT
E236	f83r	B3	B3-S004	FIRST	PROC038	qokaiin	OK+AIIN	AIIN	SOLLMASS	ANSETZEN · SOLLMASS	TRANSPARENT
E243	f83r	B3	B3-S007	FIRST	PROC038	qokaiin	OK+AIIN	AIIN	SOLLMASS	ANSETZEN · SOLLMASS	TRANSPARENT
E256	f83r	B3	B3-S013	FIRST	PROC038	qokaiin	OK+AIIN	AIIN	SOLLMASS	ANSETZEN · SOLLMASS	TRANSPARENT
E257	f83r	B3	B3-S013	MIDDLE	PROC069	chkain	K+AIN	AIN	PORTION	ZUGEBEN · PORTION	TRANSPARENT
