source_recipe	source_surface	counterpart_recipe	predicted_surface	counterpart_reading_de	fixed_page_collision	status
CH+O+AIIN	chodaiin	CH+O+AIN	chodain	ENTNEHMEN · ARBEITSGANG · PORTION	NO	WORKSHOP_PREDICTION_ONLY__DO_NOT_INSERT
CHD+AIN	chedain	CHD+AIIN	chedaiin	UMSETZEN · SOLLMASS	NO	WORKSHOP_PREDICTION_ONLY__DO_NOT_INSERT
CTH+AIIN	cthaiin	CTH+AIN	cthain	BEREITEN · PORTION	NO	WORKSHOP_PREDICTION_ONLY__DO_NOT_INSERT
K+AIN	chkain	K+AIIN	chkaiin	ZUGEBEN · SOLLMASS	NO	WORKSHOP_PREDICTION_ONLY__DO_NOT_INSERT
K+AIN	kain	K+AIIN	kaiin	ZUGEBEN · SOLLMASS	NO	WORKSHOP_PREDICTION_ONLY__DO_NOT_INSERT
L+AIIN	chldaiin	L+AIN	chldain	LEITEN · PORTION	NO	WORKSHOP_PREDICTION_ONLY__DO_NOT_INSERT
OL+K+AIN	olkain	OL+K+AIIN	olkaiin	WEITER · ZUGEBEN · SOLLMASS	NO	WORKSHOP_PREDICTION_ONLY__DO_NOT_INSERT
OL+K+AIN	qolkain	OL+K+AIIN	qolkaiin	WEITER · ZUGEBEN · SOLLMASS	NO	WORKSHOP_PREDICTION_ONLY__DO_NOT_INSERT
OR+AIN	orain	OR+AIIN	oraiin	ANSATZ · SOLLMASS	NO	WORKSHOP_PREDICTION_ONLY__DO_NOT_INSERT
OT+AIIN	otaiin	OT+AIN	otain	DANACH · PORTION	NO	WORKSHOP_PREDICTION_ONLY__DO_NOT_INSERT
OT+AIIN	sotaiin	OT+AIN	sotain	DANACH · PORTION	NO	WORKSHOP_PREDICTION_ONLY__DO_NOT_INSERT
OT+E+AIIN	qotedaiin	OT+E+AIN	qotedain	DANACH · KURZ · PORTION	NO	WORKSHOP_PREDICTION_ONLY__DO_NOT_INSERT
SH+Y+AIIN	shfydaiin	SH+Y+AIN	shfydain	HALTEN · DIES · PORTION	NO	WORKSHOP_PREDICTION_ONLY__DO_NOT_INSERT
SOLK+AIIN	solkaiin	SOLK+AIN	solkain	SAMMELSTELLE · PORTION	NO	WORKSHOP_PREDICTION_ONLY__DO_NOT_INSERT
