canonical_namespace_id	page	loci	groups	selectable_loci	legend_loci	unresolved_loci	instrument_reading_de	possible_condition_use_de	memory_atlas_rival_de	applicable_case_ids	workshop_role_de	label_handling_de
F67_RIGHT_WHEEL_NS	f67r2	23	56	20	3	0	rechtes Sektor- und Bedingungsrad	einen groben Himmelsabschnitt oder sichtbaren Bedingungsplatz waehlen und nur die zugehoerige Radlegende konsultieren	gegliederte Himmels-Lehrtafel ohne praktischen Entscheidungszweck	C1|C2	Wahlplatz oder Bedingung für den Fall	ganze lokale Marke aus dem Muster kopieren; nicht in Prosa-Stämme zerlegen
F67_LEFT_WHEEL_NS	f67r2	50	121	49	1	0	linkes Stern-, Strahl- oder Aspektfeldrad	eine feinere Stern- oder Aspektlage nach ihrem Bildort nachschlagen	eigenstaendiges Stern-Merkbild ohne Verbindung zum rechten Rad	C4|C5	Wahlplatz oder Bedingung für den Fall	ganze lokale Marke aus dem Muster kopieren; nicht in Prosa-Stämme zerlegen
F67_PAIRED_LEGEND_QUARANTINE_NS	f67r2	1	13	0	0	1	ungeloeste Seitenlegende zwischen beiden Raedern	nur als gemeinsame Ueberschrift oder Gebrauchshinweis abschreiben	reiner Seitentitel ohne Auswahlinhalt	C1|C2|C3|C4|C5|C6	Legende, Kopfstück oder ungelöster Schlüsselbereich abschreiben	ganze lokale Marke aus dem Muster kopieren; nicht in Prosa-Stämme zerlegen
F68_LEFT_PANEL_HEADER_NS	f68r1	1	9	0	1	0	linke Sternfeld-Ueberschrift	das linke Sternfeld als eigene Nachschlageeinheit aufrufen	Rubrik eines Bild- oder Lehratlasses	C3	Legende, Kopfstück oder ungelöster Schlüsselbereich abschreiben	ganze lokale Marke aus dem Muster kopieren; nicht in Prosa-Stämme zerlegen
F68_MIDDLE_PANEL_HEADER_NS	f68r1	1	9	0	1	0	mittlere Sternfeld-Ueberschrift	das mittlere Sternfeld als eigene Nachschlageeinheit aufrufen	Rubrik eines Bild- oder Lehratlasses	C3	Legende, Kopfstück oder ungelöster Schlüsselbereich abschreiben	ganze lokale Marke aus dem Muster kopieren; nicht in Prosa-Stämme zerlegen
F68_RIGHT_PANEL_HEADER_NS	f68r1	1	8	0	1	0	rechte Sternfeld-Ueberschrift	das rechte gegliederte Sternfeld als eigene Nachschlageeinheit aufrufen	Rubrik eines Bild- oder Lehratlasses	C3	Legende, Kopfstück oder ungelöster Schlüsselbereich abschreiben	ganze lokale Marke aus dem Muster kopieren; nicht in Prosa-Stämme zerlegen
F68_LOCAL_STAR_SLOT_NS	f68r1	28	28	28	0	0	achtundzwanzig raeumliche Stern- oder Asterismusplaetze	den beim Bild gezeigten Sternplatz nachschlagen; keine Kreisfolge voraussetzen	benannter Sternatlas, dessen Eintraege nur zum Wiedererkennen dienen	C3	Wahlplatz oder Bedingung für den Fall	ganze lokale Marke aus dem Muster kopieren; nicht in Prosa-Stämme zerlegen
F68_MULTIPANEL_HEADER_QUARANTINE_NS	f68r1	4	5	0	4	0	ungeloeste mehrpaneelige Kopfstuecke	sichtbaren Kopftext bewahren, aber keinem einzelnen Sternplatz zwingen	ornamentale oder redaktionelle Zwischenrubriken	C3	Legende, Kopfstück oder ungelöster Schlüsselbereich abschreiben	ganze lokale Marke aus dem Muster kopieren; nicht in Prosa-Stämme zerlegen
F68_CENTRAL_LEGEND_QUARANTINE_NS	f68r1	1	5	0	0	1	ungeloeste Zentrallegende	als lokalen Schluesselbereich behandeln, ohne ein einziges Seitenzentrum zu erfinden	reine Zentralbeschriftung eines Lehrbildes	C3	Legende, Kopfstück oder ungelöster Schlüsselbereich abschreiben	ganze lokale Marke aus dem Muster kopieren; nicht in Prosa-Stämme zerlegen
F68_CENTRE_KEY_QUARANTINE_NS	f68r1	1	1	0	0	1	ungeloestes Gesichts- oder Zentrumszeichen	nur als moeglichen lokalen Schluesselhalter behandeln	Bildmedaillon ohne katalogische Funktion	C3	Legende, Kopfstück oder ungelöster Schlüsselbereich abschreiben	ganze lokale Marke aus dem Muster kopieren; nicht in Prosa-Stämme zerlegen
F69_LEFT_WHEEL_NS	f69v	29	73	28	1	0	linkes Rad mit lokalem Achtundzwanziger-Inventar	einen der 28 Bildplaetze lokal waehlen und die Ringrubrik desselben Rades konsultieren; keine Reihenfolge erfinden	ungeordnetes Radialinventar oder Merkbild ohne Zeitfunktion	C1|C2|C5|C6	Wahlplatz oder Bedingung für den Fall	ganze lokale Marke aus dem Muster kopieren; nicht in Prosa-Stämme zerlegen
F69_MIDDLE_WHEEL_NS	f69v	1	38	0	1	0	mittleres Wolken-, Wellen- oder Himmelszustandsrad	einen Wetter- oder Himmelszustand als eigene Bedingung nachschlagen	selbstaendige kosmographische Bildrubrik	C1|C3|C6	Legende, Kopfstück oder ungelöster Schlüsselbereich abschreiben	ganze lokale Marke aus dem Muster kopieren; nicht in Prosa-Stämme zerlegen
F69_RIGHT_WHEEL_NS	f69v	1	29	0	1	0	rechtes Gesichts-, Licht- oder Planetenrad	einen Licht-, Gestirn- oder Komplexionszustand als eigene Bedingung nachschlagen	selbstaendige Planeten- oder Lehrbildrubrik	C4	Legende, Kopfstück oder ungelöster Schlüsselbereich abschreiben	ganze lokale Marke aus dem Muster kopieren; nicht in Prosa-Stämme zerlegen
