source_group_id	unit_id	page	visible_surface	atom_sequence	card_reading_de	source_slot_sequence	learned_or_local_atoms	slot_assignment_complete	clause_shape_id	clause_shape_family	shape_assignment_reason
E001	H1-S001	f10r	dchey	DCHE+Y	Wurzel als aktueller Posten	LEARNED_OR_LOCAL_BODY>REFERENT	DCHE	YES	C01	LEARNED_BODY_CHAIN	LEARNED_OR_LOCAL_BODY>REFERENT
E002	H1-S001	f10r	cthoor	CTH+OR	Ansatz bereit	ACTION>SOURCE_OR_PREPARATION	NONE	YES	C05	ACTION_SOURCE	ACTION>SOURCE_OR_PREPARATION
E003	H1-S001	f10r	char	AR	aus dem Ansatz	SOURCE_OR_PREPARATION	NONE	YES	C09	SOURCE_PREPARATION	SOURCE_OR_PREPARATION
E004	H1-S001	f10r	chty	PARTITION+TY	Teil abtrennen	ACTION>QUANTITY_OR_STAGE	NONE	YES	C06	ACTION_QUANTITY	ACTION>QUANTITY_OR_STAGE
E005	H1-S001	f10r	os	OS	Mischgefäß	LEARNED_OR_LOCAL_BODY	OS	YES	C01	LEARNED_BODY_CHAIN	LEARNED_OR_LOCAL_BODY
E006	H1-S001	f10r	chair	AIR	Wasserzulauf	SOURCE_OR_PREPARATION	NONE	YES	C09	SOURCE_PREPARATION	SOURCE_OR_PREPARATION
E007	H1-S001	f10r	otytchol	OT+TY+OL	naechsten Teilposten weiterfuehren	ORDER>QUANTITY_OR_STAGE	NONE	YES	C02	ORDER_CHAIN	ORDER>QUANTITY_OR_STAGE
E008	H1-S001	f10r	oky	OK+Y	aktuellen Posten ansetzen	ACTION>REFERENT	NONE	YES	C07	ACTION_REFERENT	ACTION>REFERENT
E009	H1-S001	f10r	daiin	AIIN	Sollmaß	QUANTITY_OR_STAGE	NONE	YES	C10	QUANTITY_STAGE	QUANTITY_OR_STAGE
E010	H1-S001	f10r	etyd	E+TY	kleiner Restteil	QUANTITY_OR_STAGE>GRADE	NONE	YES	C10	QUANTITY_STAGE	QUANTITY_OR_STAGE>GRADE
E011	H1-S002	f10r	qokchy	OK+Y	Posten zur Weiterbearbeitung ansetzen	ACTION>REFERENT	NONE	YES	C07	ACTION_REFERENT	ACTION>REFERENT
E012	H1-S002	f10r	qotchol	OT+OL	danach weiterfuehren	ORDER	NONE	YES	C02	ORDER_CHAIN	ORDER
E013	H1-S002	f10r	chol	OL	fortsetzen	ORDER	NONE	YES	C02	ORDER_CHAIN	ORDER
E014	H1-S002	f10r	cthy	CTH+Y	bereit	ACTION>REFERENT	NONE	YES	C07	ACTION_REFERENT	ACTION>REFERENT
E015	H2-S001	f10r	ycheor	Y+CHEO+OR	Auszugsansatz	SOURCE_OR_PREPARATION>REFERENT	NONE	YES	C09	SOURCE_PREPARATION	SOURCE_OR_PREPARATION>REFERENT
E016	H2-S001	f10r	cthy	CTH+Y	bereit	ACTION>REFERENT	NONE	YES	C07	ACTION_REFERENT	ACTION>REFERENT
E017	H2-S001	f10r	chor	OR	Ansatz	SOURCE_OR_PREPARATION	NONE	YES	C09	SOURCE_PREPARATION	SOURCE_OR_PREPARATION
E018	H2-S001	f10r	cthaiin	CTH+AIIN	Fertigmaß	ACTION>QUANTITY_OR_STAGE	NONE	YES	C06	ACTION_QUANTITY	ACTION>QUANTITY_OR_STAGE
E019	H2-S001	f10r	qoctholy	CTH+OL+Y	bereiten Posten weiterfuehren	ORDER>ACTION>REFERENT	NONE	YES	C02	ORDER_CHAIN	ORDER>ACTION>REFERENT
E020	H2-S001	f10r	dy	Y	dieser Posten	REFERENT	NONE	YES	C12	REFERENT_CLOSE_RESIDUE	REFERENT
E021	H2-S001	f10r	chy	Y	dieser Posten	REFERENT	NONE	YES	C12	REFERENT_CLOSE_RESIDUE	REFERENT
E022	H2-S001	f10r	taiin	AIIN	Sollmaß	QUANTITY_OR_STAGE	NONE	YES	C10	QUANTITY_STAGE	QUANTITY_OR_STAGE
E023	H2-S001	f10r	shy	Y	dieser Posten	REFERENT	NONE	YES	C12	REFERENT_CLOSE_RESIDUE	REFERENT
E024	H2-S002	f10r	qotchor	OT+OR	Folgeansatz	ORDER>SOURCE_OR_PREPARATION	NONE	YES	C02	ORDER_CHAIN	ORDER>SOURCE_OR_PREPARATION
E025	H2-S002	f10r	chor	OR	Ansatz	SOURCE_OR_PREPARATION	NONE	YES	C09	SOURCE_PREPARATION	SOURCE_OR_PREPARATION
E026	H2-S002	f10r	otol	OT+OL	danach fortsetzen	ORDER	NONE	YES	C02	ORDER_CHAIN	ORDER
E027	H2-S002	f10r	chol	OL	fortsetzen	ORDER	NONE	YES	C02	ORDER_CHAIN	ORDER
E028	H2-S002	f10r	cholor	OL+OR	Fortsetzungsansatz	ORDER>SOURCE_OR_PREPARATION	NONE	YES	C02	ORDER_CHAIN	ORDER>SOURCE_OR_PREPARATION
E029	H2-S002	f10r	chol	OL	fortsetzen	ORDER	NONE	YES	C02	ORDER_CHAIN	ORDER
E030	H2-S002	f10r	daiin	AIIN	Sollmaß	QUANTITY_OR_STAGE	NONE	YES	C10	QUANTITY_STAGE	QUANTITY_OR_STAGE
E031	H2-S002	f10r	dar	AR	aus dem Ansatz	SOURCE_OR_PREPARATION	NONE	YES	C09	SOURCE_PREPARATION	SOURCE_OR_PREPARATION
E032	H2-S003	f10r	oykchor	Y+KCH+OR	aktuellen Ansatz bearbeiten	ACTION>SOURCE_OR_PREPARATION>REFERENT	NONE	YES	C05	ACTION_SOURCE	ACTION>SOURCE_OR_PREPARATION>REFERENT
E033	H2-S003	f10r	shor	OR	Ansatz	SOURCE_OR_PREPARATION	NONE	YES	C09	SOURCE_PREPARATION	SOURCE_OR_PREPARATION
E034	H2-S003	f10r	chor	OR	Ansatz	SOURCE_OR_PREPARATION	NONE	YES	C09	SOURCE_PREPARATION	SOURCE_OR_PREPARATION
