shape_id	shape_family	abstract_formula_de	workshop_rule_de	observed_group_count	observed_slot_sequences	short_examples
C01	LEARNED_BODY_CHAIN	NOMEN + optionale Adresse/Handlung/Schluss	Gelernte Fachkarte einsetzen; nur ihre beobachteten Anhänge ergänzen.	54	LEARNED_OR_LOCAL_BODY | LEARNED_OR_LOCAL_BODY>ACTION | LEARNED_OR_LOCAL_BODY>ACTION>CLOSE | LEARNED_OR_LOCAL_BODY>ACTION>GRADE>CLOSE | LEARNED_OR_LOCAL_BODY>ACTION>REFERENT | LEARNED_OR_LOCAL_BODY>ACTION>SOURCE_OR_PREPARATION | LEARNED_OR_LOCAL_BODY>ACTION>TARGET | LEARNED_OR_LOCAL_BODY>CLOSE | LEARNED_OR_LOCAL_BODY>GRADE>CLOSE | LEARNED_OR_LOCAL_BODY>ORDER | LEARNED_OR_LOCAL_BODY>QUANTITY_OR_STAGE | LEARNED_OR_LOCAL_BODY>QUANTITY_OR_STAGE>REFERENT | LEARNED_OR_LOCAL_BODY>REFERENT | LEARNED_OR_LOCAL_BODY>SOURCE_OR_PREPARATION | LEARNED_OR_LOCAL_BODY>TARGET | LEARNED_OR_LOCAL_BODY>TARGET>REFERENT	dchey=Wurzel als aktueller Posten | os=Mischgefäß | chodaiin=Zutatenmaß | tshol=Zutat entnehmen
C02	ORDER_CHAIN	FOLGE/FORTSETZUNG + folgende Klausel	Den nächsten, fortgesetzten oder vorigen Posten setzen.	70	ORDER | ORDER>ACTION | ORDER>ACTION>CLOSE | ORDER>ACTION>GRADE | ORDER>ACTION>REFERENT | ORDER>CLOSE | ORDER>GRADE | ORDER>GRADE>CLOSE | ORDER>GRADE>REFERENT | ORDER>QUANTITY_OR_STAGE | ORDER>QUANTITY_OR_STAGE>GRADE | ORDER>REFERENT | ORDER>SOURCE_OR_PREPARATION | ORDER>TARGET	otytchol=naechsten Teilposten weiterfuehren | qotchol=danach weiterfuehren | chol=fortsetzen | qoctholy=bereiten Posten weiterfuehren
C03	ACTION_GRADE_ENDPOINT	HANDLUNG + GRAD + POSTEN/SCHLUSS	Handlung kurz, länger oder vollständig ausführen; Posten halten oder schließen.	65	ACTION>GRADE>CLOSE | ACTION>GRADE>REFERENT | ACTION>TARGET>GRADE	cheeky=länger erwärmen und offen halten | kchey=diesen Posten kurz bearbeiten | qokedy=kurz ansetzen; Schluss | sheckhal=kurz zur Zielstelle durchleiten
C04	ACTION_TARGET	HANDLUNG + ZIELSTELLE	Eine Handlung an die sichtbare oder geerbte Zielstelle binden.	13	ACTION>TARGET | ACTION>TARGET>CLOSE | ACTION>TARGET>REFERENT	okal=dort ansetzen | kchal=an der Zielstelle bearbeiten | okal=dort ansetzen | qokal=dort ansetzen
C05	ACTION_SOURCE	HANDLUNG + QUELLE/ANSATZ	Eine Handlung aus einer Quelle oder am laufenden Ansatz ausführen.	7	ACTION>SOURCE_OR_PREPARATION | ACTION>SOURCE_OR_PREPARATION>REFERENT	cthoor=Ansatz bereit | oykchor=aktuellen Ansatz bearbeiten | chokcheo=Auszug zugeben | qokar=daraus ansetzen
C06	ACTION_QUANTITY	HANDLUNG + PORTION/STUFE	Eine Handlung auf eine Portion, ein Maß oder eine Arbeitsstufe beziehen.	23	ACTION>QUANTITY_OR_STAGE	chty=Teil abtrennen | cthaiin=Fertigmaß | shfydaiin=Standmaß | qokaiin=auf Sollmaß einstellen
C07	ACTION_REFERENT	HANDLUNG + DIESER POSTEN	Die Handlung am aktuell gemeinten Arbeitsposten ausführen.	41	ACTION>REFERENT	oky=aktuellen Posten ansetzen | qokchy=Posten zur Weiterbearbeitung ansetzen | cthy=bereit | cthy=bereit
C08	ACTION_CLOSE_OR_BARE	HANDLUNG + optionaler SCHLUSS	Eine nackte Handlung ausführen und nur bei gelernter Endkarte schließen.	20	ACTION | ACTION>CLOSE	sh=halten | schedy=Posten überführen; Schluss | sshkchdy=im Arbeitsgang schwenken; Schluss | qokchdy=Umsetzung ansetzen; Schluss
C09	SOURCE_PREPARATION	QUELLE/LAUF/ANSATZ + optionale Adresse	Quelle, Flüssigkeitslauf, Auszug oder Ansatz nennen.	22	SOURCE_OR_PREPARATION | SOURCE_OR_PREPARATION>QUANTITY_OR_STAGE | SOURCE_OR_PREPARATION>REFERENT | SOURCE_OR_PREPARATION>REFERENT>CLOSE | SOURCE_OR_PREPARATION>TARGET	char=aus dem Ansatz | chair=Wasserzulauf | ycheor=Auszugsansatz | chor=Ansatz
C10	QUANTITY_STAGE	MASS/PORTION/STUFE + optionaler GRAD	Den örtlich geltenden Wert, die Portion oder Stufe einsetzen.	33	QUANTITY_OR_STAGE | QUANTITY_OR_STAGE>GRADE | QUANTITY_OR_STAGE>GRADE>REFERENT | QUANTITY_OR_STAGE>REFERENT	daiin=Sollmaß | etyd=kleiner Restteil | taiin=Sollmaß | daiin=Sollmaß
C11	TARGET_ADDRESS	ZIELSTELLE + optionaler POSTEN/SCHLUSS	Die bezeichnete Stelle setzen; das Bild liefert den konkreten Besitzer.	15	TARGET | TARGET>CLOSE | TARGET>REFERENT	dal=dorthin | al=dorthin | ral=zur Zielstelle | sal=dorthin
C12	REFERENT_CLOSE_RESIDUE	DIESER POSTEN + optionaler SCHLUSS	Den laufenden Posten wiederaufnehmen oder eine residuale Kurzform lesen.	18	REFERENT	dy=dieser Posten | chy=dieser Posten | shy=dieser Posten | chy=dieser Posten
