chain_order	unit_id	page	owner	natural_source_prose_de	terse_source_formular_de	slot_program	clause_shape_program	atom_sequence	visible_surface	compression_note
1	H1-S001	f10r	der ganzen breitblättrigen gezähnten Bildpflanze	Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel. Säubere ihn. Führe ihn als denselben Arbeitsansatz weiter. Zerschneide ihn. Gib die Stücke in ein Gefäß. Gieße Quellwasser darüber. Fange den ersten Auszug in einem Glas auf. Gebrauche diesen Auszug innerlich. Nimm davon das örtlich vorgeschriebene kleine Maß. Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen.	BESITZER der ganzen breitblättrigen gezähnten Bildpflanze; Wurzel als aktueller Posten; Ansatz bereit; aus dem Ansatz; Teil abtrennen; Mischgefäß; Wasserzulauf; naechsten Teilposten weiterfuehren; aktuellen Posten ansetzen; Sollmaß; kleiner Restteil.	[LEARNED_OR_LOCAL_BODY>REFERENT=Wurzel als aktueller Posten] [ACTION>SOURCE_OR_PREPARATION=Ansatz bereit] [SOURCE_OR_PREPARATION=aus dem Ansatz] [ACTION>QUANTITY_OR_STAGE=Teil abtrennen] [LEARNED_OR_LOCAL_BODY=Mischgefäß] [SOURCE_OR_PREPARATION=Wasserzulauf] [ORDER>QUANTITY_OR_STAGE=naechsten Teilposten weiterfuehren] [ACTION>REFERENT=aktuellen Posten ansetzen] [QUANTITY_OR_STAGE=Sollmaß] [QUANTITY_OR_STAGE>GRADE=kleiner Restteil]	C01 > C05 > C09 > C06 > C01 > C09 > C02 > C07 > C10 > C10	DCHE+Y | CTH+OR | AR | PARTITION+TY | OS | AIR | OT+TY+OL | OK+Y | AIIN | E+TY	dchey cthoor char chty os chair otytchol oky daiin etyd	Inhalt und Besitzer werden elliptisch; Bauform, Reihenfolge und Kartenkörper bleiben schreibbar.
2	H1-S002	f10r	der ganzen breitblättrigen gezähnten Bildpflanze	Nimm erneut von dem frischen ersten Auszug. Erwärme ihn gelinde. Führe ihn als denselben laufenden Ansatz fort. Sobald er zum Gebrauch bereit ist, gebrauche ihn.	BESITZER der ganzen breitblättrigen gezähnten Bildpflanze; Posten zur Weiterbearbeitung ansetzen; danach weiterfuehren; fortsetzen; bereit.	[ACTION>REFERENT=Posten zur Weiterbearbeitung ansetzen] [ORDER=danach weiterfuehren] [ORDER=fortsetzen] [ACTION>REFERENT=bereit]	C07 > C02 > C02 > C07	OK+Y | OT+OL | OL | CTH+Y	qokchy qotchol chol cthy	Inhalt und Besitzer werden elliptisch; Bauform, Reihenfolge und Kartenkörper bleiben schreibbar.
3	H2-S002	f10r	der ganzen breitblättrigen gezähnten Bildpflanze	Nimm vor voller Blüte eine zweite Portion der Spitzen. Führe den ersten Ansatz weiter. Nimm eine Handvoll. Verknüpfe diese Fraktion mit dem laufenden Arbeitsstand. Nimm den vorherigen Posten hinzu. Führe beide als neuen aktiven Posten. Gib von beiden das gleiche örtliche Maß. Vereinige die beiden Fraktionen.	BESITZER der ganzen breitblättrigen gezähnten Bildpflanze; Folgeansatz; Ansatz; danach fortsetzen; fortsetzen; Fortsetzungsansatz; fortsetzen; Sollmaß; aus dem Ansatz.	[ORDER>SOURCE_OR_PREPARATION=Folgeansatz] [SOURCE_OR_PREPARATION=Ansatz] [ORDER=danach fortsetzen] [ORDER=fortsetzen] [ORDER>SOURCE_OR_PREPARATION=Fortsetzungsansatz] [ORDER=fortsetzen] [QUANTITY_OR_STAGE=Sollmaß] [SOURCE_OR_PREPARATION=aus dem Ansatz]	C02 > C09 > C02 > C02 > C02 > C02 > C10 > C09	OT+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	qotchor chor otol chol cholor chol daiin dar	Inhalt und Besitzer werden elliptisch; Bauform, Reihenfolge und Kartenkörper bleiben schreibbar.
4	H3-S001	f11r	der ganzen dicht blau bekrönten Bildpflanze	Nimm im ersten Frühjahr Blüten und junge Blätter der unbenannten Pflanze. Koche sie in reinem Wein. Wring den Ansatz durch ein feines Tuch. Lass den Auszug stehen. Seihe ihn nochmals durch ein Tuch. Warte, bis der örtlich verlangte klare Zustand erreicht ist. Lass ihn abkühlen; damit endet der erste Posten.	BESITZER der ganzen dicht blau bekrönten Bildpflanze; Zutat entnehmen; Zutat an die Arbeitsstelle geben; aktuellen Posten auswringen; Standmaß; aktuellen Posten nachseihen; klarer Auszug; Eingangsposten beiseitestellen; Schluss.	[LEARNED_OR_LOCAL_BODY=Zutat entnehmen] [LEARNED_OR_LOCAL_BODY>TARGET=Zutat an die Arbeitsstelle geben] [ACTION>REFERENT=aktuellen Posten auswringen] [ACTION>QUANTITY_OR_STAGE=Standmaß] [ACTION>REFERENT=aktuellen Posten nachseihen] [LEARNED_OR_LOCAL_BODY=klarer Auszug] [LEARNED_OR_LOCAL_BODY>CLOSE=Eingangsposten beiseitestellen; Schluss]	C01 > C01 > C07 > C06 > C07 > C01 > C01	HO+L | HO+AL | CFH+Y | SH+AIIN | CPH+Y | CHEEY | HO+CLOSE	tshol schoal cfhy shfydaiin cphy shey tchody	Inhalt und Besitzer werden elliptisch; Bauform, Reihenfolge und Kartenkörper bleiben schreibbar.
5	H3-S002	f11r	der ganzen dicht blau bekrönten Bildpflanze	Behalte einen Teil der frischen Blüten für eine zweite Arznei zurück.	BESITZER der ganzen dicht blau bekrönten Bildpflanze; Zutatenteil.	[LEARNED_OR_LOCAL_BODY>QUANTITY_OR_STAGE>REFERENT=Zutatenteil]	C01	HO+Y+TY	shoyty	Inhalt und Besitzer werden elliptisch; Bauform, Reihenfolge und Kartenkörper bleiben schreibbar.
6	H3-S003	f11r	der ganzen dicht blau bekrönten Bildpflanze	Nimm den ersten Auszug wieder auf. Nimm davon einen Anteil. Gib ihn als Trank. Gebrauche ihn bei bedrücktem Gemüt und beschwerter Brust. Gib ein kleines örtliches Maß.	BESITZER der ganzen dicht blau bekrönten Bildpflanze; vorigen Posten fortsetzen; dieser Posten; diesen Posten bearbeiten; dieser Posten; Sollmaß.	[ORDER=vorigen Posten fortsetzen] [REFERENT=dieser Posten] [ACTION>REFERENT=diesen Posten bearbeiten] [REFERENT=dieser Posten] [QUANTITY_OR_STAGE=Sollmaß]	C02 > C12 > C07 > C12 > C10	PREV+OL | Y | KCH+Y | Y | AIIN	dchol chy kchy dy daiin	Inhalt und Besitzer werden elliptisch; Bauform, Reihenfolge und Kartenkörper bleiben schreibbar.
7	H3-S004	f11r	der ganzen dicht blau bekrönten Bildpflanze	Nimm die zurückbehaltenen Blüten. Erwärme sie in Olivenöl. Warte, bis der örtliche Bereitschaftszustand erreicht ist. Streiche das Öl äußerlich um die Lider, ohne das Auge zu berühren.	BESITZER der ganzen dicht blau bekrönten Bildpflanze; anschließender Arbeitsposten; weiterlaufenden Posten aufnehmen; bereit; dieser Posten.	[ORDER>REFERENT=anschließender Arbeitsposten] [ORDER>ACTION=weiterlaufenden Posten aufnehmen] [ACTION>REFERENT=bereit] [REFERENT=dieser Posten]	C02 > C02 > C07 > C12	OT+Y | OK+OL | CTH+Y | Y	qotchy okchol cthy dy	Inhalt und Besitzer werden elliptisch; Bauform, Reihenfolge und Kartenkörper bleiben schreibbar.
8	B1-S001	f81v	dem gemeinsamen zweireihigen Becken	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	BESITZER dem gemeinsamen zweireihigen Becken; kurz ansetzen; Schluss.	[ACTION>GRADE>CLOSE=kurz ansetzen; Schluss]	C03	OK+E+CLOSE	qokedy	Inhalt und Besitzer werden elliptisch; Bauform, Reihenfolge und Kartenkörper bleiben schreibbar.
9	B2-S005	f82r	den oberen Paarbecken mit Zylinder	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Fahre am zweiten Lauf fort. Durch ein Tuch. Durch die verbundenen Läufe. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Unter derselben Einstellung. Das breite Gefäß. Ziehe es ab und beende den Schritt.	BESITZER den oberen Paarbecken mit Zylinder; dies dort ansetzen; bis Sollmass sammeln; durchleiten; auf Sollmaß einstellen; auf Sollmaß einstellen; bereitgestellten Gang fortsetzen; diesen Posten länger warm halten; abziehen; Ende.	[ACTION>TARGET>REFERENT=dies dort ansetzen] [ACTION>QUANTITY_OR_STAGE=bis Sollmass sammeln] [ACTION>REFERENT=durchleiten] [ACTION>QUANTITY_OR_STAGE=auf Sollmaß einstellen] [ACTION>QUANTITY_OR_STAGE=auf Sollmaß einstellen] [ORDER>ACTION=bereitgestellten Gang fortsetzen] [ACTION>GRADE>REFERENT=diesen Posten länger warm halten] [LEARNED_OR_LOCAL_BODY>CLOSE=abziehen; Ende]	C04 > C06 > C07 > C06 > C06 > C02 > C03 > C01	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | OK+AIIN | CTH+OL | CHK+EE+Y | L+CLOSE	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	Inhalt und Besitzer werden elliptisch; Bauform, Reihenfolge und Kartenkörper bleiben schreibbar.
10	B2-S006	f82r	den oberen Paarbecken mit Zylinder	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Der vorbereitete Bade- oder Waschzusatz. Den aktiven Posten an der örtlich bezeichneten Station führen. Über der örtlich bezeichneten Stelle. Die Badeflüssigkeit am bezeichneten Körper- oder Teilbadbereich gebrauchen.	BESITZER den oberen Paarbecken mit Zylinder; langer Folgeposten; dort ansetzen; kurz durchleiten; aktuellen Posten ansetzen.	[ORDER>GRADE>REFERENT=langer Folgeposten] [ACTION>TARGET=dort ansetzen] [ACTION>GRADE>REFERENT=kurz durchleiten] [ACTION>REFERENT=aktuellen Posten ansetzen]	C02 > C04 > C03 > C07	OT+EE+Y | OK+AL | CKH+E+Y | OK+Y	oteey qokal sheckhy qoky	Inhalt und Besitzer werden elliptisch; Bauform, Reihenfolge und Kartenkörper bleiben schreibbar.
