surface	prose_events	astro_events	prose_pages	astro_pages	prose_defaults	astro_defaults	all_occurrence_exact_default_portable	working_disposition
aiin	3	6	f55v|f82r|f83r	f67r2|f69v	in the stated or usual measure	as written above || avoid bleeding || inspect the pictured schedule || the favourable condition || use the indicated remedy || with the usual measure	NO	REGISTER_LOCAL_HOMOGRAPH
char	2	1	f10r|f82r	f69v	from the same prepared batch	continue to the next station	NO	REGISTER_LOCAL_HOMOGRAPH
chdy	1	1	f83r	f69v	stir until evenly mixed	apply the remedy	NO	REGISTER_LOCAL_HOMOGRAPH
cheal	1	1	f82r	f69v	apply it at the place indicated by the drawing	keep the usual measure	NO	REGISTER_LOCAL_HOMOGRAPH
cheey	2	2	f82r	f68r1|f69v	until the liquid runs clear	apply the remedy || without changing the catalogue order	NO	REGISTER_LOCAL_HOMOGRAPH
chey	7	4	f81v|f82r|f83r	f69v	this present portion	apply the remedy || continue to the next station || inspect the pictured schedule || repeat only once	NO	REGISTER_LOCAL_HOMOGRAPH
cho	2	2	f56r	f67r2|f69v	then take the following ingredient or plant part	close the consultation || house 7: marriage and partners	NO	REGISTER_LOCAL_HOMOGRAPH
choky	2	1	f56r	f69v	apply or use this portion	keep the usual measure	NO	REGISTER_LOCAL_HOMOGRAPH
chol	3	4	f10r	f67r2|f69v	with the foregoing preparation	keep the usual measure || repeat only once || under the same governor	NO	REGISTER_LOCAL_HOMOGRAPH
chy	3	2	f10r|f11r	f67r2|f69v	this present portion	continue to the next station || its application rule	NO	REGISTER_LOCAL_HOMOGRAPH
daiin	11	4	f10r|f11r|f55v|f56r|f81v|f82r|f83r	f67r2	in the stated or usual measure	in the morning || its permitted application || let it settle || then proceed	NO	REGISTER_LOCAL_HOMOGRAPH
dain	2	1	f83r	f67r2	through a cloth	for this division	NO	REGISTER_LOCAL_HOMOGRAPH
dal	5	5	f56r|f83r	f67r2|f69v	apply it at the place indicated by the drawing	close the consultation || if the condition is favourable || its permitted application || then proceed || when the Moon reaches the station	NO	REGISTER_LOCAL_HOMOGRAPH
dar	2	2	f10r|f83r	f67r2|f69v	from the same prepared batch	for this division || if the condition is favourable	NO	REGISTER_LOCAL_HOMOGRAPH
dy	5	9	f10r|f11r|f82r	f67r2|f69v	this present portion	do not overheat || if adverse, withhold it || inspect the pictured schedule || its permitted application || let it settle || then stop || when the Moon enters || when the Moon reaches the station	NO	REGISTER_LOCAL_HOMOGRAPH
kchey	1	1	f56r	f67r2	the dried narrow leaf	its ruling quality	NO	REGISTER_LOCAL_HOMOGRAPH
kchy	1	1	f11r	f67r2	bind it upon a swollen place	its ruling quality	NO	REGISTER_LOCAL_HOMOGRAPH
ody	1	1	f55v	f69v	steep it until the liquor is clear	apply the remedy	NO	REGISTER_LOCAL_HOMOGRAPH
