atom	portable_value_de	target_add_effect_count	carrier_remove_effect_count	total_effect_count	target_add_card_count	carrier_remove_card_count	realization_registers	all_effect_checks_passed	guard
AL	ZIELORT	6	0	6	6	0	SOURCE_SECTION_T|HERBAL	YES	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
AR	AUSGANG	0	2	2	0	2	SOURCE_SECTION_T|CELESTIAL	YES	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
CH	NEHMEN	9	0	9	9	0	SOURCE_SECTION_T|CELESTIAL|PHARMA	YES	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
CHD	BEARBEITEN	6	0	6	6	0	SOURCE_SECTION_T|CELESTIAL|PHARMA	YES	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
D_ADDR	HIER	0	2	2	0	2	HERBAL	YES	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
E	GRAD I	3	0	3	3	0	CELESTIAL|PHARMA	YES	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
O	AUSFÜHRUNG	0	2	2	0	2	CELESTIAL|PHARMA	YES	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
OL	FORTSETZEN	0	7	7	0	7	HERBAL|BIOLOGICAL|PHARMA	YES	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
OR	EINHEIT	6	2	8	6	2	HERBAL|CELESTIAL|PHARMA	YES	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
Y	POSTEN	10	4	14	10	4	SOURCE_SECTION_T|HERBAL|CELESTIAL|PHARMA	YES	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
