delta_operation	card_count	card_ids	target_registers	support_depths	target_only_patterns	carrier_only_patterns	sentence_effect_de	all_phrase_deltas_consistent	guard
ADD_DESTINATION	6	G504-D06|G504-D07|G504-D13|G504-D16|G504-D38|G504-D39	SOURCE_SECTION_T|HERBAL	CROSS_REGISTER_NORMALIZED_DELTA|DIRECT_LOCAL_DELTA	AL	NONE	Der Zielsatz ergänzt genau die owner-lokale Zielangabe.	YES	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
ADD_UNIT_ARGUMENT	6	G504-D04|G504-D10|G504-D12|G504-D24|G504-D33|G504-D40	CELESTIAL|PHARMA	CROSS_REGISTER_NORMALIZED_DELTA|DIRECT_LOCAL_DELTA	OR	NONE	Der Zielsatz ergänzt die owner-lokale Einheit als zweites Argument.	YES	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
ADD_SECOND_POST_ARGUMENT	4	G504-D05|G504-D08|G504-D09|G504-D32	CELESTIAL|PHARMA	CROSS_REGISTER_NORMALIZED_DELTA|DIRECT_LOCAL_DELTA	Y	NONE	Der Zielsatz ergänzt den owner-lokalen Posten neben der Einheit.	YES	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
EXPLICITIZE_INHERITED_POST	4	G504-D34|G504-D35|G504-D36|G504-D37	SOURCE_SECTION_T|HERBAL	CROSS_REGISTER_NORMALIZED_DELTA	Y	NONE	Der schon sprachlich geerbte Posten wird im Rezept ausdrücklich gesetzt.	YES	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
ADD_SERIAL_ACTION	8	G504-D01|G504-D02|G504-D20|G504-D23|G504-D25|G504-D26|G504-D30|G504-D31	SOURCE_SECTION_T|CELESTIAL|PHARMA	CROSS_REGISTER_NORMALIZED_DELTA|DIRECT_LOCAL_DELTA	CH|CHD	NONE	Der Zielsatz ergänzt genau eine weitere Handlung in sichtbarer Reihenfolge.	YES	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
ADD_SERIAL_ACTION_AND_GRADE	2	G504-D17|G504-D18	CELESTIAL|PHARMA	DIRECT_LOCAL_DELTA	CH+E	NONE	Der Zielsatz ergänzt eine weitere Handlung samt Grad I.	YES	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
COUNTED_REPEAT	4	G504-D03|G504-D11|G504-D14|G504-D15	SOURCE_SECTION_T|CELESTIAL|PHARMA	DIRECT_LOCAL_DELTA	CH|CHD	NONE	Der zweite gleiche Handlungskopf wird flüssig als zweimal realisiert.	YES	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
COUNTED_REPEAT_AND_EXPLICITIZE_POST	1	G504-D19	CELESTIAL	DIRECT_LOCAL_DELTA	CH+Y	NONE	Zweimal realisiert die Wiederholung; der zuvor geerbte Posten wird explizit.	YES	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
PAIR_REPLACE_CARRIER_CONTEXT_WITH_POST	1	G504-D21	PHARMA	PAIR_BACKBONE_FRAME_EDIT	Y	O+OL	Das alte Handlungspaar bleibt; Ausführung/Fortsetzung weichen dem expliziten Posten.	YES	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
PAIR_REPLACE_CARRIER_CONTEXT_WITH_GRADE	1	G504-D27	CELESTIAL	PAIR_BACKBONE_FRAME_EDIT	E	O+AR	Das alte Handlungspaar bleibt; Ausführung/Ausgang weichen Grad I.	YES	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
PAIR_DROP_CONTINUATION	4	G504-D22|G504-D28|G504-D29|G504-D41	SOURCE_SECTION_T|CELESTIAL|PHARMA	PAIR_BACKBONE_FRAME_EDIT	NONE	OL	Das alte Handlungspaar bleibt; nur die fremde Fortsetzungsangabe fällt weg.	YES	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
PAIR_DROP_ORIGIN	1	G504-D42	SOURCE_SECTION_T	PAIR_BACKBONE_FRAME_EDIT	NONE	AR	Das alte Handlungspaar bleibt; nur die fremde Ausgangsangabe fällt weg.	YES	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
PAIR_CONTEXTUALIZE_REPEAT_ARGUMENTS	2	G504-D43|G504-D44	SOURCE_SECTION_T|PHARMA	PAIR_BACKBONE_FRAME_EDIT	NONE	OR+Y	Das wiederholte Handlungspaar bleibt; fremde Einheit und Posten werden zum Vorbezug.	YES	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
PAIR_CONTEXTUALIZE_AND_DROP_ADDRESS	2	G504-D45|G504-D46	SOURCE_SECTION_T|PHARMA	PAIR_BACKBONE_FRAME_EDIT	NONE	OL+D_ADDR+Y	Das Handlungspaar bleibt; Fortsetzung, Adresse und fremder Posten werden nicht übertragen.	YES	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
