token_effect_id	source_comparison_card_id	effect_side	atom	portable_value_de	realization_register	owner_local_value_de	phrase_marker_de	source_phrase_contains_marker	target_phrase_contains_marker	source_inherited_argument_root	expectation	effect_check_passed	guard
G504-E001	G502-F01	TARGET_ADD	CH	NEHMEN	CELESTIAL	POSITION AUFNEHMEN	nimm	NO	YES	NONE	TARGET_REALIZATION_PRESENT	YES	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-E002	G502-F02	TARGET_ADD	CH	NEHMEN	PHARMA	DROGENPOSTEN NEHMEN	nimm	NO	YES	NONE	TARGET_REALIZATION_PRESENT	YES	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-E003	G502-F03	TARGET_ADD	CH	NEHMEN	PHARMA	DROGENPOSTEN NEHMEN	zweimal	NO	YES	NONE	TARGET_COUNT_WORD_ZWEIMAL	YES	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-E004	G502-F04	TARGET_ADD	OR	EINHEIT	PHARMA	ANSATZEINHEIT	ansatzeinheit	NO	YES	NONE	TARGET_REALIZATION_PRESENT	YES	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-E005	G502-F05	TARGET_ADD	Y	POSTEN	PHARMA	DROGENPOSTEN	drogenposten	NO	YES	NONE	TARGET_REALIZATION_PRESENT	YES	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-E006	G502-F06	TARGET_ADD	AL	ZIELORT	HERBAL	ZIELSTELLE	zielstelle	NO	YES	NONE	TARGET_REALIZATION_PRESENT	YES	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-E007	G502-F07	TARGET_ADD	AL	ZIELORT	HERBAL	ZIELSTELLE	zielstelle	NO	YES	NONE	TARGET_REALIZATION_PRESENT	YES	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-E008	G502-F08	TARGET_ADD	Y	POSTEN	CELESTIAL	POSITIONSPOSTEN	positionsposten	NO	YES	NONE	TARGET_REALIZATION_PRESENT	YES	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-E009	G502-F09	TARGET_ADD	Y	POSTEN	PHARMA	DROGENPOSTEN	drogenposten	NO	YES	NONE	TARGET_REALIZATION_PRESENT	YES	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-E010	G502-F10	TARGET_ADD	OR	EINHEIT	CELESTIAL	POSITIONSEINHEIT	positionseinheit	NO	YES	NONE	TARGET_REALIZATION_PRESENT	YES	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
