ngram_length	component_ngram	cases	case_count	occurrences	locations	interpretation
3	OK+EE+Y -> OK+Y -> OL	C2|C4	2	2	C2:B2-S010|C4:B4-S003	EXACT_REUSED_CARD_SEQUENCE__STRONGER_THAN_SHARED_ABSTRACT_MODULE
3	Y -> AIIN -> Y	C2|C3	2	2	C2:H2-S001|C3:B3-S003	EXACT_REUSED_CARD_SEQUENCE__STRONGER_THAN_SHARED_ABSTRACT_MODULE
2	OL -> SHED+DY	C1|C4	2	4	C1:B1-S004|C1:B1-S008|C1:B1-S016|C4:B4-S003	EXACT_REUSED_CARD_SEQUENCE__STRONGER_THAN_SHARED_ABSTRACT_MODULE
2	Y -> AIIN	C2|C3	2	4	C2:H2-S001|C3:H3-S003|C3:B3-S003|C3:B3-S021	EXACT_REUSED_CARD_SEQUENCE__STRONGER_THAN_SHARED_ABSTRACT_MODULE
2	AIIN -> Y	C2|C3	2	3	C2:H2-S001|C2:B2-S012|C3:B3-S003	EXACT_REUSED_CARD_SEQUENCE__STRONGER_THAN_SHARED_ABSTRACT_MODULE
2	OR -> Y	C2|C4	2	3	C2:H2-S003|C4:H4-S004|C4:B4-S014	EXACT_REUSED_CARD_SEQUENCE__STRONGER_THAN_SHARED_ABSTRACT_MODULE
2	AIIN -> OL	C5|C6	2	2	C5:B5-S003|C6:B6-S001	EXACT_REUSED_CARD_SEQUENCE__STRONGER_THAN_SHARED_ABSTRACT_MODULE
2	AL -> OL	C1|C5	2	2	C1:B1-S002|C5:B5-S003	EXACT_REUSED_CARD_SEQUENCE__STRONGER_THAN_SHARED_ABSTRACT_MODULE
2	CHD+Y -> OK+EE+DY	C3|C4	2	2	C3:B3-S007|C4:B4-S005	EXACT_REUSED_CARD_SEQUENCE__STRONGER_THAN_SHARED_ABSTRACT_MODULE
2	CHD+Y -> OL	C1|C4	2	2	C1:B1-S004|C4:B4-S011	EXACT_REUSED_CARD_SEQUENCE__STRONGER_THAN_SHARED_ABSTRACT_MODULE
2	OK+EE+Y -> OK+E+DY	C3|C4	2	2	C3:B3-S028|C4:B4-S002	EXACT_REUSED_CARD_SEQUENCE__STRONGER_THAN_SHARED_ABSTRACT_MODULE
2	OK+EE+Y -> OK+Y	C2|C4	2	2	C2:B2-S010|C4:B4-S003	EXACT_REUSED_CARD_SEQUENCE__STRONGER_THAN_SHARED_ABSTRACT_MODULE
2	OK+Y -> AIIN	C1|C3	2	2	C1:H1-S001|C3:B3-S030	EXACT_REUSED_CARD_SEQUENCE__STRONGER_THAN_SHARED_ABSTRACT_MODULE
2	OK+Y -> OL	C2|C4	2	2	C2:B2-S010|C4:B4-S003	EXACT_REUSED_CARD_SEQUENCE__STRONGER_THAN_SHARED_ABSTRACT_MODULE
2	OL -> AIIN	C2|C6	2	2	C2:H2-S002|C6:B6-S001	EXACT_REUSED_CARD_SEQUENCE__STRONGER_THAN_SHARED_ABSTRACT_MODULE
2	OL+K+AIN -> AL	C1|C4	2	2	C1:B1-S002|C4:B4-S016	EXACT_REUSED_CARD_SEQUENCE__STRONGER_THAN_SHARED_ABSTRACT_MODULE
2	OL+OR -> OL	C1|C2	2	2	C1:B1-S002|C2:H2-S002	EXACT_REUSED_CARD_SEQUENCE__STRONGER_THAN_SHARED_ABSTRACT_MODULE
