case_id	case_material_de	module_id	module_name_de	prepare_statements	operate_apply_statements	total_statements	statement_ids
C1	waessriger Grundauszug der H1-Bildpflanze	M01	DOSIEREN	1	2	3	H1-S001|B1-S002|B1-S006
C1	waessriger Grundauszug der H1-Bildpflanze	M02	ANSETZEN_BEHANDELN	2	9	11	H1-S001|H1-S002|B1-S001|B1-S002|B1-S006|B1-S009|B1-S010|B1-S011|B1-S012|B1-S015|B1-S016
C1	waessriger Grundauszug der H1-Bildpflanze	M03	ADRESSIEREN_WEITERLEITEN	1	14	15	H1-S001|B1-S002|B1-S003|B1-S004|B1-S005|B1-S006|B1-S007|B1-S011|B1-S014|B1-S015|B1-S016|B1-S017|B1-S018|B1-S020|B1-S021
C1	waessriger Grundauszug der H1-Bildpflanze	M04	HALTEN_ABSETZEN	0	8	8	B1-S002|B1-S003|B1-S004|B1-S008|B1-S016|B1-S018|B1-S019|B1-S020
C1	waessriger Grundauszug der H1-Bildpflanze	M05	AUFFANGEN	1	2	3	H1-S001|B1-S014|B1-S018
C1	waessriger Grundauszug der H1-Bildpflanze	M06	FORTSETZEN	2	9	11	H1-S001|H1-S002|B1-S002|B1-S003|B1-S004|B1-S005|B1-S008|B1-S014|B1-S016|B1-S017|B1-S018
C1	waessriger Grundauszug der H1-Bildpflanze	M07	BEREITSCHAFT_PRUEFEN	2	0	2	H1-S001|H1-S002
C1	waessriger Grundauszug der H1-Bildpflanze	M08	SCHLIESSEN	0	17	17	B1-S001|B1-S002|B1-S003|B1-S004|B1-S005|B1-S007|B1-S008|B1-S009|B1-S010|B1-S012|B1-S013|B1-S015|B1-S016|B1-S017|B1-S018|B1-S019|B1-S020
C2	staerkerer Nach- oder Spuelauszug der H2-Bildpflanze	M01	DOSIEREN	1	6	7	H2-S003|B2-S003|B2-S005|B2-S008|B2-S011|B2-S012|B2-S016
C2	staerkerer Nach- oder Spuelauszug der H2-Bildpflanze	M02	ANSETZEN_BEHANDELN	0	11	11	B2-S003|B2-S004|B2-S005|B2-S006|B2-S010|B2-S011|B2-S012|B2-S015|B2-S016|B2-S018|B2-S021
C2	staerkerer Nach- oder Spuelauszug der H2-Bildpflanze	M03	ADRESSIEREN_WEITERLEITEN	1	13	14	H2-S002|B2-S001|B2-S002|B2-S004|B2-S005|B2-S006|B2-S008|B2-S011|B2-S012|B2-S013|B2-S014|B2-S016|B2-S017|B2-S022
C2	staerkerer Nach- oder Spuelauszug der H2-Bildpflanze	M04	HALTEN_ABSETZEN	0	9	9	B2-S006|B2-S007|B2-S008|B2-S009|B2-S010|B2-S012|B2-S015|B2-S017|B2-S019
C2	staerkerer Nach- oder Spuelauszug der H2-Bildpflanze	M05	AUFFANGEN	0	1	1	B2-S005
C2	staerkerer Nach- oder Spuelauszug der H2-Bildpflanze	M06	FORTSETZEN	2	8	10	H2-S001|H2-S002|B2-S002|B2-S005|B2-S006|B2-S008|B2-S009|B2-S010|B2-S016|B2-S020
C2	staerkerer Nach- oder Spuelauszug der H2-Bildpflanze	M07	BEREITSCHAFT_PRUEFEN	1	2	3	H2-S001|B2-S005|B2-S012
C2	staerkerer Nach- oder Spuelauszug der H2-Bildpflanze	M08	SCHLIESSEN	0	19	19	B2-S001|B2-S002|B2-S003|B2-S004|B2-S005|B2-S007|B2-S008|B2-S009|B2-S011|B2-S012|B2-S013|B2-S015|B2-S016|B2-S017|B2-S018|B2-S019|B2-S020|B2-S021|B2-S022
C3	Bluetenauszug der H3-Bildpflanze	M01	DOSIEREN	2	7	9	H3-S001|H3-S003|B3-S004|B3-S007|B3-S013|B3-S021|B3-S026|B3-S030|B3-S034
