active_group_serial	work_order_id	active_unit_no	active_unit_id	phase	path_role	source_group_id	page	source_unit	reading_unit_id	visible_owner	visible_surface	lookup_id	resolved_entry_id	resolved_reading_de
P001	D1_ROOT_BATH_RIGHT_WHEEL	1	D1-C01-RIGHT-SECTOR-08	WHEN	SELECTED_LOOKUP_VALUE	A1:G018	f67r2	M67_RIGHT_SECTORS	f67r2.8	A1_RIGHT_SECTOR_SLOT_08	chkchdar	AR178	ASTRO_OWNER_VALUE_178	Sektorplatz A1_RIGHT_SECTOR_SLOT_08: Grad oder Diagrammzustand justieren + Wert oder Platzbezug uebertragen + Ausgangssektor, Ursprung oder Bezugswert.
P002	D1_ROOT_BATH_RIGHT_WHEEL	2	D1-C02-LONG-CLOSED-GRADE	WHEN	SELECTED_LOOKUP_VALUE	A1:G033	f67r2	M67_RIGHT_RING_RULES	f67r2.14	A1_RIGHT_RING_BAND_02	soeey	AR160	ASTRO_OWNER_VALUE_160	Ring- oder Bandstelle A1_RIGHT_RING_BAND_02: lange oder volle Diagrammstufe; lokaler Namensrest so/y.
P003	D1_ROOT_BATH_RIGHT_WHEEL	2	D1-C02-LONG-CLOSED-GRADE	WHEN	SELECTED_LOOKUP_VALUE	A1:G034	f67r2	M67_RIGHT_RING_RULES	f67r2.14	A1_RIGHT_RING_BAND_02	doiin	AR158	ASTRO_OWNER_VALUE_158	Ring- oder Bandstelle A1_RIGHT_RING_BAND_02: Grad- oder Bedingungsstufe; lokaler Namensrest do.
P004	D1_ROOT_BATH_RIGHT_WHEEL	2	D1-C02-LONG-CLOSED-GRADE	WHEN	SELECTED_LOOKUP_VALUE	A1:G035	f67r2	M67_RIGHT_RING_RULES	f67r2.14	A1_RIGHT_RING_BAND_02	oldy	AR159	ASTRO_OWNER_VALUE_159	Ring- oder Bandstelle A1_RIGHT_RING_BAND_02: fortsetzen und den Eintrag schliessen.
P005	D1_ROOT_BATH_RIGHT_WHEEL	3	D1-C03-LONG-PHASE	WHEN	SELECTED_LOOKUP_VALUE	A1:G148	f67r2	M67_RIGHT_PHASES	f67r2.66	A1_RIGHT_PHASE_STATION_03	cpheey	AR147	ASTRO_OWNER_VALUE_147	Radstelle A1_RIGHT_PHASE_STATION_03: lange oder volle Diagrammstufe; lokaler Namensrest cph/y.
P006	D1_ROOT_BATH_RIGHT_WHEEL	4	D1-C04-PLACE-GRADE	WHEN	SELECTED_LOOKUP_VALUE	A1:G184	f67r2	M67_SHARED_LEGEND	f67r2.74	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	aiin	AR121	ASTRO_OWNER_VALUE_121	Legendenstelle A1_PAIRED_WHEEL_LEGEND_UNRESOLVED: Sollwert oder Grad des bezeichneten Himmelsplatzes.
P007	D1_ROOT_BATH_RIGHT_WHEEL	5	H1-S001	WHAT	EXECUTED_PROSE_CARD	E001	f10r	H1	H1-S001	NOT_REQUIRED	dchey	PR062	MC071	Wurzel
P008	D1_ROOT_BATH_RIGHT_WHEEL	5	H1-S001	WHAT	EXECUTED_PROSE_CARD	E002	f10r	H1	H1-S001	NOT_REQUIRED	cthoor	PR050	MC158	Ansatz bereit
P009	D1_ROOT_BATH_RIGHT_WHEEL	5	H1-S001	WHAT	EXECUTED_PROSE_CARD	E003	f10r	H1	H1-S001	NOT_REQUIRED	char	PR007	MC055	aus dem Ansatz
P010	D1_ROOT_BATH_RIGHT_WHEEL	5	H1-S001	WHAT	EXECUTED_PROSE_CARD	E004	f10r	H1	H1-S001	NOT_REQUIRED	chty	PR046	MC086	Teil abtrennen
P011	D1_ROOT_BATH_RIGHT_WHEEL	5	H1-S001	WHAT	EXECUTED_PROSE_CARD	E005	f10r	H1	H1-S001	NOT_REQUIRED	os	PR121	MC159	Mischgefäß
P012	D1_ROOT_BATH_RIGHT_WHEEL	5	H1-S001	WHAT	EXECUTED_PROSE_CARD	E006	f10r	H1	H1-S001	NOT_REQUIRED	chair	PR005	MC014	Wasserzulauf
P013	D1_ROOT_BATH_RIGHT_WHEEL	5	H1-S001	WHAT	EXECUTED_PROSE_CARD	E007	f10r	H1	H1-S001	NOT_REQUIRED	otytchol	PR132	MC069	naechsten Teilposten weiterfuehren
