active_global_no	active_unit_no	active_unit_id	work_order_id	work_order_title_de	phase	unit_kind	source_unit	page	source_group_ids	visible_surface_sequence	literal_reading_sequence_de	fluent_workshop_reading_de	execution_note_de
1	1	D1-C01-RIGHT-SECTOR-08	D1_ROOT_BATH_RIGHT_WHEEL	Wurzelbad unter rechter Radbedingung	WHEN	SELECTED_ASTRO_OPTION	M67_RIGHT_SECTORS	f67r2	A1:G018	chkchdar	Sektorplatz A1_RIGHT_SECTOR_SLOT_08: Grad oder Diagrammzustand justieren + Wert oder Platzbezug uebertragen + Ausgangssektor, Ursprung oder Bezugswert.	Ausgangssektor 8: Zustand auf Übertragung vom Ausgang einstellen	passt zum Wurzelansatz, der vom Vorrat in das gemeinsame Becken übergeben wird
2	2	D1-C02-LONG-CLOSED-GRADE	D1_ROOT_BATH_RIGHT_WHEEL	Wurzelbad unter rechter Radbedingung	WHEN	SELECTED_ASTRO_OPTION	M67_RIGHT_RING_RULES	f67r2	A1:G033;A1:G034;A1:G035	soeey doiin oldy	Ring- oder Bandstelle A1_RIGHT_RING_BAND_02: lange oder volle Diagrammstufe; lokaler Namensrest so/y. | Ring- oder Bandstelle A1_RIGHT_RING_BAND_02: Grad- oder Bedingungsstufe; lokaler Namensrest do. | Ring- oder Bandstelle A1_RIGHT_RING_BAND_02: fortsetzen und den Eintrag schliessen.	lange Stufe wählen, Bedingungsgrad notieren und die Fortsetzung schließen	macht aus dem allgemeinen Beckenprogramm einen langen, abgeschlossenen Badgang
3	3	D1-C03-LONG-PHASE	D1_ROOT_BATH_RIGHT_WHEEL	Wurzelbad unter rechter Radbedingung	WHEN	SELECTED_ASTRO_OPTION	M67_RIGHT_PHASES	f67r2	A1:G148	cpheey	Radstelle A1_RIGHT_PHASE_STATION_03: lange oder volle Diagrammstufe; lokaler Namensrest cph/y.	Phasenstelle 3: lange oder volle Phase	verstärkt die längere Halte- und Ruhephase des Wurzelbades
4	4	D1-C04-PLACE-GRADE	D1_ROOT_BATH_RIGHT_WHEEL	Wurzelbad unter rechter Radbedingung	WHEN	SELECTED_ASTRO_OPTION	M67_SHARED_LEGEND	f67r2	A1:G184	aiin	Legendenstelle A1_PAIRED_WHEEL_LEGEND_UNRESOLVED: Sollwert oder Grad des bezeichneten Himmelsplatzes.	Sollgrad des gewählten Himmelsplatzes übernehmen	liefert dem sichtbaren Sollmaß der Badzubereitung den Auftragsgrad
5	5	H1-S001	D1_ROOT_BATH_RIGHT_WHEEL	Wurzelbad unter rechter Radbedingung	WHAT	PROSE_STATEMENT	H1	f10r	E001;E002;E003;E004;E005;E006;E007;E008;E009;E010	dchey cthoor char chty os chair otytchol oky daiin etyd	Wurzel -> Ansatz bereit -> aus dem Ansatz -> Teil abtrennen -> Mischgefäß -> Wasserzulauf -> naechsten Teilposten weiterfuehren -> aktuellen Posten ansetzen -> Sollmaß -> kleiner Restteil	Nimm die Wurzel, bereite den Ansatz, trenne daraus einen Teil ab, gib ihn in das Gefaess, gib den Wasserzulauf zu, fuehre den naechsten Teilposten weiter, setze ihn nach Sollmass an und behalte einen kleinen Restteil.	aktuellen Stoff- oder Stationsposten ausführen
6	6	H1-S002	D1_ROOT_BATH_RIGHT_WHEEL	Wurzelbad unter rechter Radbedingung	WHAT	PROSE_STATEMENT	H1	f10r	E011;E012;E013;E014	qokchy qotchol chol cthy	Posten zur Weiterbearbeitung ansetzen -> danach weiterfuehren -> fortsetzen -> bereit	Setze den Posten an, fuehre ihn danach weiter und halte ihn bereit.	aktuellen Stoff- oder Stationsposten ausführen
7	7	H2-S001	D1_ROOT_BATH_RIGHT_WHEEL	Wurzelbad unter rechter Radbedingung	WHAT	PROSE_STATEMENT	H2	f10r	E015;E016;E017;E018;E019;E020;E021;E022;E023	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Auszugsansatz -> bereit -> Ansatz -> Fertigmaß -> bereiten Posten weiterfuehren -> dieser Posten -> dieser Posten -> Sollmaß -> dieser Posten	Nimm den bereiten Auszugsansatz, bringe den Ansatz auf Fertigmass, fuehre den bereiten Posten weiter und stelle sein Sollmass ein.	aktuellen Stoff- oder Stationsposten ausführen
8	8	H2-S002	D1_ROOT_BATH_RIGHT_WHEEL	Wurzelbad unter rechter Radbedingung	WHAT	PROSE_STATEMENT	H2	f10r	E024;E025;E026;E027;E028;E029;E030;E031	qotchor chor otol chol cholor chol daiin dar	Folgeansatz -> Ansatz -> danach fortsetzen -> fortsetzen -> Fortsetzungsansatz -> fortsetzen -> Sollmaß -> aus dem Ansatz	Führe den bemessenen Pflanzenansatz als Folgeansatz samt seinem Fortsetzungsposten weiter und nimm daraus das Sollmaß	aktuellen Stoff- oder Stationsposten ausführen
9	9	H2-S003	D1_ROOT_BATH_RIGHT_WHEEL	Wurzelbad unter rechter Radbedingung	WHAT	PROSE_STATEMENT	H2	f10r	E032;E033;E034;E035;E036;E037;E038	oykchor shor chor chy kaiiin dy chodaiin	Ansatzgefäß -> Ansatz -> Ansatz -> dieser Posten -> Weichstufe -> dieser Posten -> Zutatenmaß	Gib den weitergefuehrten Folgeansatz in das Gefaess, bearbeite diesen Posten bis zur Weichstufe und stelle das Zutatenmass ein.	aktuellen Stoff- oder Stationsposten ausführen
10	10	B1-S001	D1_ROOT_BATH_RIGHT_WHEEL	Wurzelbad unter rechter Radbedingung	HOW	PROSE_STATEMENT	B1	f81v	E101	qokedy	kurz ansetzen; Schluss	Setze kurz an und schließe	aktuellen Stoff- oder Stationsposten ausführen
