selection_id	work_order_id	work_order_title_de	choice_order	choice_type	source_unit	page	reading_unit_ids	source_group_ids	visible_surface_sequence	current_reader_values_de	selected_workshop_value_de	selection_reason_de	selection_status
D1-C01-RIGHT-SECTOR-08	D1_ROOT_BATH_RIGHT_WHEEL	Wurzelbad unter rechter Radbedingung	1	SECTOR	M67_RIGHT_SECTORS	f67r2	f67r2.8	A1:G018	chkchdar	Sektorplatz A1_RIGHT_SECTOR_SLOT_08: Grad oder Diagrammzustand justieren + Wert oder Platzbezug uebertragen + Ausgangssektor, Ursprung oder Bezugswert.	Ausgangssektor 8: Zustand auf Übertragung vom Ausgang einstellen	passt zum Wurzelansatz, der vom Vorrat in das gemeinsame Becken übergeben wird	EXECUTE_THIS_VISIBLE_OPTION
D1-C02-LONG-CLOSED-GRADE	D1_ROOT_BATH_RIGHT_WHEEL	Wurzelbad unter rechter Radbedingung	2	RING_RULE	M67_RIGHT_RING_RULES	f67r2	f67r2.14	A1:G033;A1:G034;A1:G035	soeey doiin oldy	Ring- oder Bandstelle A1_RIGHT_RING_BAND_02: lange oder volle Diagrammstufe; lokaler Namensrest so/y. | Ring- oder Bandstelle A1_RIGHT_RING_BAND_02: Grad- oder Bedingungsstufe; lokaler Namensrest do. | Ring- oder Bandstelle A1_RIGHT_RING_BAND_02: fortsetzen und den Eintrag schliessen.	lange Stufe wählen, Bedingungsgrad notieren und die Fortsetzung schließen	macht aus dem allgemeinen Beckenprogramm einen langen, abgeschlossenen Badgang	EXECUTE_THIS_VISIBLE_OPTION
D1-C03-LONG-PHASE	D1_ROOT_BATH_RIGHT_WHEEL	Wurzelbad unter rechter Radbedingung	3	PHASE	M67_RIGHT_PHASES	f67r2	f67r2.66	A1:G148	cpheey	Radstelle A1_RIGHT_PHASE_STATION_03: lange oder volle Diagrammstufe; lokaler Namensrest cph/y.	Phasenstelle 3: lange oder volle Phase	verstärkt die längere Halte- und Ruhephase des Wurzelbades	EXECUTE_THIS_VISIBLE_OPTION
D1-C04-PLACE-GRADE	D1_ROOT_BATH_RIGHT_WHEEL	Wurzelbad unter rechter Radbedingung	4	LEGEND_VALUE	M67_SHARED_LEGEND	f67r2	f67r2.74	A1:G184	aiin	Legendenstelle A1_PAIRED_WHEEL_LEGEND_UNRESOLVED: Sollwert oder Grad des bezeichneten Himmelsplatzes.	Sollgrad des gewählten Himmelsplatzes übernehmen	liefert dem sichtbaren Sollmaß der Badzubereitung den Auftragsgrad	EXECUTE_THIS_VISIBLE_OPTION
D2-C01-RELEASED-READOUT	D2_CLEAR_EXTRACT_STAR_ATLAS	Klarauszug durch Stationen mit Sternatlas-Ablesung	1	PANEL_MODE	M68_PANEL_HEADERS	f68r1	f68r1.2	A2:G013	cheey	Sternplatz A2_MIDDLE_PANEL_HEADER: abgelesener oder freigegebener Diagrammwert.	mittleres Paneel: freigegebenen Ablesewert verwenden	entspricht dem nach Standzeit und Nachseihen freigegebenen Klarauszug	EXECUTE_THIS_VISIBLE_OPTION
D2-C02-TRANSFER-STATION-21	D2_CLEAR_EXTRACT_STAR_ATLAS	Klarauszug durch Stationen mit Sternatlas-Ablesung	2	STAR_STATION	M68_STAR_STATIONS	f68r1	f68r1.29	A2:G053	ykchdy	Sternplatz A2_STAR_STATION_21: Wert oder Platzbezug uebertragen; lokaler Namensrest yk/y.	Sternstation 21: den gewählten Wert oder Posten übertragen	passt zur anschließenden Weitergabe des Klarauszugs durch die lokalen Stationen	EXECUTE_THIS_VISIBLE_OPTION
D2-C03-BASE-GRADE	D2_CLEAR_EXTRACT_STAR_ATLAS	Klarauszug durch Stationen mit Sternatlas-Ablesung	3	CENTER_GRADE	M68_CENTER_KEY	f68r1	f68r1.37	A2:G065	oygy	A2_CENTRAL_LEGEND_UNRESOLVED: aktueller Grundgrad.	im Zentrum den aktuellen Grundgrad lesen	gibt der gewählten Übertragungsstation einen einfachen gemeinsamen Grad	EXECUTE_THIS_VISIBLE_OPTION
D3-C01-SLOT-22-LONG-HOLD	D3_STORED_APPLICATION_THREE_WHEELS	Gelagerter Ansatz, Tuchanwendung und Dreirad-Bedingung	1	RADIAL_SLOT	M69_LEFT_28_SLOTS	f69v	f69v.25	A3:G131;A3:G132	okeey dy	Radstelle A3_LEFT_RADIAL_SLOT_22: in langer Stufe setzen. | Radstelle A3_LEFT_RADIAL_SLOT_22: dieser lokale Diagrammposten.	linker Platz 22: den aktuellen Posten in langer Stufe setzen	passt zum länger gehaltenen gelagerten Ansatz und zur Tuchanwendung	EXECUTE_THIS_VISIBLE_OPTION
D3-C02-MIDDLE-LONG-HOLD	D3_STORED_APPLICATION_THREE_WHEELS	Gelagerter Ansatz, Tuchanwendung und Dreirad-Bedingung	2	QUALITY_VALUE	M69_MIDDLE_QUALITY	f69v	f69v.2	A3:G053	sheey	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: diese Position laenger halten.	mittlere Qualität: diese Stellung länger halten	macht die Dauer zur Qualitätsbedingung der örtlichen Anwendung	EXECUTE_THIS_VISIBLE_OPTION
D3-C03-RIGHT-FIXED-STATE	D3_STORED_APPLICATION_THREE_WHEELS	Gelagerter Ansatz, Tuchanwendung und Dreirad-Bedingung	3	LIGHT_OR_STATE_VALUE	M69_RIGHT_LIGHT	f69v	f69v.3	A3:G097	dchy	A3_RIGHT_WHEEL_RING_TEXT: fester Zustand.	rechtes Rad: festen Zustand wählen	passt zum Festmachen der Anwendung und verhindert einen offenen Endzustand	EXECUTE_THIS_VISIBLE_OPTION
D4-C01-SOURCE-TO-TARGET-ASPECT	D4_FRESH_PLANT_LEFT_WHEEL	Frische Pflanzenfolge im langen Beckenweg mit linker Radablesung	1	ASPECT_FIELD	M67_LEFT_ASPECT_FIELDS	f67r2	f67r2.33	A1:G081;A1:G082;A1:G083	dokan oear odal	Sternplatz A1_LEFT_LOCAL_FIELD_33: Diagrammposten setzen oder aktivieren; lokaler Namensrest d/an. | Sternplatz A1_LEFT_LOCAL_FIELD_33: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest oe. | Sternplatz A1_LEFT_LOCAL_FIELD_33: Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest od.	Feld 33: den Posten vom bezeichneten Ausgang zum Ziel aktivieren	bildet die wiederholten Übergaben der frischen Pflanzencharge direkt ab	EXECUTE_THIS_VISIBLE_OPTION
D4-C02-INPUT-TARGET-GRADE	D4_FRESH_PLANT_LEFT_WHEEL	Frische Pflanzenfolge im langen Beckenweg mit linker Radablesung	2	OUTER_STATION	M67_LEFT_OUTER_STATIONS	f67r2	f67r2.58	A1:G137;A1:G138;A1:G139	cho dal g	Sternplatz A1_LEFT_OUTER_STAR_STATION_07: Eingangsobjekt oder Eingangsbedingung. | Sternplatz A1_LEFT_OUTER_STAR_STATION_07: zum bezeichneten Zielplatz. | A1_LEFT_OUTER_STAR_STATION_07: Gradwert.	äußere Station 7: Eingangsposten zum Ziel bringen und Grad notieren	passt zur langen Beckenfolge mit mehreren Zielstellen	EXECUTE_THIS_VISIBLE_OPTION
D4-C03-TARGET-GRADE-SHORT	D4_FRESH_PLANT_LEFT_WHEEL	Frische Pflanzenfolge im langen Beckenweg mit linker Radablesung	3	RING_RULE_VALUE	M67_LEFT_RING_RULE	f67r2	f67r2.72	A1:G156;A1:G166	aldaiin okey	Ring- oder Bandstelle A1_LEFT_OUTER_RING_TEXT: Zielsektor, Zielstern oder Zielfeld + Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest d. | Ring- oder Bandstelle A1_LEFT_OUTER_RING_TEXT: in kurzer Stufe setzen.	Zielgrad übernehmen und den Zielposten kurz ansetzen	schließt die lange Übergabefolge mit einer kurzen Zielbehandlung	EXECUTE_THIS_VISIBLE_OPTION
