transition_serial	statement_id	unit_id	entry_boundary_class	observed_triggers	inferred_missing_slots	pre_state	owner_operation	active_operation	target_operation	previous_operation	operation_trace	post_state	compiler_state_path	backward_from_full_log	backward_from_post_state_only	irreducible_ambiguity_codes	record_local_contract
1	H1-S001	H1	RECORD_START	BOUNDARY:RECORD_START | EXACT_SELECTED:ANWENDEN? | EXACT_SELECTED:MASS? | CLOSURE:F001:OPEN | LOCAL_PREVIOUS_CUE:RETAINED_PART | LOCAL_PREVIOUS_CUE:REMAINDER | SOURCE_FROM:H1-LB01:RESUME_ACTIVE_ITEM	ACTIVE_ITEM/PREPARATION | TARGET/STATION	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	INTRODUCE	INTRODUCE	INTRODUCE	INTRODUCE	OWNER:INTRODUCE(H1:O01) -> ACTIVE_ITEM/PREPARATION:INTRODUCE(H1:I001) -> TARGET/STATION:RESET -> PREVIOUS_ITEM:RESET -> PREVIOUS_ITEM:INTRODUCE_DERIVED(H1:I002;LOCAL_RETAINED_PART) -> TARGET/STATION:INTRODUCE_INFERRED(H1:T001;TARGET_SENSITIVE_ACTION)	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	CLAUSE_TYPED>REGISTERS_BOUND>EVENT_SELECT>FIELD_BUFFER>FIELD_COMMITTED	PASS	NO	TARGET_INFERRED_WITHOUT_EXACT_OR_LOCAL_CUE	H1:Oxx/H1:Ixxx/H1:Txxx;RECORD_LOCAL_ONLY
2	H1-S002	H1	RESUME_ACTIVE_ITEM	BOUNDARY:RESUME_ACTIVE_ITEM | EXACT_SELECTED:BEREIT? | CLOSURE:F002:OPEN | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION | SOURCE_TO:H1-LB01:RESUME_ACTIVE_ITEM	OWNER | ACTIVE_ITEM/PREPARATION | PREVIOUS_ITEM	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	CARRY	RESUME	CARRY	RESUME	OWNER:CARRY(H1:O01) -> ACTIVE_ITEM/PREPARATION:RESUME(H1:I001) -> TARGET/STATION:CARRY(H1:T001) -> PREVIOUS_ITEM:CARRY(H1:I002) -> PREVIOUS_ITEM:RESUME(H1:I002;LOCAL_FILLER)	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	CLAUSE_TYPED>REGISTERS_BOUND>EVENT_SELECT>FIELD_BUFFER>FIELD_COMMITTED	PASS	NO	PREVIOUS_REFERENT_CLASS_AMBIGUOUS | OPEN_RECORD_END	H1:Oxx/H1:Ixxx/H1:Txxx;RECORD_LOCAL_ONLY
3	H2-S001	H2	RECORD_START	BOUNDARY:RECORD_START | EXACT_SELECTED:BEREIT? | EXACT_SELECTED:ANSATZ? | EXACT_SELECTED:MASS? | CLOSURE:F003:OPEN | SOURCE_FROM:H2-LB01:RESUME_ACTIVE_ITEM	NONE	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	INTRODUCE	INTRODUCE	RESET	RESET	OWNER:INTRODUCE(H2:O01) -> ACTIVE_ITEM/PREPARATION:INTRODUCE(H2:I001) -> TARGET/STATION:RESET -> PREVIOUS_ITEM:RESET -> ACTIVE_ITEM/PREPARATION:RESUME_OR_CONFIRM(H2:I001;ANSATZ?)	OWNER=H2:O01;ACTIVE_ITEM/PREPARATION=H2:I001;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	CLAUSE_TYPED>REGISTERS_BOUND>EVENT_SELECT>FIELD_BUFFER>FIELD_COMMITTED	PASS	YES	NONE	H2:Oxx/H2:Ixxx/H2:Txxx;RECORD_LOCAL_ONLY
4	H2-S002	H2	RESUME_ACTIVE_ITEM	BOUNDARY:RESUME_ACTIVE_ITEM | EXACT_SELECTED:ANSATZ? | EXACT_SELECTED:VORIGES? | EXACT_SELECTED:MASS? | CLOSURE:F004:OPEN | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION | LOCAL_PREVIOUS_CUE:PREVIOUS_BATCH | SOURCE_TO:H2-LB01:RESUME_ACTIVE_ITEM | SOURCE_FROM:H2-LB02:NEXT_PARALLEL_CELL	OWNER | PREVIOUS_ITEM	OWNER=H2:O01;ACTIVE_ITEM/PREPARATION=H2:I001;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	CARRY	RESUME	CARRY	RESUME	OWNER:CARRY(H2:O01) -> ACTIVE_ITEM/PREPARATION:RESUME(H2:I001) -> TARGET/STATION:CARRY(UNSET) -> PREVIOUS_ITEM:CARRY(UNSET) -> ACTIVE_ITEM/PREPARATION:RESUME_OR_CONFIRM(H2:I001;ANSATZ?) -> PREVIOUS_ITEM:INTRODUCE_INFERRED(H2:I002;VORIGES?) -> ACTIVE_ITEM/PREPARATION:RESUME_FROM_PREVIOUS(H2:I002;VORIGES?)	OWNER=H2:O01;ACTIVE_ITEM/PREPARATION=H2:I002;TARGET/STATION=UNSET;PREVIOUS_ITEM=H2:I001	CLAUSE_TYPED>REGISTERS_BOUND>EVENT_SELECT>FIELD_BUFFER>FIELD_COMMITTED	PASS	NO	INFERRED_PREVIOUS_IDENTITY | PREVIOUS_REFERENT_CLASS_AMBIGUOUS	H2:Oxx/H2:Ixxx/H2:Txxx;RECORD_LOCAL_ONLY
5	H2-S003	H2	NEXT_PARALLEL_CELL	BOUNDARY:NEXT_PARALLEL_CELL | EXACT_SELECTED:ANSATZ? | EXACT_SELECTED:ANSATZ? | CLOSURE:F005:OPEN | LOCAL_PREVIOUS_CUE:RETAINED_PART | SOURCE_TO:H2-LB02:NEXT_PARALLEL_CELL	OWNER	OWNER=H2:O01;ACTIVE_ITEM/PREPARATION=H2:I002;TARGET/STATION=UNSET;PREVIOUS_ITEM=H2:I001	CARRY	INTRODUCE	RESET	INTRODUCE	OWNER:CARRY(H2:O01) -> PREVIOUS_ITEM:INTRODUCE_FROM_ACTIVE(H2:I002) -> ACTIVE_ITEM/PREPARATION:INTRODUCE(H2:I003) -> TARGET/STATION:RESET(NEW_OR_PARALLEL_CLAUSE) -> ACTIVE_ITEM/PREPARATION:RESUME_OR_CONFIRM(H2:I003;ANSATZ?) -> ACTIVE_ITEM/PREPARATION:RESUME_OR_CONFIRM(H2:I003;ANSATZ?)	OWNER=H2:O01;ACTIVE_ITEM/PREPARATION=H2:I003;TARGET/STATION=UNSET;PREVIOUS_ITEM=H2:I002	CLAUSE_TYPED>REGISTERS_BOUND>EVENT_SELECT>FIELD_BUFFER>FIELD_COMMITTED	PASS	NO	PREVIOUS_SLOT_OVERWRITTEN | REPEATED_ACTIVE_TRIGGER | OPEN_RECORD_END	H2:Oxx/H2:Ixxx/H2:Txxx;RECORD_LOCAL_ONLY
6	H3-S001	H3	RECORD_START	BOUNDARY:RECORD_START | EXACT_SELECTED:KLAR? | CLOSURE:F006:TERMINAL | LOCAL_TARGET_FILLER:SHADOW_PLACE | LOCAL_TARGET_FILLER:CLOTH	ACTIVE_ITEM/PREPARATION	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	INTRODUCE	INTRODUCE	INTRODUCE	RESET	OWNER:INTRODUCE(H3:O01) -> ACTIVE_ITEM/PREPARATION:INTRODUCE(H3:I001) -> TARGET/STATION:RESET -> PREVIOUS_ITEM:RESET -> TARGET/STATION:INTRODUCE(H3:T001;LOCAL_SHADOW_PLACE) -> TARGET/STATION:INTRODUCE(H3:T002;LOCAL_CLOTH)	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I001;TARGET/STATION=H3:T002;PREVIOUS_ITEM=UNSET	CLAUSE_TYPED>REGISTERS_BOUND>EVENT_SELECT>FIELD_BUFFER>FIELD_COMMITTED	PASS	NO	MULTIPLE_TARGETS_ONE_SLOT | TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	H3:Oxx/H3:Ixxx/H3:Txxx;RECORD_LOCAL_ONLY
7	H3-S002	H3	WITHIN_LOCUS_FIELD_BOUNDARY	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F007:OPEN | LOCAL_PREVIOUS_CUE:RETAINED_PART | SOURCE_FROM:H3-LB01:RESUME_ACTIVE_ITEM	OWNER | ACTIVE_ITEM/PREPARATION	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I001;TARGET/STATION=H3:T002;PREVIOUS_ITEM=UNSET	CARRY	CARRY	CARRY	INTRODUCE	OWNER:CARRY(H3:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(H3:I001) -> TARGET/STATION:CARRY(H3:T002) -> PREVIOUS_ITEM:CARRY(UNSET) -> PREVIOUS_ITEM:INTRODUCE_DERIVED(H3:I002;LOCAL_RETAINED_PART)	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I001;TARGET/STATION=H3:T002;PREVIOUS_ITEM=H3:I002	CLAUSE_TYPED>REGISTERS_BOUND>EVENT_SELECT>FIELD_BUFFER>FIELD_COMMITTED	PASS	YES	NONE	H3:Oxx/H3:Ixxx/H3:Txxx;RECORD_LOCAL_ONLY
8	H3-S003	H3	RESUME_ACTIVE_ITEM	BOUNDARY:RESUME_ACTIVE_ITEM | EXACT_SELECTED:MASS? | CLOSURE:F008:OPEN | LOCAL_TARGET_FILLER:MARKED_TARGET | SOURCE_TO:H3-LB01:RESUME_ACTIVE_ITEM | SOURCE_FROM:H3-LB02:NEXT_PARALLEL_CELL	OWNER | ACTIVE_ITEM/PREPARATION	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I001;TARGET/STATION=H3:T002;PREVIOUS_ITEM=H3:I002	CARRY	RESUME	INTRODUCE	CARRY	OWNER:CARRY(H3:O01) -> ACTIVE_ITEM/PREPARATION:RESUME(H3:I001) -> TARGET/STATION:CARRY(H3:T002) -> PREVIOUS_ITEM:CARRY(H3:I002) -> TARGET/STATION:INTRODUCE(H3:T003;LOCAL_MARKED_TARGET)	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I001;TARGET/STATION=H3:T003;PREVIOUS_ITEM=H3:I002	CLAUSE_TYPED>REGISTERS_BOUND>EVENT_SELECT>FIELD_BUFFER>FIELD_COMMITTED	PASS	NO	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	H3:Oxx/H3:Ixxx/H3:Txxx;RECORD_LOCAL_ONLY
9	H3-S004	H3	NEXT_PARALLEL_CELL	BOUNDARY:NEXT_PARALLEL_CELL | EXACT_SELECTED:BEREIT? | CLOSURE:F009:OPEN | SOURCE_TO:H3-LB02:NEXT_PARALLEL_CELL	OWNER | ACTIVE_ITEM/PREPARATION	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I001;TARGET/STATION=H3:T003;PREVIOUS_ITEM=H3:I002	CARRY	INTRODUCE	RESET	INTRODUCE	OWNER:CARRY(H3:O01) -> PREVIOUS_ITEM:INTRODUCE_FROM_ACTIVE(H3:I001) -> ACTIVE_ITEM/PREPARATION:INTRODUCE(H3:I003) -> TARGET/STATION:RESET(NEW_OR_PARALLEL_CLAUSE)	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I003;TARGET/STATION=UNSET;PREVIOUS_ITEM=H3:I001	CLAUSE_TYPED>REGISTERS_BOUND>EVENT_SELECT>FIELD_BUFFER>FIELD_COMMITTED	PASS	NO	PREVIOUS_SLOT_OVERWRITTEN | TARGET_RESET_DISCARDS_PRIOR_TARGET | OPEN_RECORD_END	H3:Oxx/H3:Ixxx/H3:Txxx;RECORD_LOCAL_ONLY
10	H4-S001	H4	RECORD_START	BOUNDARY:RECORD_START | EXACT_SELECTED:MASS? | CLOSURE:F010:TERMINAL	ACTIVE_ITEM/PREPARATION	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	INTRODUCE	INTRODUCE	RESET	RESET	OWNER:INTRODUCE(H4:O01) -> ACTIVE_ITEM/PREPARATION:INTRODUCE(H4:I001) -> TARGET/STATION:RESET -> PREVIOUS_ITEM:RESET	OWNER=H4:O01;ACTIVE_ITEM/PREPARATION=H4:I001;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	CLAUSE_TYPED>REGISTERS_BOUND>EVENT_SELECT>FIELD_BUFFER>FIELD_COMMITTED	PASS	YES	NONE	H4:Oxx/H4:Ixxx/H4:Txxx;RECORD_LOCAL_ONLY
