source_id	comparator	date_language	observable_mechanism	relevance_to_model	limit	reference_url
S1	Wellcome Collection MS.683 recipe collection	mid-fifteenth century; Latin	Recipe-form entries, two principal hands, contemporary additions and marginal notes; formulae include Recipe, ana and fiat patterns	Supports ordinary formulary source, abbreviation, several hands and later controlled accretion	Does not attest this manuscript's private whole-card deck	https://wellcomecollection.org/works/w6ne7k4t
S2	M. C. Jones, Abbreviations in Medieval Medical Manuscripts	medical manuscript corpus including fifteenth-century herbaries, receptaria and astrological texts	Distinguishes contractions, suspensions, superscript letters, brevigraphs and special signs	Supports a historically normal abbreviation curriculum and the category of learned special signs	Typology cannot assign a sound or meaning to a Voynich card	https://reunido.uniovi.es/index.php/SELIM/article/download/13301/12036/28090
S3	Rawlinson C.299 fifteenth-century remedy book study	fifteenth century; largely Middle English recipes	Prescriptions commonly order ailment, substances, preparation and application; many short imperatives	Supports the Herbal source-order template and vernacular teaching or dictation layer	Ordinary recipe syntax does not explain the compressed visible system alone	https://www.cambridge.org/core/journals/medical-history/article/evidence-for-the-continued-use-of-medieval-medical-prescriptions-in-the-sixteenth-century-a-fifteenthcentury-remedy-book-and-its-later-owner/95663D54A46819495D78EE9BF7FC88EA
S4	Cambridge Curious Cures manuscript project and exhibition	medieval medical recipe corpus; Latin and vernacular	Thousands of recipes preserve take, prepare and apply sequences in practical manuscript contexts	Supports paratactic vernacular recipe training and silent repeated objects	The collection is a genre comparator, not evidence for exact Voynich expansions	https://www.cam.ac.uk/stories/curious-cures-exhibition
S5	British Library Egerton MS 747 illustrated herbal	circa 1280-1310; Latin; still available as a workshop exemplar around 1420	Plant picture plus ordered materia-medica article and practical properties	Supports silent picture ownership and article-level Herbal organization	Earlier manuscript and no evidence for a private card code	https://searcharchives.bl.uk/catalog/032-001983805
S6	Wellcome Collection MS.550 medical and astrological miscellany	early fifteenth century; Latin, English and French; several hands	Rubrication, paragraph marks, illustrations, medicine and astrology coexist in one practical codex	Supports mixed register templates, physical reflow and multi-scribe workshop transmission	Coexistence does not prove one semantic notation across registers	https://wellcomecollection.org/works/htndqk24
S7	Wellcome Collection MS.8515 practical calendar	circa 1425; English and Latin	Calendar, astronomical and medical material assembled for practical use with later recipes	Supports a medical workshop consulting tabular time material beside recipes	Its tables do not identify the Voynich 28-part inventories	https://wellcomecollection.org/works/w9nkm98w
S8	Wellcome folding almanac	1415-1420; Latin calendar and medical tables	Portable lookup of planetary hours and lunar position before medical action	Supports Astro as a lookup instrument whose operation names and time inputs are externally known	Does not establish the proposed 7/12/28 values or their start direction	https://wellcomecollection.org/stories/the-enigma-of-the-medieval-folding-almanac
S9	Morgan Library MS G.74 De balneis Puteolanis	circa 1400; illustrated Latin bath poem	Naked bathers, pools and therapeutic waters form an intelligible medical-bath image genre	Supports a possible bath frame for Bio while leaving apparatus operations separable	A pictorial genre parallel cannot distinguish patient treatment from bathhouse or waterwork procedure	https://ica.themorgan.org/manuscript/page/22/77063
S10	Picatrix Latin version, Warburg digital edition	Latin transmission available before 1420	Twenty-eight lunar mansions can be transmitted as named, operation-bearing local entries	Supports A2/A3 as possible 28-position exemplar inventories	Names and operations are external comparator labels; no surface mapping follows	https://commons.warburg.sas.ac.uk/downloads/8g84mm241
S11	British Library Add MS 29301 medical miscellany	circa 1420-1430; Latin	Illustrated surgery, medicinal plants, recipes and Zodiac Man occur in a near-contemporary practical compilation	Supports the general possibility of Herbal, medical workflow and iatromathematical material in one workshop tradition	Does not prove that these ten pages were compiled together or share a codebook	https://searcharchives.bl.uk/catalog/032-002020783
