error_id	apprentice_error	repair_rule
E01	joint_tuple in visible pieces split	Reject card; recopy exact whole identity from ledger
E02	mnemonic read as literal translation	Restate mnemonic as question-marked teaching handle; consult local expansion
E03	PAGE_HOST or surface transfers meaning	Erase inference; use exact identity and licensed channel only
E04	physical line treated as sentence	Reflow by V61 statement_id and boundary class
E05	Close supplies a noun or action	Reduce Close to field commit; restore object from register/exemplar or mark unresolved
E06	OWNER/ACTIVE/TARGET/PREVIOUS becomes a card gloss	Return it to anonymous record-local register state
E07	local noun copied into common dictionary	Move noun to record exemplar and record its unsupported-assumption tag
E08	UNKNOWN silently guessed	Copy exact card and mark EXEMPLAR_ONLY/UNKNOWN
E09	Herbal or Bio prose card imported into Astro	Switch to page-local Astro namespace and address
E10	f68 station joined directly to f69 rule	Break link; preserve independent inventories
E11	unproven Astro start or rotation normalized as authorial	Label chosen order editorial and retain alternatives
E12	register carried between records	Reset all four silent registers at record boundary
E13	source order forced onto an EXEMPLAR_ONLY event	Keep source fragment in local codebook; do not invent a slot
E14	renderer changes card identity while fitting line	Permit spacing/wrapper/reflow only as selected; compare identity token
