universal_group_serial	register	unit_id	page	source_serial	locus	field_or_address	statement_or_station	exact_card_or_local_group_id	formal_value	atomic_or_whole_card_mnemonic	source_order_slot	local_selected_source_fragment	abbreviation_channel	register_state_before	register_update	register_state_after	selected_parse_status	terminal_status	renderer_instruction	rendered_surface	reverse_lookup_requirement	semantic_invertibility_from_surface_alone	source_fragment_digest	mechanical_roundtrip_token	roundtrip_status
1	HERBAL	H1	f10r	1	f10r.2	F001	H1-S001	65f320e75510b2f38182	OPAQUE_PAYLOAD || NONE	UNKNOWN	EXEMPLAR_TAIL	[IMAGE:unterer Wurzelstock des Teufelsabbisses]	RECORD_LOCAL_EXEMPLAR_COPY	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	UNPARSED_EXEMPLAR	NONCLOSE	COPY_WHOLE_SURFACE_WITHOUT_DECOMPOSITION; KEEP_SELECTED_FIELD_NONCLOSE; START_SELECTED_STATEMENT	dchey	RECORD_LOCAL_EXEMPLAR_CODEBOOK_REQUIRED	NOT_CLAIMED	67c80e69e2e85f2ec158	157449d5ac1fb3b78f97	PASS_EXACT_IDENTITY_AND_CONTEXT
2	HERBAL	H1	f10r	2	f10r.2	F001	H1-S001	dedc383b600397a301ee	OPAQUE_PAYLOAD || NONE	UNKNOWN	EXEMPLAR_TAIL	[GENRE:säubere ihn]	RECORD_LOCAL_EXEMPLAR_COPY	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	UNPARSED_EXEMPLAR	NONCLOSE	COPY_WHOLE_SURFACE_WITHOUT_DECOMPOSITION; KEEP_SELECTED_FIELD_NONCLOSE; CONTINUE_WITHIN_SELECTED_FIELD	cthoor	RECORD_LOCAL_EXEMPLAR_CODEBOOK_REQUIRED	NOT_CLAIMED	043bdc577da2d32e525e	50e0e660f58772358c61	PASS_EXACT_IDENTITY_AND_CONTEXT
3	HERBAL	H1	f10r	3	f10r.2	F001	H1-S001	4d4559019a961b834aa1	OPAQUE_PAYLOAD || NONE	UNKNOWN	EXEMPLAR_TAIL	[REGISTER:H1:I001 als derselbe Arbeitsansatz]	RECORD_LOCAL_EXEMPLAR_COPY	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	UNPARSED_EXEMPLAR	NONCLOSE	COPY_WHOLE_SURFACE_WITHOUT_DECOMPOSITION; KEEP_SELECTED_FIELD_NONCLOSE; CONTINUE_WITHIN_SELECTED_FIELD	char	RECORD_LOCAL_EXEMPLAR_CODEBOOK_REQUIRED	NOT_CLAIMED	044bd301b334b9b6dfb8	e6f68bda01de2fb817ec	PASS_EXACT_IDENTITY_AND_CONTEXT
4	HERBAL	H1	f10r	4	f10r.2	F001	H1-S001	80ebbbbf238eee9f0aef	OPAQUE_PAYLOAD || NONE	UNKNOWN	EXEMPLAR_TAIL	[GENRE:zerschneide ihn]	RECORD_LOCAL_EXEMPLAR_COPY	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	UNPARSED_EXEMPLAR	NONCLOSE	COPY_WHOLE_SURFACE_WITHOUT_DECOMPOSITION; KEEP_SELECTED_FIELD_NONCLOSE; CONTINUE_WITHIN_SELECTED_FIELD	chty	RECORD_LOCAL_EXEMPLAR_CODEBOOK_REQUIRED	NOT_CLAIMED	b07982c4ce91a8b77540	46cf5aa8044240f3c484	PASS_EXACT_IDENTITY_AND_CONTEXT
5	HERBAL	H1	f10r	5	f10r.2	F001	H1-S001	df1098831679a8ad1b39	OPAQUE_PAYLOAD || NONE	UNKNOWN	EXEMPLAR_TAIL	[GENRE:gib ihn in den Brennhafen]	RECORD_LOCAL_EXEMPLAR_COPY	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	UNPARSED_EXEMPLAR	NONCLOSE	COPY_WHOLE_SURFACE_WITHOUT_DECOMPOSITION; KEEP_SELECTED_FIELD_NONCLOSE; CONTINUE_WITHIN_SELECTED_FIELD	os	RECORD_LOCAL_EXEMPLAR_CODEBOOK_REQUIRED	NOT_CLAIMED	e53cc089c96cbbf5696d	3c38dce748548825baca	PASS_EXACT_IDENTITY_AND_CONTEXT
6	HERBAL	H1	f10r	6	f10r.2	F001	H1-S001	12efe866f335461823a6	OPAQUE_PAYLOAD || NONE	UNKNOWN	EXEMPLAR_TAIL	[GENRE:füge Quellwasser hinzu]	RECORD_LOCAL_EXEMPLAR_COPY	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	UNPARSED_EXEMPLAR	NONCLOSE	COPY_WHOLE_SURFACE_WITHOUT_DECOMPOSITION; KEEP_SELECTED_FIELD_NONCLOSE; CONTINUE_WITHIN_SELECTED_FIELD	chair	RECORD_LOCAL_EXEMPLAR_CODEBOOK_REQUIRED	NOT_CLAIMED	cc3c5217e646a3ed8f35	95188b2e3556739d3ad4	PASS_EXACT_IDENTITY_AND_CONTEXT
7	HERBAL	H1	f10r	7	f10r.2	F001	H1-S001	62ff059766b21c7de083	OPAQUE_PAYLOAD || NONE	UNKNOWN	EXEMPLAR_TAIL	[GENRE:fange den ersten Lauf im Glas auf]	RECORD_LOCAL_EXEMPLAR_COPY	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	UNPARSED_EXEMPLAR	NONCLOSE	COPY_WHOLE_SURFACE_WITHOUT_DECOMPOSITION; KEEP_SELECTED_FIELD_NONCLOSE; CONTINUE_WITHIN_SELECTED_FIELD	otytchol	RECORD_LOCAL_EXEMPLAR_CODEBOOK_REQUIRED	NOT_CLAIMED	753bd3ff0cab38ff295f	b59a2d6bf42248913785	PASS_EXACT_IDENTITY_AND_CONTEXT
8	HERBAL	H1	f10r	8	f10r.2	F001	H1-S001	276a7c2d74d1143446f4	OPAQUE_PAYLOAD || NONE	ANWENDEN?	ACTION	[CARD:ANWENDEN?] [GENRE:gebrauche den Lauf innerlich]	LICENSED_EXACT_WHOLE_CARD	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	APPLY(ACTIVE_ITEM/PREPARATION,TARGET/STATION)	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	UNIQUE_EXACT	NONCLOSE	COPY_WHOLE_SURFACE_WITHOUT_DECOMPOSITION; KEEP_SELECTED_FIELD_NONCLOSE; CONTINUE_WITHIN_SELECTED_FIELD	oky	CARD_OR_FORMAL_SKELETON_PLUS_RECORD_CONTEXT	NOT_CLAIMED	78018380d9ee961d14f3	facdbae6c39049016edf	PASS_EXACT_IDENTITY_AND_CONTEXT
9	HERBAL	H1	f10r	9	f10r.2	F001	H1-S001	2f1c5e56e8f0ff459065	OPAQUE_PAYLOAD || VORGABEPARAMETER?	MASS?	PARAMETER_ASSIGNMENT	[CARD:MASS?] [FORMAL:VORGABEPARAMETER?; keine Wortbedeutung] [EXEMPLAR:in kleinem örtlichem Maß]	LICENSED_EXACT_WHOLE_CARD	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	PARAMETER_SLOT:=EXACT_MASS_VALUE;FOUR_REGISTERS=CARRY || FORMAL_PARAMETER_SLOT:=OPAQUE_EVENT_VALUE;FOUR_REGISTERS=CARRY	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	UNIQUE_CONVERGENT_CHANNELS	NONCLOSE	COPY_WHOLE_SURFACE_WITHOUT_DECOMPOSITION; KEEP_SELECTED_FIELD_NONCLOSE; CONTINUE_WITHIN_SELECTED_FIELD	daiin	CARD_OR_FORMAL_SKELETON_PLUS_RECORD_CONTEXT	NOT_CLAIMED	1480bfcd3409b5bbd350	6467251f2b27e1b131df	PASS_EXACT_IDENTITY_AND_CONTEXT
10	HERBAL	H1	f10r	10	f10r.2	F001	H1-S001	a6939862e33ece5a0483	OPAQUE_PAYLOAD || NONE	UNKNOWN	EXEMPLAR_TAIL	[GENRE:gegen Stechen im Leib] [GENRE:verwahre den Rest verschlossen]	RECORD_LOCAL_EXEMPLAR_COPY	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	UNPARSED_EXEMPLAR	NONCLOSE	COPY_WHOLE_SURFACE_WITHOUT_DECOMPOSITION; KEEP_SELECTED_FIELD_NONCLOSE; CONTINUE_WITHIN_SELECTED_FIELD	etyd	RECORD_LOCAL_EXEMPLAR_CODEBOOK_REQUIRED	NOT_CLAIMED	2b3d997f4eef6b926871	bdf3430dbe24d77603c2	PASS_EXACT_IDENTITY_AND_CONTEXT
