model	register	normal_source_order	compression_mechanism	main_strength	strongest_failure	historical_fit_0_5	fixed_system_fit_0_5	disposition
LATIN_FORMULARY	HERBAL	rubric_or_simplex > Recipe/ingredient/measure > preparation > medium > state > application > storage	contractions, suspensions, recipe signs, repeated formulae, omitted idem arguments	Short, conventional and easy to excerpt from antidotaries	Open illustrated articles contain a large rare tail and need more than a tiny formula deck	5	4	KEEP_AS_UPSTREAM_STYLE
VERNACULAR_IMPERATIVE	HERBAL	owner_or_ailment > take > prepare > add_medium > strain_or_stand > apply > keep	imperative repetition, pronoun/idem omission, ordinary vernacular abbreviations	Best match to continuous take-do-apply recipe flow	Too verbose to explain the surviving compression without a second compiler stage	5	4	KEEP_AS_UPSTREAM_STYLE
PURE_TABULAR_NOTATION	HERBAL	picture_address > local_item_cells > stored_value_or_close	fixed fields, marks and copied local labels	Explains picture ownership and exact copying	Weak for fifteen open fields, article reflow and plant-specific rare content	3	2	REJECT_AS_COMPLETE_HERBAL_SOURCE
LATIN_FORMULARY	BIOLOGICAL	rubric > Recipe/charge > measure > vessel_or_target > temper/filter/apply > drain > fiat_or_close	short formulae, ana/idem/praedictum-style carry, recipe and measure signs	Can state repeated process operations economically	Does not by itself explain 85/115 locally closed cells or apparatus-shaped parallelism	4	3	KEEP_AS_PRECOMPILATION_SOURCE
VERNACULAR_IMPERATIVE	BIOLOGICAL	prepare > put > warm > lead > wash_or_bathe > drain > repeat	short imperatives, omitted repeated objects, parataxis	Historically ordinary and readable by non-university practitioners	Needs severe abbreviation to fit one-card and two-card work cells	4	2	KEEP_AS_POSSIBLE_DICTATION_LAYER
PURE_TABULAR_NOTATION	BIOLOGICAL	OWNER/STATION > ACTIVE_CHARGE > PARAMETER/LINK/TARGET > STATE/ACTION > LOCAL_CLOSE	whole-card cells, anonymous register carry, closure marks	Best direct match to short cells, repeated values and apparatus workflow	Cannot independently supply water, patient, body, vessel, disease or operation nouns	4	5	KEEP_AS_SURVIVING_REGISTER_LAYER
LATIN_FORMULARY	ASTRO	title > planet/sign rule > conditions > local election sentence	formulaic headings and abbreviated condition clauses	Natural for learned iatromathematical instructions	Poor direct fit to hundreds of short spatial labels and no decoded Latin remains	4	2	KEEP_FOR_RUBRICS_ONLY
VERNACULAR_IMPERATIVE	ASTRO	choose lord > find sign/station > check condition > act_or_defer	short procedural imperatives	Plausible teaching gloss for a practitioner	No need for full vernacular prose in a spatial lookup instrument	3	1	KEEP_FOR_ORAL_TEACHING_ONLY
PURE_TABULAR_NOTATION	ASTRO	local address > externally learned inventory label > local rule	spatial position, copied labels, diagram-local codebook	Best direct fit to 7/12/28 lookup instruments	External names, start, direction and rule values remain exemplar-dependent	5	5	KEEP_AS_SURVIVING_REGISTER_LAYER
HYBRID_TWO_STAGE	ALL	ordinary Latin or vernacular technical source > picture/register ellipsis > common whole-card deck plus copied local tail > register template	ordinary abbreviation plus learned brevigraphs, exemplars, anonymous registers and renderer	Only model that preserves historical source prose while explaining Herbal reflow, Bio cells and Astro lookup	Requires a local codebook/exemplar that has not survived independently and cannot be reconstructed semantically from the pages alone	5	5	SELECTED
