unit_id	unit_kind	page	unit_title_or_formal_role	visible_group_count	locus_count	field_count	statement_count	exact_mnemonic_events	strict_formal_only_events	reusable_control_union_events	exemplar_only_or_local_events	terminal_close_count	parse_status_fields	parse_status_statements	post_state_only_backward_pass	occurrence_renderer_selector_needed	surface_only_unique_in_local_namespace	formal_roundtrip_pass	complete_source_roundtrip_without_exemplar	complete_source_roundtrip_with_exemplar	complete_unit_source_default	strongest_contradiction_or_rival	compiler_verdict
H1	HERBAL_PROSE	f10r	Teufelsabbiss — gebranntes Wurzelwasser	14	2	2	2	3	1	4	10	0	AMBIGUOUS:2	AMBIGUOUS:2	0	7	14	14/14	0/14	14/14	[IMAGE:Vom Teufelsabbiss.] [GENRE:Nimm] [IMAGE:den unteren Wurzelstock], [GENRE:säubere und zerschneide ihn], [GENRE:gib ihn mit Quellwasser in den Brennhafen] [GENRE:und fange den ersten Lauf in einem Glas auf]. [CARD:ANWENDEN?=Wende den aktiven Lauf an] [GENRE:innerlich] [CARD:MASS?=nach Maß] [EXEMPLAR:in kleiner Gabe] [GENRE:gegen Stechen im Leib]; [GENRE:verwahre den Rest verschlossen]. [EXEMPLAR:Nimm für frischen Gebrauch den ersten Lauf], [GENRE:erwärme ihn gelinde], [FORMAL:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN; ohne Wortbedeutung] [REGISTER:H1:I001 fortgeführt], [CARD:BEREIT?=bis bereit] [EXEMPLAR:nach örtlichem Kriterium].	Destillations-/Rohstoffnotiz; ANWENDEN? und MASS? entscheiden nicht zwischen Arznei und Werkstoff.	PASS_EXISTING_EXEMPLAR;FAIL_STANDALONE_SEMANTIC_CODEC
H2	HERBAL_PROSE	f10r	Teufelsabbiss — zwei Blütenfraktionen als Salbenansatz	24	3	3	3	8	2	10	14	0	AMBIGUOUS:3	AMBIGUOUS:3	1	17	24	24/24	0/24	24/24	[IMAGE:Von derselben Teufelsabbiss-Pflanze.] [GENRE:Nimm] [IMAGE:Blütenköpfe und junge Blätter] [CARD:BEREIT?] [EXEMPLAR:wenn sie eben aufgehen], [CARD:ANSATZ?=führe sie als frischen Ansatz], [GENRE:zerstoße sie und presse den Saft durch ein Tuch]. [EXEMPLAR:Fange die erste Fraktion auf], [GENRE:gib Olivenöl hinzu], [CARD:MASS?=nach Maß] [EXEMPLAR:in örtlicher Menge], [GENRE:und erwärme gelinde]. [IMAGE:Nimm vor voller Blüte eine zweite Portion der Spitzen], [CARD:ANSATZ?] [REGISTER:H2:I001 fortgeführt]; [EXEMPLAR:eine Handvoll]. [CARD:VORIGES?=Nimm den vorigen H2-Posten wieder auf] [REGISTER:H2:I001], [CARD:MASS?=in gleichem örtlichem Maß], [GENRE:und verbinde beide Fraktionen]. [GENRE:Gib sie in ein glasiertes Gefäß], [CARD:ANSATZ?] [CARD:ANSATZ?] [REGISTER:H2:I003 mit sichtbarer Doppelbelegung], [GENRE:rühre bei kleinem Feuer] [EXEMPLAR:bis eine weiche Salbe entsteht], [GENRE:bewahre sie bedeckt] [GENRE:und lege sie äußerlich auf ein Geschwür oder eine harte Schwellung].	Parallele Erntefraktionen oder Materialchargen; das doppelte ANSATZ? kann Dittographie/Kategorie sein.	PASS_EXISTING_EXEMPLAR;FAIL_STANDALONE_SEMANTIC_CODEC
H3	HERBAL_PROSE	f11r	Duftveilchen — klarer Wein und äußeres Veilchenöl	17	3	4	4	3	0	3	14	1	AMBIGUOUS:3;UNPARSED:1	AMBIGUOUS:3;UNPARSED:1	1	7	17	17/17	0/17	17/17	[IMAGE:Vom Duftveilchen.] [GENRE:Nimm im ersten Frühjahr] [IMAGE:Blüten und junge Blätter], [GENRE:koche sie in reinem Wein], [GENRE:wringe sie durch ein feines Tuch], [GENRE:lasse den Auszug stehen und seihe ihn nochmals] [CARD:KLAR?=bis klar] [EXEMPLAR:nach örtlicher Prüfung], [GENRE:dann lasse ihn abkühlen]. [EXEMPLAR:Behalte einen Teil der frischen Blüten für die zweite Arznei zurück]. [GENRE:Nimm vom ersten Auszug und gib ihn als Trank] [GENRE:bei bedrücktem Gemüt und beschwerter Brust] [CARD:MASS?=in einem Maß] [EXEMPLAR:kleiner örtlicher Größe]. [EXEMPLAR:Nimm die zurückbehaltenen Blüten], [GENRE:erwärme sie in Olivenöl] [CARD:BEREIT?=bis bereit] [EXEMPLAR:nach örtlichem Kriterium], [GENRE:und streiche das Öl äußerlich um die Lider, ohne das Auge zu berühren].	Gundermann oder anderes blau blühendes Kriechkraut; die drei langen Bildwurzeln widersprechen Viola.	PASS_EXISTING_EXEMPLAR;FAIL_STANDALONE_SEMANTIC_CODEC
H4	HERBAL_PROSE	f55v	Bärlauch — Weinansatz, Wundwäsche und warmer Blattumschlag	18	2	4	4	4	2	6	12	3	AMBIGUOUS:3;UNPARSED:1	AMBIGUOUS:3;UNPARSED:1	2	8	18	18/18	0/18	18/18	[IMAGE:Vom breiten Lauch.] [EXEMPLAR:Setze den ersten Posten an], [CARD:MASS?=nimm nach Maß] [EXEMPLAR:ein örtliches Maß] [IMAGE:breiter Blätter], [GENRE:zerstoße sie], [GENRE:füge Weißwein hinzu], [GENRE:verschließe das Gefäß und lasse es kühl stehen]. [CARD:MASS?=Miss eine Portion ab], [GENRE:wringe sie durch Leinwand und lasse sie klar absetzen], [GENRE:verwahre den klaren Auszug]. [GENRE:Wasche damit eine unreine äußere Wunde] [EXEMPLAR:einmal oder nach örtlicher Vorschrift]. [CARD:MASS?=Nimm nach Maß] [EXEMPLAR:eine Portion der zurückbehaltenen Blätter], [EXEMPLAR:lege sie an die bezeichnete äußere Stelle], [GENRE:erwärme sie gelinde], [CARD:ANSATZ?=führe sie als zweiten Ansatz], [GENRE:mische sie mit Honig] [GENRE:und lege den warmen Umschlag frisch auf].	Plantago passt zu Saft/Tuch/Wein oder Honig und warmer Auflage mindestens ebenso gut; technische Blattmaische bleibt möglich.	PASS_EXISTING_EXEMPLAR;FAIL_STANDALONE_SEMANTIC_CODEC
H5	HERBAL_PROSE	f56r	Rundblättriger Sonnentau — kurze Hautanwendung und getrockneter Brusttrank	27	7	7	6	6	0	6	21	1	AMBIGUOUS:4;UNPARSED:3	AMBIGUOUS:3;UNPARSED:3	1	13	27	27/27	0/27	27/27	[IMAGE:Vom rundblättrigen Sonnentau.] [GENRE:Sammle] [IMAGE:das ganze oberirdische Kraut im feuchten Moor] [EXEMPLAR:zu Beginn der Blüte] [CARD:MASS?=in einem Maß] [EXEMPLAR:nur eine kleine örtliche Menge]. [GENRE:Zerstoße die frischen klebrigen Blätter und lege sie auf] [EXEMPLAR:eine einzelne Warze oder ein Hühnerauge]; [CARD:ANWENDEN?=wende sie an] [EXEMPLAR:nur kurz] [CARD:ZIEL?=an der Zielstelle] [EXEMPLAR:der bezeichneten Haut]. [GENRE:Nimm die Auflage wieder ab und wasche die Stelle mit Wasser]; [CARD:ANWENDEN?=wiederhole den Gebrauch] [EXEMPLAR:nur falls vertragen], [GENRE:dann beende ihn]. [IMAGE:Nimm vom übrigen Kraut die blühenden Stiele], [GENRE:trockne sie im Schatten, zerreibe sie grob und verwahre sie trocken]. [GENRE:Setze daraus mit mildem Wein einen schwachen Auszug an und seihe ihn durch ein Tuch]. [GENRE:Füge Honig hinzu, erwärme gelinde und gib den Auszug als Brusttrank] [GENRE:bei trockenem Husten]. [CARD:ANTEIL?=Wähle davon einen Anteil] [EXEMPLAR:je Gabe] [CARD:MASS?=nach Maß] [EXEMPLAR:in kleiner örtlicher Menge].	Adiantum hat die historisch bessere pektorale Tradition; Drosera ist bildnäher, aber um 1420 schlecht gesichert.	PASS_EXISTING_EXEMPLAR;FAIL_STANDALONE_SEMANTIC_CODEC
B1	BIOLOGICAL_PROSE	f81v	Therapeutische Badeflotte und Beckenbeschickung	66	7	24	21	11	12	23	43	17	AMBIGUOUS:8;UNIQUE:5;UNPARSED:11	AMBIGUOUS:8;UNIQUE:4;UNPARSED:9	4	40	66	66/66	0/66	66/66	[IMAGE:A002+A003:Becken und verbindende Läufe liefern nur die sichtbare Apparaturkulisse.] [GENRE:A005+A007+A020:Spüle den ersten Arbeitsort, setze eine Kräuter-Badeflotte an und führe mehrere recordlokale Posten zusammen.] [EXEMPLAR:A008+A009+A012:Temperiere, lasse stehen und prüfe den Arbeitszustand.] [GENRE:A001+A005+A015:Verwende einen Teil als äußere Badewaschung und spüle danach Arbeitsort oder Gefäß.] [EXEMPLAR:A006+A013+A014:Nachfüllen, absetzen, durch Tuch klären und an die nächste im Exemplar bezeichnete Station übergeben.]	43/66 Ereignisse sind EXEMPLAR_ONLY; kein lokaler Körperbesitzer ist gesichert.	PASS_EXISTING_EXEMPLAR;FAIL_STANDALONE_SEMANTIC_CODEC
B2	BIOLOGICAL_PROSE	f82r	Teilbad, örtliche Waschung und warmer Nachgang	62	8	26	22	11	5	16	46	19	AMBIGUOUS:8;UNIQUE:1;UNPARSED:17	AMBIGUOUS:6;UNIQUE:1;UNPARSED:15	10	28	62	62/62	0/62	62/62	[IMAGE:A004:Die Figuren- und Zonenkomposition erlaubt Badende, jedoch keine textlich identifizierte Krankheit.] [GENRE:A001+A005+A021:Reinige das Gefäß, bereite eine temperierte Kräuterflotte und führe die Badende in ein örtliches Teil- oder Sitzbad.] [EXEMPLAR:A006+A008+A009+A013:Kläre durch Tuch, halte die Charge warm, benutze sie am bezeichneten Bereich und lasse sie ab.] [GENRE:A015+A021:Bereite einen zweiten kühleren oder wieder erwärmten Waschgang und schließe mit örtlicher Waschung oder warmer Tuchauflage.]	46/62 Ereignisse sind EXEMPLAR_ONLY; Bildnähe beweist weder Besitzer noch Frauenkrankheit.	PASS_EXISTING_EXEMPLAR;FAIL_STANDALONE_SEMANTIC_CODEC
B3	BIOLOGICAL_PROSE	f83r	Langer warmer Bade- und äußerer Lavagezyklus	86	10	38	34	23	6	29	57	31	AMBIGUOUS:12;UNIQUE:7;UNPARSED:19	AMBIGUOUS:12;UNIQUE:6;UNPARSED:16	19	50	86	86/86	0/86	86/86	[GENRE:A001+A005+A022:Setze eine Bade- oder Waschflotte ab, teile einen Posten zu und führe ihn an den Arbeitsort.] [EXEMPLAR:A008+A010+A013:Nachfüllen, mischen, temperieren und den bezeichneten Körper- oder Beckenbereich benetzen.] [GENRE:A015+A022:Als äußere Lavage oder Badewaschung gebrauchen, danach spülen und ablassen.] [EXEMPLAR:A009+A012+A018:Eine zweite Charge bis zum örtlichen Prüfzustand führen und den Wasch-/Ablassgang wiederholen.] [IMAGE:A002+A003:Die Schlussfolge wird an sichtbaren Auslass- und Beckenformen vollzogen, ohne ihnen Kartenwörter zuzuschreiben.]	57/86 Ereignisse sind EXEMPLAR_ONLY; Auslass-Owner ohne Figuren widersprechen durchgehender Patientenprosa.	PASS_EXISTING_EXEMPLAR;FAIL_STANDALONE_SEMANTIC_CODEC
B4	BIOLOGICAL_PROSE	f83r	Gefilterte warme Haut-/Wundwäsche mit Tuchauflage	47	10	20	16	13	2	15	32	16	AMBIGUOUS:9;UNIQUE:1;UNPARSED:10	AMBIGUOUS:7;UNIQUE:1;UNPARSED:8	7	23	47	47/47	0/47	47/47	[GENRE:A006+A007+A023:Tauche ein Tuch oder eine Auflage in den vorbereiteten Waschzusatz.] [EXEMPLAR:A008+A010:Temperiere einen ausgewählten Anteil und führe den aktiven Posten weiter.] [GENRE:A004+A005+A015+A023:Wasche eine äußere Haut- oder Wundstelle und lege das warme Tuch auf.] [EXEMPLAR:A006+A012+A013:Seihe den Rest, spüle den Arbeitsort, lasse die verbrauchte Flüssigkeit ab und fülle eine Schlussportion nach.]	32/47 Ereignisse sind EXEMPLAR_ONLY; keine Karte bedeutet Wunde, Haut, Tuch oder Wein.	PASS_EXISTING_EXEMPLAR;FAIL_STANDALONE_SEMANTIC_CODEC
B5	BIOLOGICAL_PROSE	f83r	Zeitlich gehaltener Wärme- und Übergabenachtrag	11	3	5	3	2	2	4	7	2	AMBIGUOUS:2;UNPARSED:3	AMBIGUOUS:1;UNPARSED:2	2	5	11	11/11	0/11	11/11	[EXEMPLAR:A008+A009+A024:Ziehe den recordlokalen Restposten ab, erwärme ihn einmal und halte ihn für die örtliche Frist.] [EXEMPLAR:A010+A013+A014+A024:Führe ihn nach örtlichem Maß an die nächste Station.]	7/11 Ereignisse sind EXEMPLAR_ONLY; der Record besitzt nur drei Statements.	PASS_EXISTING_EXEMPLAR;FAIL_STANDALONE_SEMANTIC_CODEC
