combined_group_ordinal	namespace	unit_id	page	source_locus	field_or_local_address	statement_or_locus_unit	group_ordinal_within_unit	opaque_whole_card_key	surface_display_only	typed_source_class	silent_state_mode	compiler_channel	licensed_prompt	event_template_or_local_role	external_exemplar_payload_key	external_source_payload	field_grouping_operation	line_reflow_operation	hand_renderer_operation	id_to_surface_encode_status	surface_to_id_decode_status	formal_identity_order_layout_roundtrip	source_intention_without_exemplar	source_intention_with_exemplar	external_exemplar_required_for_complete_source	semantic_contract
1	PROSE_EXACT_JOINT_CARD	H1	f10r	f10r.2	F001	H1-S001	1	P:65f320e75510b2f38182	dchey	MIXED_AMBIGUOUS	FOUR_RECORD_LOCAL_REGISTERS	EXEMPLAR_WHOLE_CARD	NO_REUSABLE_PROMPT	EXEMPLAR_ONLY	SRC:P:E001	[IMAGE:unterer Wurzelstock des Teufelsabbisses]	APPEND_FIELD	SPACE	COPY_OCCURRENCE_SURFACE_ATOMICALLY;NO_COMPONENT_OR_PHONETIC_RULE	UNIQUE_DECK_SURFACE	UNIQUE_WITHIN_PROSE_DECK	PASS	LOST_OPAQUE_EVENT	PASS_SELECTED_LOCAL_PAYLOAD	YES	WORKING_PROMPT_NOT_LEXEM;EXACT_CARD_ATOMIC;NO_PAGE_HOST_OR_STRING_INHERITANCE
2	PROSE_EXACT_JOINT_CARD	H1	f10r	f10r.2	F001	H1-S001	2	P:dedc383b600397a301ee	cthoor	MIXED_AMBIGUOUS	FOUR_RECORD_LOCAL_REGISTERS	EXEMPLAR_WHOLE_CARD	NO_REUSABLE_PROMPT	EXEMPLAR_ONLY	SRC:P:E002	[GENRE:säubere ihn]	APPEND_FIELD	SPACE	COPY_OCCURRENCE_SURFACE_ATOMICALLY;NO_COMPONENT_OR_PHONETIC_RULE	UNIQUE_DECK_SURFACE	UNIQUE_WITHIN_PROSE_DECK	PASS	LOST_OPAQUE_EVENT	PASS_SELECTED_LOCAL_PAYLOAD	YES	WORKING_PROMPT_NOT_LEXEM;EXACT_CARD_ATOMIC;NO_PAGE_HOST_OR_STRING_INHERITANCE
3	PROSE_EXACT_JOINT_CARD	H1	f10r	f10r.2	F001	H1-S001	3	P:4d4559019a961b834aa1	char	MIXED_AMBIGUOUS	FOUR_RECORD_LOCAL_REGISTERS	EXEMPLAR_WHOLE_CARD	NO_REUSABLE_PROMPT	EXEMPLAR_ONLY	SRC:P:E003	[REGISTER:H1:I001 als derselbe Arbeitsansatz]	APPEND_FIELD	SPACE	COPY_OCCURRENCE_SURFACE_ATOMICALLY;NO_COMPONENT_OR_PHONETIC_RULE	EXTERNAL_OCCURRENCE_RENDERER_SELECTOR_REQUIRED	UNIQUE_WITHIN_PROSE_DECK	PASS	LOST_OPAQUE_EVENT	PASS_SELECTED_LOCAL_PAYLOAD	YES	WORKING_PROMPT_NOT_LEXEM;EXACT_CARD_ATOMIC;NO_PAGE_HOST_OR_STRING_INHERITANCE
4	PROSE_EXACT_JOINT_CARD	H1	f10r	f10r.2	F001	H1-S001	4	P:80ebbbbf238eee9f0aef	chty	MIXED_AMBIGUOUS	FOUR_RECORD_LOCAL_REGISTERS	EXEMPLAR_WHOLE_CARD	NO_REUSABLE_PROMPT	EXEMPLAR_ONLY	SRC:P:E004	[GENRE:zerschneide ihn]	APPEND_FIELD	SPACE	COPY_OCCURRENCE_SURFACE_ATOMICALLY;NO_COMPONENT_OR_PHONETIC_RULE	EXTERNAL_OCCURRENCE_RENDERER_SELECTOR_REQUIRED	UNIQUE_WITHIN_PROSE_DECK	PASS	LOST_OPAQUE_EVENT	PASS_SELECTED_LOCAL_PAYLOAD	YES	WORKING_PROMPT_NOT_LEXEM;EXACT_CARD_ATOMIC;NO_PAGE_HOST_OR_STRING_INHERITANCE
5	PROSE_EXACT_JOINT_CARD	H1	f10r	f10r.2	F001	H1-S001	5	P:df1098831679a8ad1b39	os	MIXED_AMBIGUOUS	FOUR_RECORD_LOCAL_REGISTERS	EXEMPLAR_WHOLE_CARD	NO_REUSABLE_PROMPT	EXEMPLAR_ONLY	SRC:P:E005	[GENRE:gib ihn in den Brennhafen]	APPEND_FIELD	SPACE	COPY_OCCURRENCE_SURFACE_ATOMICALLY;NO_COMPONENT_OR_PHONETIC_RULE	UNIQUE_DECK_SURFACE	UNIQUE_WITHIN_PROSE_DECK	PASS	LOST_OPAQUE_EVENT	PASS_SELECTED_LOCAL_PAYLOAD	YES	WORKING_PROMPT_NOT_LEXEM;EXACT_CARD_ATOMIC;NO_PAGE_HOST_OR_STRING_INHERITANCE
6	PROSE_EXACT_JOINT_CARD	H1	f10r	f10r.2	F001	H1-S001	6	P:12efe866f335461823a6	chair	MIXED_AMBIGUOUS	FOUR_RECORD_LOCAL_REGISTERS	EXEMPLAR_WHOLE_CARD	NO_REUSABLE_PROMPT	EXEMPLAR_ONLY	SRC:P:E006	[GENRE:füge Quellwasser hinzu]	APPEND_FIELD	SPACE	COPY_OCCURRENCE_SURFACE_ATOMICALLY;NO_COMPONENT_OR_PHONETIC_RULE	UNIQUE_DECK_SURFACE	UNIQUE_WITHIN_PROSE_DECK	PASS	LOST_OPAQUE_EVENT	PASS_SELECTED_LOCAL_PAYLOAD	YES	WORKING_PROMPT_NOT_LEXEM;EXACT_CARD_ATOMIC;NO_PAGE_HOST_OR_STRING_INHERITANCE
7	PROSE_EXACT_JOINT_CARD	H1	f10r	f10r.2	F001	H1-S001	7	P:62ff059766b21c7de083	otytchol	MIXED_AMBIGUOUS	FOUR_RECORD_LOCAL_REGISTERS	EXEMPLAR_WHOLE_CARD	NO_REUSABLE_PROMPT	EXEMPLAR_ONLY	SRC:P:E007	[GENRE:fange den ersten Lauf im Glas auf]	APPEND_FIELD	SPACE	COPY_OCCURRENCE_SURFACE_ATOMICALLY;NO_COMPONENT_OR_PHONETIC_RULE	UNIQUE_DECK_SURFACE	UNIQUE_WITHIN_PROSE_DECK	PASS	LOST_OPAQUE_EVENT	PASS_SELECTED_LOCAL_PAYLOAD	YES	WORKING_PROMPT_NOT_LEXEM;EXACT_CARD_ATOMIC;NO_PAGE_HOST_OR_STRING_INHERITANCE
8	PROSE_EXACT_JOINT_CARD	H1	f10r	f10r.2	F001	H1-S001	8	P:276a7c2d74d1143446f4	oky	MIXED_AMBIGUOUS	FOUR_RECORD_LOCAL_REGISTERS	EXACT_MNEMONIC	MNEMONIC:ANWENDEN?	ACTION_APPLY	SRC:P:E008	[CARD:ANWENDEN?] [GENRE:gebrauche den Lauf innerlich]	APPEND_FIELD	SPACE	COPY_OCCURRENCE_SURFACE_ATOMICALLY;NO_COMPONENT_OR_PHONETIC_RULE	EXTERNAL_OCCURRENCE_RENDERER_SELECTOR_REQUIRED	UNIQUE_WITHIN_PROSE_DECK	PASS	PARTIAL_CONTROL_TEMPLATE_ONLY	PASS_SELECTED_LOCAL_PAYLOAD	YES	WORKING_PROMPT_NOT_LEXEM;EXACT_CARD_ATOMIC;NO_PAGE_HOST_OR_STRING_INHERITANCE
9	PROSE_EXACT_JOINT_CARD	H1	f10r	f10r.2	F001	H1-S001	9	P:2f1c5e56e8f0ff459065	daiin	MIXED_AMBIGUOUS	FOUR_RECORD_LOCAL_REGISTERS	EXACT_MNEMONIC_PLUS_FORMAL_CONVERGENT	MNEMONIC:MASS?|FORMAL:VORGABEPARAMETER?	PARAMETER_ASSIGN	SRC:P:E009	[CARD:MASS?] [FORMAL:VORGABEPARAMETER?; keine Wortbedeutung] [EXEMPLAR:in kleinem örtlichem Maß]	APPEND_FIELD	SPACE	COPY_OCCURRENCE_SURFACE_ATOMICALLY;NO_COMPONENT_OR_PHONETIC_RULE	EXTERNAL_OCCURRENCE_RENDERER_SELECTOR_REQUIRED	UNIQUE_WITHIN_PROSE_DECK	PASS	PARTIAL_CONTROL_TEMPLATE_ONLY	PASS_SELECTED_LOCAL_PAYLOAD	YES	WORKING_PROMPT_NOT_LEXEM;EXACT_CARD_ATOMIC;NO_PAGE_HOST_OR_STRING_INHERITANCE
10	PROSE_EXACT_JOINT_CARD	H1	f10r	f10r.2	F001	H1-S001	10	P:a6939862e33ece5a0483	etyd	MIXED_AMBIGUOUS	FOUR_RECORD_LOCAL_REGISTERS	EXEMPLAR_WHOLE_CARD	NO_REUSABLE_PROMPT	EXEMPLAR_ONLY	SRC:P:E010	[GENRE:gegen Stechen im Leib] [GENRE:verwahre den Rest verschlossen]	OPEN_FIELD_CUT	LINE_RESET	COPY_OCCURRENCE_SURFACE_ATOMICALLY;NO_COMPONENT_OR_PHONETIC_RULE	UNIQUE_DECK_SURFACE	UNIQUE_WITHIN_PROSE_DECK	PASS	LOST_OPAQUE_EVENT	PASS_SELECTED_LOCAL_PAYLOAD	YES	WORKING_PROMPT_NOT_LEXEM;EXACT_CARD_ATOMIC;NO_PAGE_HOST_OR_STRING_INHERITANCE
