manual_step	phase	responsible_role	input	operation	output	hard_rule	failure_if_violated	historical_basis_ids
M01	CODEBOOK	master_physician_scribe	ordinary Latin and vernacular medical source repertoire	Keep ordinary source language outside the card layer	SOURCE_REPERTOIRE	No Voynich surface is assigned a sound	A historical source language would be falsely deciphered	S1|S2|S3|S4
M02	CODEBOOK	master_physician_scribe	selected V60 deck	Copy the eleven exact whole-card mnemonics as indivisible entries	COMMON_DECK_11	Mnemonic labels remain exploratory concepts, never phonetic expansions	A short card becomes a sentence or a guessed wordform	S1|S2
M03	CODEBOOK	master_physician_scribe	selected formal layer	Copy the four formal prompts as slots, not words	FORMAL_DECK_4	Formal prompts have no lexical meaning	Control syntax is confused with prose	S2
M04	CODEBOOK	compiler	Herbal Bio Astro register rules	Prepare one template sheet per register	REGISTER_TEMPLATE_SHEETS	A template licenses order only, never a concrete noun	Plant, patient, vessel, body part or star is smuggled into a card	S5|S6|S7|S8
M05	CODEBOOK	compiler	page-local rare material	Reserve an exemplar-tail column copied as opaque whole cards	LOCAL_EXEMPLAR_TAIL	No tail item is generalized by substring	An unlicensed dictionary grows from local accident	S1|S2
M06	CODEBOOK	chief_copyist	hand and layout practice	Record wrapper, allograph, field-break and closure conventions	RENDERER_SHEET	Graphic variation may not change licensed identity	A hand variant is treated as a new meaning	S1|S6
M07	GENEALOGY	master_physician_scribe	E0 ordinary technical sources	Normalize source clauses and lookup inventories without recoding them	E1_NORMALIZED_SOURCE	Preserve source order and uncertainty	Later cards inherit invented prose	S3|S4|S7|S8
M08	GENEALOGY	compiler	E1 normalized source	Apply ellipsis, anonymous registers and the common deck	E2_CARD_EXEMPLAR	Only licensed exact cards are substituted	The copy cannot be checked against a stable exemplar	S1|S2
M09	GENEALOGY	copy_team	E2 card exemplar	Make register-specific copies C-Herbal, C-Bio and C-Astro	WORKING_COPIES	Copy local tails exactly and proof against E2	Independent semantic improvisation destroys genealogy	S1|S6
M10	COMPILER	compiler	one illustrated or diagrammatic unit	Choose register and declare record boundary	RECORD_FRAME	OWNER ACTIVE TARGET PREVIOUS reset at every record	Carries leak between unrelated pictures	S5|S6
M11	COMPILER	compiler	visible illustration	Bind a silent OWNER only when the image or local exemplar supports it	OWNER_REGISTER	OWNER remains anonymous in the card layer	A pictured plant or woman becomes a card gloss	S5|S9
M12	COMPILER	compiler	ordinary source clause	Put content into the register order specified by M13-M15	ORDERED_SOURCE_PACKET	Physical manuscript line is not a sentence	Reflow is mistaken for syntax	S3|S4
M13	COMPILER	Herbal_compiler	illustrated materia-medica clause	Order owner or rubric, part and measure, preparation and medium, state, application, then storage or variant	HERBAL_PACKET	All plant, medium, ailment and body-site nouns stay IMAGE GENRE or EXEMPLAR	Open prose is falsely compressed into the small deck	S3|S4|S5
M14	COMPILER	Bio_compiler	apparatus or bath workflow	Order station or owner, active charge, amount, relation or target, state or action, drain or close, then parallel cell	BIO_PACKET	Body, bath, patient, vessel and conduit remain IMAGE or EXEMPLAR	Apparatus-shaped cells are overmedicalized	S6|S9
M15	COMPILER	Astro_compiler	time-selection or spatial lookup inventory	Order external choice, spatial address, local label or rule, then act or defer outside the card reading	ASTRO_PACKET	Every planet, sign, mansion, body sector and rule name is LOCAL_EXEMPLAR	A diagram label becomes a decoded word	S7|S8|S10
M16	COMPILER	compiler	ordered source packet	Omit repeated owner or object and update ACTIVE TARGET PREVIOUS	ELLIPTIC_PACKET	Carries are record-local and explicitly stateful	Silent arguments become portable card meanings	S3|S4
M17	COMPILER	compiler	elliptic packet	Replace only exact licensed occurrences with common-deck cards	CARD_PACKET	No decomposition, substring semantics or phonetic mapping	Brevigraphy becomes a speculative cipher alphabet	S1|S2
M18	COMPILER	compiler	remaining control relations	Insert formal prompts for opaque slots	SLOTTED_PACKET	A formal prompt cannot supply a German word	Slot and lexical content collapse	S2
M19	COMPILER	compiler	remaining rare content	Copy unknown exemplar-tail cards whole and in order	COMPLETE_PACKET	Unknown means exemplar-dependent, not empty	Rare semantic content is invented during expansion	S1|S2
M20	COMPILER	layout_copyist	complete packet	Place packet in picture cell or diagram locus and reflow across physical lines	VISIBLE_RECORD	Line breaking must not change source clause state	Line ends are falsely read as full stops	S6
M21	TRAINING	apprentice	ordinary literacy	Read and recopy Recipe, ana, fiat, take, stamp, temper and apply formulae	SOURCE_LITERACY	This stage precedes the private deck	A learner knows signs but not the technical task	S1|S3|S4
M22	TRAINING	apprentice	conventional abbreviation table	Drill contraction, suspension, superscript and special-sign recognition	ABBREVIATION_LITERACY	Conventional abbreviation is distinct from the private whole-card deck	Every abbreviation is treated as a secret sign	S2
M23	TRAINING	apprentice	COMMON_DECK_11 and FORMAL_DECK_4	Memorize by exact-card flash table and bidirectional copying	DECK_LITERACY	Only fifteen common entries are learned semantically	Local tails are overgeneralized	S2
M24	TRAINING	apprentice	three register template sheets	Compile and back-expand sample Herbal, Bio and Astro packets	REGISTER_LITERACY	Back-expansion must mark all silent additions	The apprentice mistakes editorial completion for card value	S3|S5|S6|S7
M25	TRAINING	apprentice	E2 supervised folio	Copy one complete record of each register and proof it	LICENSED_COPYIST	Estimated six to twelve weeks for an already literate assistant; semantic independence is not achieved	Duration is mistaken for manuscript evidence	S1|S6
M26	HANDOFF	chief_copyist	completed record	Transfer at a record boundary and reset all four registers	CLEAN_HANDOFF	Prefer record-boundary handoff	A new hand inherits the wrong active item	S1|S6
M27	HANDOFF	chief_copyist	unavoidable mid-record break	Write or orally declare OWNER ACTIVE TARGET PREVIOUS plus current template and tail position	STATE_HANDOFF	No unstated cross-record carry	Continuation cannot be reproduced	S1|S6
M28	HANDOFF	copy_team	physical edge	Repeat a catchword or edge card and verify it as one clause	EDGE_COPY	A repeated edge card is not assigned a second meaning	The f82r edge copy becomes two instructions	S1|S6
M29	PROOF	reader_not_original_copyist	visible copy plus E2	Back-read cards to mnemonic or slot labels and point every silent noun to image, genre or exemplar	SEMANTIC_PROOF	Unknown tails are checked graphically, not guessed	The copy looks fluent only because the reader invents content	S1|S2|S6
M30	PROOF	master_physician_scribe	proofed record	Reject unauthorized new common cards; amend only E2 and codebook together	CONTROLLED_REVISION	No copyist may coin a meaning locally	Multi-scribe transmission forks the codebook	S1|S6
