transition_id	from_state	input_or_guard	to_state	deterministic_action	failure_policy	historical_hand_execution
T01	READY	START_PROSE_UNIT	CLAUSE_TYPED	reset four registers; open record-local namespace	CONTINUE	marginal current-entry marks plus copied whole-card exemplar; no modern arithmetic required
T02	READY	START_ASTRO_UNIT	EVENT_SELECT	open page-local diagram namespace; bypass prose registers	CONTINUE	marginal current-entry marks plus copied whole-card exemplar; no modern arithmetic required
T03	CLAUSE_TYPED	VALID_TYPED_CLAUSE	REGISTERS_BOUND	apply selected V62 transition log	CONTINUE	marginal current-entry marks plus copied whole-card exemplar; no modern arithmetic required
T04	CLAUSE_TYPED	MISSING_REQUIRED_REGISTER_OR_LOG	REJECT	fail closed; never invent a referent	FAIL_CLOSED	marginal current-entry marks plus copied whole-card exemplar; no modern arithmetic required
T05	REGISTERS_BOUND|EVENT_SELECT	EXACT_MNEMONIC	CARD_BOUND	select its one licensed exact joint card	CONTINUE	marginal current-entry marks plus copied whole-card exemplar; no modern arithmetic required
T06	REGISTERS_BOUND|EVENT_SELECT	STRICT_FORMAL_PROMPT	CARD_BOUND	select its formal exact card; do not inherit a word	CONTINUE	marginal current-entry marks plus copied whole-card exemplar; no modern arithmetic required
T07	REGISTERS_BOUND|EVENT_SELECT	EXEMPLAR_EVENT_KEY	CARD_BOUND	look up an existing whole prose card	CONTINUE	marginal current-entry marks plus copied whole-card exemplar; no modern arithmetic required
T08	EVENT_SELECT	ASTRO_LOCAL_ADDRESS	CARD_BOUND	look up one page-local diagram group	CONTINUE	marginal current-entry marks plus copied whole-card exemplar; no modern arithmetic required
T09	REGISTERS_BOUND|EVENT_SELECT	NO_LICENSED_CARD_OR_EXEMPLAR	REJECT	new card synthesis forbidden	FAIL_CLOSED	marginal current-entry marks plus copied whole-card exemplar; no modern arithmetic required
T10	CARD_BOUND	COPY_WHOLE_CARD_PAYLOAD	FIELD_BUFFER	copy opaque card and occurrence renderer selector atomically	CONTINUE	marginal current-entry marks plus copied whole-card exemplar; no modern arithmetic required
T11	FIELD_BUFFER	MORE_GROUP_IN_FIELD_OR_LOCUS	EVENT_SELECT	emit SPACE after the whole group; preserve source order	CONTINUE	marginal current-entry marks plus copied whole-card exemplar; no modern arithmetic required
T12	FIELD_BUFFER	END_OPEN_FIELD	FIELD_COMMITTED	record field cut without spoken close	CONTINUE	marginal current-entry marks plus copied whole-card exemplar; no modern arithmetic required
T13	FIELD_BUFFER	END_TERMINAL_FIELD	FIELD_COMMITTED	commit observed terminal card; CLOSE remains silent	CONTINUE	marginal current-entry marks plus copied whole-card exemplar; no modern arithmetic required
T14	FIELD_BUFFER	CLOSE_BEFORE_FIELD_END_OR_MISSING_AT_DECLARED_TERMINAL	REJECT	field-envelope violation	FAIL_CLOSED	marginal current-entry marks plus copied whole-card exemplar; no modern arithmetic required
T15	FIELD_COMMITTED	MORE_FIELD_SAME_STATEMENT	EVENT_SELECT	preserve field partition and active statement	CONTINUE	marginal current-entry marks plus copied whole-card exemplar; no modern arithmetic required
T16	FIELD_COMMITTED	NEXT_TYPED_STATEMENT	CLAUSE_TYPED	carry/reset registers exactly as logged	CONTINUE	marginal current-entry marks plus copied whole-card exemplar; no modern arithmetic required
T17	FIELD_COMMITTED	ALL_UNIT_FIELDS_BUFFERED	REFLOW_BUFFER	apply stored physical-locus map after clause compilation	CONTINUE	marginal current-entry marks plus copied whole-card exemplar; no modern arithmetic required
T18	REFLOW_BUFFER	VALID_LINE_REFLOW	HAND_RENDER	SPACE between groups; LINE_RESET only at stored locus boundary	CONTINUE	marginal current-entry marks plus copied whole-card exemplar; no modern arithmetic required
T19	REFLOW_BUFFER	LINE_RESET_USED_AS_SENTENCE_OR_UNLICENSED_REFLOW	REJECT	line is not sentence	FAIL_CLOSED	marginal current-entry marks plus copied whole-card exemplar; no modern arithmetic required
T20	HAND_RENDER	COPY_NEXT_WHOLE_SURFACE	HAND_RENDER	copy exemplar surface without phonetic or component analysis	CONTINUE	marginal current-entry marks plus copied whole-card exemplar; no modern arithmetic required
T21	HAND_RENDER	END_UNIT	UNIT_DONE	return visible unit plus formal trace	CONTINUE	marginal current-entry marks plus copied whole-card exemplar; no modern arithmetic required
T22	ANY	PAGE_HOST_COMPONENT_PHONETIC_OR_CROSSPAGE_INHERITANCE	REJECT	forbidden semantic path	FAIL_CLOSED	marginal current-entry marks plus copied whole-card exemplar; no modern arithmetic required
