unit_id	page	register	source_order	complete_source_default	encoding_mode	decoding_limit
H1	f10r	HERBAL	OWNER_HEADING > MATERIAL/PART > PREPARATION* > QUANTITY/STATE > USE > CONTINUATION	[IMAGE:Vom Teufelsabbiss.] [GENRE:Nimm] [IMAGE:den unteren Wurzelstock], [GENRE:säubere und zerschneide ihn], [GENRE:gib ihn mit Quellwasser in den Brennhafen] [GENRE:und fange den ersten Lauf in einem Glas auf]. [CARD:ANWENDEN?=Wende den aktiven Lauf an] [GENRE:innerlich] [CARD:MASS?=nach Maß] [EXEMPLAR:in kleiner Gabe] [GENRE:gegen Stechen im Leib]; [GENRE:verwahre den Rest verschlossen]. [EXEMPLAR:Nimm für frischen Gebrauch den ersten Lauf], [GENRE:erwärme ihn gelinde], [FORMAL:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN; ohne Wortbedeutung] [REGISTER:H1:I001 fortgeführt], [CARD:BEREIT?=bis bereit] [EXEMPLAR:nach örtlichem Kriterium].	ELLIPTICAL_FORMULARY_PLUS_WHOLE_CARD_EXEMPLAR	CONCRETE_PLANT_AND_RECIPE_REQUIRE_IMAGE_AND_LOCAL_EXEMPLAR
H2	f10r	HERBAL	OWNER_HEADING > MATERIAL/PART > PREPARATION* > QUANTITY/STATE > USE > CONTINUATION	[IMAGE:Von derselben Teufelsabbiss-Pflanze.] [GENRE:Nimm] [IMAGE:Blütenköpfe und junge Blätter] [CARD:BEREIT?] [EXEMPLAR:wenn sie eben aufgehen], [CARD:ANSATZ?=führe sie als frischen Ansatz], [GENRE:zerstoße sie und presse den Saft durch ein Tuch]. [EXEMPLAR:Fange die erste Fraktion auf], [GENRE:gib Olivenöl hinzu], [CARD:MASS?=nach Maß] [EXEMPLAR:in örtlicher Menge], [GENRE:und erwärme gelinde]. [IMAGE:Nimm vor voller Blüte eine zweite Portion der Spitzen], [CARD:ANSATZ?] [REGISTER:H2:I001 fortgeführt]; [EXEMPLAR:eine Handvoll]. [CARD:VORIGES?=Nimm den vorigen H2-Posten wieder auf] [REGISTER:H2:I001], [CARD:MASS?=in gleichem örtlichem Maß], [GENRE:und verbinde beide Fraktionen]. [GENRE:Gib sie in ein glasiertes Gefäß], [CARD:ANSATZ?] [CARD:ANSATZ?] [REGISTER:H2:I003 mit sichtbarer Doppelbelegung], [GENRE:rühre bei kleinem Feuer] [EXEMPLAR:bis eine weiche Salbe entsteht], [GENRE:bewahre sie bedeckt] [GENRE:und lege sie äußerlich auf ein Geschwür oder eine harte Schwellung].	ELLIPTICAL_FORMULARY_PLUS_WHOLE_CARD_EXEMPLAR	CONCRETE_PLANT_AND_RECIPE_REQUIRE_IMAGE_AND_LOCAL_EXEMPLAR
H3	f11r	HERBAL	OWNER_HEADING > MATERIAL/PART > PREPARATION* > QUANTITY/STATE > USE > CONTINUATION	[IMAGE:Vom Duftveilchen.] [GENRE:Nimm im ersten Frühjahr] [IMAGE:Blüten und junge Blätter], [GENRE:koche sie in reinem Wein], [GENRE:wringe sie durch ein feines Tuch], [GENRE:lasse den Auszug stehen und seihe ihn nochmals] [CARD:KLAR?=bis klar] [EXEMPLAR:nach örtlicher Prüfung], [GENRE:dann lasse ihn abkühlen]. [EXEMPLAR:Behalte einen Teil der frischen Blüten für die zweite Arznei zurück]. [GENRE:Nimm vom ersten Auszug und gib ihn als Trank] [GENRE:bei bedrücktem Gemüt und beschwerter Brust] [CARD:MASS?=in einem Maß] [EXEMPLAR:kleiner örtlicher Größe]. [EXEMPLAR:Nimm die zurückbehaltenen Blüten], [GENRE:erwärme sie in Olivenöl] [CARD:BEREIT?=bis bereit] [EXEMPLAR:nach örtlichem Kriterium], [GENRE:und streiche das Öl äußerlich um die Lider, ohne das Auge zu berühren].	ELLIPTICAL_FORMULARY_PLUS_WHOLE_CARD_EXEMPLAR	CONCRETE_PLANT_AND_RECIPE_REQUIRE_IMAGE_AND_LOCAL_EXEMPLAR
H4	f55v	HERBAL	OWNER_HEADING > MATERIAL/PART > PREPARATION* > QUANTITY/STATE > USE > CONTINUATION	[IMAGE:Vom breiten Lauch.] [EXEMPLAR:Setze den ersten Posten an], [CARD:MASS?=nimm nach Maß] [EXEMPLAR:ein örtliches Maß] [IMAGE:breiter Blätter], [GENRE:zerstoße sie], [GENRE:füge Weißwein hinzu], [GENRE:verschließe das Gefäß und lasse es kühl stehen]. [CARD:MASS?=Miss eine Portion ab], [GENRE:wringe sie durch Leinwand und lasse sie klar absetzen], [GENRE:verwahre den klaren Auszug]. [GENRE:Wasche damit eine unreine äußere Wunde] [EXEMPLAR:einmal oder nach örtlicher Vorschrift]. [CARD:MASS?=Nimm nach Maß] [EXEMPLAR:eine Portion der zurückbehaltenen Blätter], [EXEMPLAR:lege sie an die bezeichnete äußere Stelle], [GENRE:erwärme sie gelinde], [CARD:ANSATZ?=führe sie als zweiten Ansatz], [GENRE:mische sie mit Honig] [GENRE:und lege den warmen Umschlag frisch auf].	ELLIPTICAL_FORMULARY_PLUS_WHOLE_CARD_EXEMPLAR	CONCRETE_PLANT_AND_RECIPE_REQUIRE_IMAGE_AND_LOCAL_EXEMPLAR
H5	f56r	HERBAL	OWNER_HEADING > MATERIAL/PART > PREPARATION* > QUANTITY/STATE > USE > CONTINUATION	[IMAGE:Vom rundblättrigen Sonnentau.] [GENRE:Sammle] [IMAGE:das ganze oberirdische Kraut im feuchten Moor] [EXEMPLAR:zu Beginn der Blüte] [CARD:MASS?=in einem Maß] [EXEMPLAR:nur eine kleine örtliche Menge]. [GENRE:Zerstoße die frischen klebrigen Blätter und lege sie auf] [EXEMPLAR:eine einzelne Warze oder ein Hühnerauge]; [CARD:ANWENDEN?=wende sie an] [EXEMPLAR:nur kurz] [CARD:ZIEL?=an der Zielstelle] [EXEMPLAR:der bezeichneten Haut]. [GENRE:Nimm die Auflage wieder ab und wasche die Stelle mit Wasser]; [CARD:ANWENDEN?=wiederhole den Gebrauch] [EXEMPLAR:nur falls vertragen], [GENRE:dann beende ihn]. [IMAGE:Nimm vom übrigen Kraut die blühenden Stiele], [GENRE:trockne sie im Schatten, zerreibe sie grob und verwahre sie trocken]. [GENRE:Setze daraus mit mildem Wein einen schwachen Auszug an und seihe ihn durch ein Tuch]. [GENRE:Füge Honig hinzu, erwärme gelinde und gib den Auszug als Brusttrank] [GENRE:bei trockenem Husten]. [CARD:ANTEIL?=Wähle davon einen Anteil] [EXEMPLAR:je Gabe] [CARD:MASS?=nach Maß] [EXEMPLAR:in kleiner örtlicher Menge].	ELLIPTICAL_FORMULARY_PLUS_WHOLE_CARD_EXEMPLAR	CONCRETE_PLANT_AND_RECIPE_REQUIRE_IMAGE_AND_LOCAL_EXEMPLAR
B1	f81v	BIOLOGICAL	STATION/OWNER > ACTIVE_CHARGE > PARAMETER/LINK/TARGET > STATE/CONTACT > TRANSFER > LOCAL_CLOSE	[IMAGE:A002+A003:Becken und verbindende Läufe liefern nur die sichtbare Apparaturkulisse.] [GENRE:A005+A007+A020:Spüle den ersten Arbeitsort, setze eine Kräuter-Badeflotte an und führe mehrere recordlokale Posten zusammen.] [EXEMPLAR:A008+A009+A012:Temperiere, lasse stehen und prüfe den Arbeitszustand.] [GENRE:A001+A005+A015:Verwende einen Teil als äußere Badewaschung und spüle danach Arbeitsort oder Gefäß.] [EXEMPLAR:A006+A013+A014:Nachfüllen, absetzen, durch Tuch klären und an die nächste im Exemplar bezeichnete Station übergeben.]	OPERATING_CELLS_PLUS_WHOLE_CARD_EXEMPLAR	MEDICAL_VERSUS_TECHNICAL_INSTANTIATION_REQUIRES_IMAGE_AND_GENRE
B2	f82r	BIOLOGICAL	STATION/OWNER > ACTIVE_CHARGE > PARAMETER/LINK/TARGET > STATE/CONTACT > TRANSFER > LOCAL_CLOSE	[IMAGE:A004:Die Figuren- und Zonenkomposition erlaubt Badende, jedoch keine textlich identifizierte Krankheit.] [GENRE:A001+A005+A021:Reinige das Gefäß, bereite eine temperierte Kräuterflotte und führe die Badende in ein örtliches Teil- oder Sitzbad.] [EXEMPLAR:A006+A008+A009+A013:Kläre durch Tuch, halte die Charge warm, benutze sie am bezeichneten Bereich und lasse sie ab.] [GENRE:A015+A021:Bereite einen zweiten kühleren oder wieder erwärmten Waschgang und schließe mit örtlicher Waschung oder warmer Tuchauflage.]	OPERATING_CELLS_PLUS_WHOLE_CARD_EXEMPLAR	MEDICAL_VERSUS_TECHNICAL_INSTANTIATION_REQUIRES_IMAGE_AND_GENRE
B3	f83r	BIOLOGICAL	STATION/OWNER > ACTIVE_CHARGE > PARAMETER/LINK/TARGET > STATE/CONTACT > TRANSFER > LOCAL_CLOSE	[GENRE:A001+A005+A022:Setze eine Bade- oder Waschflotte ab, teile einen Posten zu und führe ihn an den Arbeitsort.] [EXEMPLAR:A008+A010+A013:Nachfüllen, mischen, temperieren und den bezeichneten Körper- oder Beckenbereich benetzen.] [GENRE:A015+A022:Als äußere Lavage oder Badewaschung gebrauchen, danach spülen und ablassen.] [EXEMPLAR:A009+A012+A018:Eine zweite Charge bis zum örtlichen Prüfzustand führen und den Wasch-/Ablassgang wiederholen.] [IMAGE:A002+A003:Die Schlussfolge wird an sichtbaren Auslass- und Beckenformen vollzogen, ohne ihnen Kartenwörter zuzuschreiben.]	OPERATING_CELLS_PLUS_WHOLE_CARD_EXEMPLAR	MEDICAL_VERSUS_TECHNICAL_INSTANTIATION_REQUIRES_IMAGE_AND_GENRE
B4	f83r	BIOLOGICAL	STATION/OWNER > ACTIVE_CHARGE > PARAMETER/LINK/TARGET > STATE/CONTACT > TRANSFER > LOCAL_CLOSE	[GENRE:A006+A007+A023:Tauche ein Tuch oder eine Auflage in den vorbereiteten Waschzusatz.] [EXEMPLAR:A008+A010:Temperiere einen ausgewählten Anteil und führe den aktiven Posten weiter.] [GENRE:A004+A005+A015+A023:Wasche eine äußere Haut- oder Wundstelle und lege das warme Tuch auf.] [EXEMPLAR:A006+A012+A013:Seihe den Rest, spüle den Arbeitsort, lasse die verbrauchte Flüssigkeit ab und fülle eine Schlussportion nach.]	OPERATING_CELLS_PLUS_WHOLE_CARD_EXEMPLAR	MEDICAL_VERSUS_TECHNICAL_INSTANTIATION_REQUIRES_IMAGE_AND_GENRE
B5	f83r	BIOLOGICAL	STATION/OWNER > ACTIVE_CHARGE > PARAMETER/LINK/TARGET > STATE/CONTACT > TRANSFER > LOCAL_CLOSE	[EXEMPLAR:A008+A009+A024:Ziehe den recordlokalen Restposten ab, erwärme ihn einmal und halte ihn für die örtliche Frist.] [EXEMPLAR:A010+A013+A014+A024:Führe ihn nach örtlichem Maß an die nächste Station.]	OPERATING_CELLS_PLUS_WHOLE_CARD_EXEMPLAR	MEDICAL_VERSUS_TECHNICAL_INSTANTIATION_REQUIRES_IMAGE_AND_GENRE
