global_index	section	page	unit_id	locus	local_index	opaque_identity	surface_display_only	source_segment	compiler_mechanism	source_recoverable_without_local_exemplar	register_context	field_or_diagram_context	roundtrip_contract
1	HERBAL	f10r	H1	f10r.2	1	65f320e75510b2f38182	dchey	[IMAGE:unterer Wurzelstock des Teufelsabbisses]	LOCAL_EXEMPLAR_WHOLE_CARD	NO_SEMANTIC_RECOVERY_WITHOUT_EXEMPLAR	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	F001	EXACT_ID_AND_ORDER_WITH_CODEBOOK;SOURCE_CONTENT_REQUIRES_DECLARED_LAYER
2	HERBAL	f10r	H1	f10r.2	2	dedc383b600397a301ee	cthoor	[GENRE:säubere ihn]	LOCAL_EXEMPLAR_WHOLE_CARD	NO_SEMANTIC_RECOVERY_WITHOUT_EXEMPLAR	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	F001	EXACT_ID_AND_ORDER_WITH_CODEBOOK;SOURCE_CONTENT_REQUIRES_DECLARED_LAYER
3	HERBAL	f10r	H1	f10r.2	3	4d4559019a961b834aa1	char	[REGISTER:H1:I001 als derselbe Arbeitsansatz]	LOCAL_EXEMPLAR_WHOLE_CARD	NO_SEMANTIC_RECOVERY_WITHOUT_EXEMPLAR	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	F001	EXACT_ID_AND_ORDER_WITH_CODEBOOK;SOURCE_CONTENT_REQUIRES_DECLARED_LAYER
4	HERBAL	f10r	H1	f10r.2	4	80ebbbbf238eee9f0aef	chty	[GENRE:zerschneide ihn]	LOCAL_EXEMPLAR_WHOLE_CARD	NO_SEMANTIC_RECOVERY_WITHOUT_EXEMPLAR	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	F001	EXACT_ID_AND_ORDER_WITH_CODEBOOK;SOURCE_CONTENT_REQUIRES_DECLARED_LAYER
5	HERBAL	f10r	H1	f10r.2	5	df1098831679a8ad1b39	os	[GENRE:gib ihn in den Brennhafen]	LOCAL_EXEMPLAR_WHOLE_CARD	NO_SEMANTIC_RECOVERY_WITHOUT_EXEMPLAR	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	F001	EXACT_ID_AND_ORDER_WITH_CODEBOOK;SOURCE_CONTENT_REQUIRES_DECLARED_LAYER
6	HERBAL	f10r	H1	f10r.2	6	12efe866f335461823a6	chair	[GENRE:füge Quellwasser hinzu]	LOCAL_EXEMPLAR_WHOLE_CARD	NO_SEMANTIC_RECOVERY_WITHOUT_EXEMPLAR	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	F001	EXACT_ID_AND_ORDER_WITH_CODEBOOK;SOURCE_CONTENT_REQUIRES_DECLARED_LAYER
7	HERBAL	f10r	H1	f10r.2	7	62ff059766b21c7de083	otytchol	[GENRE:fange den ersten Lauf im Glas auf]	LOCAL_EXEMPLAR_WHOLE_CARD	NO_SEMANTIC_RECOVERY_WITHOUT_EXEMPLAR	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	F001	EXACT_ID_AND_ORDER_WITH_CODEBOOK;SOURCE_CONTENT_REQUIRES_DECLARED_LAYER
8	HERBAL	f10r	H1	f10r.2	8	276a7c2d74d1143446f4	oky	[CARD:ANWENDEN?] [GENRE:gebrauche den Lauf innerlich]	COMMON_EXACT_WHOLE_CARD	SHORT_MNEMONIC_ONLY	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	F001	EXACT_ID_AND_ORDER_WITH_CODEBOOK;SOURCE_CONTENT_REQUIRES_DECLARED_LAYER
9	HERBAL	f10r	H1	f10r.2	9	2f1c5e56e8f0ff459065	daiin	[CARD:MASS?] [FORMAL:VORGABEPARAMETER?; keine Wortbedeutung] [EXEMPLAR:in kleinem örtlichem Maß]	COMMON_EXACT_WHOLE_CARD	SHORT_MNEMONIC_ONLY	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	F001	EXACT_ID_AND_ORDER_WITH_CODEBOOK;SOURCE_CONTENT_REQUIRES_DECLARED_LAYER
10	HERBAL	f10r	H1	f10r.2	10	a6939862e33ece5a0483	etyd	[GENRE:gegen Stechen im Leib] [GENRE:verwahre den Rest verschlossen]	LOCAL_EXEMPLAR_WHOLE_CARD	NO_SEMANTIC_RECOVERY_WITHOUT_EXEMPLAR	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	F001	EXACT_ID_AND_ORDER_WITH_CODEBOOK;SOURCE_CONTENT_REQUIRES_DECLARED_LAYER
