comparison_axis	model	persistent_register_slots	codebook_key_count	covered_existing_groups	fully_reconstructable_source_statements	external_exemplar_payload_entries	failure_or_cost	verdict
SILENT_REGISTER_STATE	NO_PERSISTENT_STATE	0	0;STATE_ONLY_COMPARISON	NOT_APPLICABLE	9/116	STILL_REQUIRED	216 missing silent-slot instances	INSUFFICIENT_FOR_COMPLETE_CREATIVE_READING
SILENT_REGISTER_STATE	STRONGEST_ONE_REGISTER	1	0;STATE_ONLY_COMPARISON	NOT_APPLICABLE	27/116	STILL_REQUIRED	111 missing silent-slot instances	INSUFFICIENT_FOR_COMPLETE_CREATIVE_READING
SILENT_REGISTER_STATE	STRONGEST_TWO_REGISTER	2	0;STATE_ONLY_COMPARISON	NOT_APPLICABLE	88/116	STILL_REQUIRED	28 missing silent-slot instances	INSUFFICIENT_FOR_COMPLETE_CREATIVE_READING
SILENT_REGISTER_STATE	STRONGEST_THREE_REGISTER	3	0;STATE_ONLY_COMPARISON	NOT_APPLICABLE	107/116	STILL_REQUIRED	9 missing silent-slot instances	INSUFFICIENT_FOR_COMPLETE_CREATIVE_READING
SILENT_REGISTER_STATE	FULL_FOUR_REGISTER_MACHINE	4	0;STATE_ONLY_COMPARISON	NOT_APPLICABLE	116/116	STILL_REQUIRED	0 missing silent-slot instances	SUFFICIENT_FOR_ALL_116_CREATIVE_READINGS
CODEBOOK_AND_EXEMPLAR	MNEMONIC_ONLY	4_FOR_PROSE;ASTRO_BYPASS	11	85/776	0/116_WITHOUT_LOCAL_PAYLOAD	REQUIRED_FOR_COMPLETE_SOURCE	691 groups lack even this global prompt	FORMAL_ONLY
CODEBOOK_AND_EXEMPLAR	FORMAL_PROMPT_ONLY	4_FOR_PROSE;ASTRO_BYPASS	4	45/776	0/116_WITHOUT_LOCAL_PAYLOAD	REQUIRED_FOR_COMPLETE_SOURCE	731 groups lack this formal prompt; one card overlaps mnemonic deck	FORMAL_ONLY
CODEBOOK_AND_EXEMPLAR	UNION_GLOBAL_CONTROL	4_FOR_PROSE;ASTRO_BYPASS	14	119/776	0/116_WITHOUT_LOCAL_PAYLOAD	REQUIRED_FOR_COMPLETE_SOURCE	657 groups lack a global prompt; 262/381 prose events remain exemplar-only	FORMAL_ONLY
CODEBOOK_AND_EXEMPLAR	FULL_PROSE_OPAQUE_DECK	4_FOR_PROSE;ASTRO_BYPASS	173	381/776	0/116_WITHOUT_LOCAL_PAYLOAD	REQUIRED_FOR_COMPLETE_SOURCE	identity only; 202 occurrences still require renderer-variant selector	FORMAL_ONLY
CODEBOOK_AND_EXEMPLAR	FULL_LOCAL_RENDERER	4_FOR_PROSE;ASTRO_BYPASS	568	776/776	0/116_WITHOUT_LOCAL_PAYLOAD	REQUIRED_FOR_COMPLETE_SOURCE	173 prose IDs plus 395 Astro-local group keys; source intention absent	COMPLETE_EXISTING_RELEASE_NOT_GENERATIVE_CODEC
CODEBOOK_AND_EXEMPLAR	AGGREGATED_SOURCE_EXEMPLARS	4_FOR_PROSE;ASTRO_BYPASS	258	776/776	116/116_WITH_EMBEDDED_PAYLOAD	258_AGGREGATED_WITH_ALIGNMENT	116 prose clauses plus 142 Astro loci; embedded group alignment still stored	COMPLETE_EXISTING_RELEASE_NOT_GENERATIVE_CODEC
CODEBOOK_AND_EXEMPLAR	EVENT_LEVEL_SOURCE_PAYLOAD	4_FOR_PROSE;ASTRO_BYPASS	776	776/776	116/116_WITH_EMBEDDED_PAYLOAD	776_EVENT_LEVEL	complete selected payload, but no productivity beyond published occurrences	COMPLETE_EXISTING_RELEASE_NOT_GENERATIVE_CODEC
