record	page	first_event	initial_owner	initialization	internal_scene_shifts	internal_shift_events	copy_instruction_de
H1	f10r	E001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	AUTOMATIC_FROM_VISIBLE_RECORD_OWNER	0	NONE	Bildbesitzer setzen; Kartenfolge bis zum nächsten sichtbaren Szenenwechsel fortführen.
H2	f10r	E015	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	AUTOMATIC_FROM_VISIBLE_RECORD_OWNER	0	NONE	Bildbesitzer setzen; Kartenfolge bis zum nächsten sichtbaren Szenenwechsel fortführen.
H3	f11r	E039	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	AUTOMATIC_FROM_VISIBLE_RECORD_OWNER	0	NONE	Bildbesitzer setzen; Kartenfolge bis zum nächsten sichtbaren Szenenwechsel fortführen.
H4	f55v	E056	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	AUTOMATIC_FROM_VISIBLE_RECORD_OWNER	0	NONE	Bildbesitzer setzen; Kartenfolge bis zum nächsten sichtbaren Szenenwechsel fortführen.
H5	f56r	E074	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	AUTOMATIC_FROM_VISIBLE_RECORD_OWNER	0	NONE	Bildbesitzer setzen; Kartenfolge bis zum nächsten sichtbaren Szenenwechsel fortführen.
B1	f81v	E101	B1_SHARED_TWO_ROW_POOL	AUTOMATIC_FROM_VISIBLE_RECORD_OWNER	0	NONE	Bildbesitzer setzen; Kartenfolge bis zum nächsten sichtbaren Szenenwechsel fortführen.
B2	f82r	E167	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	AUTOMATIC_FROM_VISIBLE_RECORD_OWNER	4	E189|E198|E203|E212	Bildbesitzer setzen; Kartenfolge bis zum nächsten sichtbaren Szenenwechsel fortführen.
B3	f83r	E229	B3_UPPER_MARGIN_OPEN_FAN_STATION	AUTOMATIC_FROM_VISIBLE_RECORD_OWNER	4	E239|E248|E264|E291	Bildbesitzer setzen; Kartenfolge bis zum nächsten sichtbaren Szenenwechsel fortführen.
B4	f83r	E315	B4_MAIN_ARCH_LINKED_PAIR	AUTOMATIC_FROM_VISIBLE_RECORD_OWNER	2	E338|E356	Bildbesitzer setzen; Kartenfolge bis zum nächsten sichtbaren Szenenwechsel fortführen.
B5	f83r	E362	B5_LEFT_OPEN_FRINGE_STATION	AUTOMATIC_FROM_VISIBLE_RECORD_OWNER	0	NONE	Bildbesitzer setzen; Kartenfolge bis zum nächsten sichtbaren Szenenwechsel fortführen.
B6	f83r	E373	B6_RIGHT_S_RUN_MULTIPORT_STATION	AUTOMATIC_FROM_VISIBLE_RECORD_OWNER	0	NONE	Bildbesitzer setzen; Kartenfolge bis zum nächsten sichtbaren Szenenwechsel fortführen.
