owner_transition_no	event_id	statement_id	record	page	locus	owner_code	transition_kind	master_decision	allograph_block_starts_here	instruction_de
1	E001	H1-S001	H1	f10r	f10r.2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	AUTOMATIC_RECORD_OWNER_INITIALIZATION	NO	NO	Am Recordanfang den sichtbaren Hauptbesitzer automatisch laden.
2	E015	H2-S001	H2	f10r	f10r.6	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	AUTOMATIC_RECORD_OWNER_INITIALIZATION	NO	NO	Am Recordanfang den sichtbaren Hauptbesitzer automatisch laden.
3	E039	H3-S001	H3	f11r	f11r.1	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	AUTOMATIC_RECORD_OWNER_INITIALIZATION	NO	NO	Am Recordanfang den sichtbaren Hauptbesitzer automatisch laden.
4	E056	H4-S001	H4	f55v	f55v.5	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	AUTOMATIC_RECORD_OWNER_INITIALIZATION	NO	NO	Am Recordanfang den sichtbaren Hauptbesitzer automatisch laden.
5	E074	H5-S001	H5	f56r	f56r.5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	AUTOMATIC_RECORD_OWNER_INITIALIZATION	NO	NO	Am Recordanfang den sichtbaren Hauptbesitzer automatisch laden.
6	E101	B1-S001	B1	f81v	f81v.2	B1_SHARED_TWO_ROW_POOL	AUTOMATIC_RECORD_OWNER_INITIALIZATION	NO	NO	Am Recordanfang den sichtbaren Hauptbesitzer automatisch laden.
7	E167	B2-S001	B2	f82r	f82r.2	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	AUTOMATIC_RECORD_OWNER_INITIALIZATION	NO	YES	Am Recordanfang den sichtbaren Hauptbesitzer automatisch laden.
8	E189	B2-S007	B2	f82r	f82r.7	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	CONSCIOUS_INTERNAL_VISIBLE_SCENE_SHIFT	YES	NO	Innerhalb des Records zur neu sichtbaren lokalen Szene umschalten.
9	E198	B2-S011	B2	f82r	f82r.19	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	CONSCIOUS_INTERNAL_VISIBLE_SCENE_SHIFT	YES	YES	Innerhalb des Records zur neu sichtbaren lokalen Szene umschalten.
10	E203	B2-S012	B2	f82r	f82r.23	B2_LOWER_GREEN_MULTI_FIGURE_POOL	CONSCIOUS_INTERNAL_VISIBLE_SCENE_SHIFT	YES	NO	Innerhalb des Records zur neu sichtbaren lokalen Szene umschalten.
11	E212	B2-S015	B2	f82r	f82r.26	B2_LOWER_POOL_EDGE_STATIONS	CONSCIOUS_INTERNAL_VISIBLE_SCENE_SHIFT	YES	NO	Innerhalb des Records zur neu sichtbaren lokalen Szene umschalten.
12	E229	B3-S001	B3	f83r	f83r.3	B3_UPPER_MARGIN_OPEN_FAN_STATION	AUTOMATIC_RECORD_OWNER_INITIALIZATION	NO	NO	Am Recordanfang den sichtbaren Hauptbesitzer automatisch laden.
13	E239	B3-S005	B3	f83r	f83r.6	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	CONSCIOUS_INTERNAL_VISIBLE_SCENE_SHIFT	YES	NO	Innerhalb des Records zur neu sichtbaren lokalen Szene umschalten.
14	E248	B3-S010	B3	f83r	f83r.8	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	CONSCIOUS_INTERNAL_VISIBLE_SCENE_SHIFT	YES	NO	Innerhalb des Records zur neu sichtbaren lokalen Szene umschalten.
15	E264	B3-S016	B3	f83r	f83r.14	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	CONSCIOUS_INTERNAL_VISIBLE_SCENE_SHIFT	YES	YES	Innerhalb des Records zur neu sichtbaren lokalen Szene umschalten.
16	E291	B3-S026	B3	f83r	f83r.20	B3_MAIN_ARCH_LINKED_PAIR	CONSCIOUS_INTERNAL_VISIBLE_SCENE_SHIFT	YES	YES	Innerhalb des Records zur neu sichtbaren lokalen Szene umschalten.
17	E315	B4-S001	B4	f83r	f83r.25	B4_MAIN_ARCH_LINKED_PAIR	AUTOMATIC_RECORD_OWNER_INITIALIZATION	NO	NO	Am Recordanfang den sichtbaren Hauptbesitzer automatisch laden.
18	E338	B4-S011	B4	f83r	f83r.35	B4_MAIN_LEFT_OPEN_FRINGE_STATION	CONSCIOUS_INTERNAL_VISIBLE_SCENE_SHIFT	YES	NO	Innerhalb des Records zur neu sichtbaren lokalen Szene umschalten.
19	E356	B4-S015	B4	f83r	f83r.41	B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	CONSCIOUS_INTERNAL_VISIBLE_SCENE_SHIFT	YES	NO	Innerhalb des Records zur neu sichtbaren lokalen Szene umschalten.
20	E362	B5-S001	B5	f83r	f83r.47	B5_LEFT_OPEN_FRINGE_STATION	AUTOMATIC_RECORD_OWNER_INITIALIZATION	NO	NO	Am Recordanfang den sichtbaren Hauptbesitzer automatisch laden.
21	E373	B6-S001	B6	f83r	f83r.52	B6_RIGHT_S_RUN_MULTIPORT_STATION	AUTOMATIC_RECORD_OWNER_INITIALIZATION	NO	NO	Am Recordanfang den sichtbaren Hauptbesitzer automatisch laden.
