candidate_id	target_surface_provenance_only	gdt770_occurrences	gdt772_occurrences	occurrence_delta	gdt770_penalty	gdt772_penalty	penalty_delta	gdt770_delta_vs_null	gdt772_delta_vs_null	delta_vs_null_change	gdt770_failed_gates	gdt772_failed_gates	score_contract_changed	confirmed_lexeme
OLS_FINISHED_PRODUCT_COLATURA	ols	3	3	0	0	0	0	23	23	0	G07_ALL_LEAVE_ONE_PAGE_OUT_WINS	G07_ALL_LEAVE_ONE_PAGE_OUT_WINS	0	0
OLS_STRAIN_OPERATION	ols	3	3	0	8	8	0	15	15	0	G03_EVERY_RIVAL_MARGIN|G07_ALL_LEAVE_ONE_PAGE_OUT_WINS	G03_EVERY_RIVAL_MARGIN|G07_ALL_LEAVE_ONE_PAGE_OUT_WINS	0	0
OLS_NOMINAL_PREPARATION	ols	3	3	0	16	16	0	7	7	0	G03_EVERY_RIVAL_MARGIN|G04_ORPHANS_REMOVED|G05_ORPHAN_PAGES|G07_ALL_LEAVE_ONE_PAGE_OUT_WINS	G03_EVERY_RIVAL_MARGIN|G04_ORPHANS_REMOVED|G05_ORPHAN_PAGES|G07_ALL_LEAVE_ONE_PAGE_OUT_WINS	0	0
OLS_POSITIONAL_MEASURE_PRODUCT	ols	3	3	0	16	16	0	7	7	0	G01_BRANCH_PAGE_COVERAGE|G03_EVERY_RIVAL_MARGIN|G04_ORPHANS_REMOVED|G05_ORPHAN_PAGES|G06_POSITIONAL_BEATS_INVARIANT|G07_ALL_LEAVE_ONE_PAGE_OUT_WINS	G01_BRANCH_PAGE_COVERAGE|G03_EVERY_RIVAL_MARGIN|G04_ORPHANS_REMOVED|G05_ORPHAN_PAGES|G06_POSITIONAL_BEATS_INVARIANT|G07_ALL_LEAVE_ONE_PAGE_OUT_WINS	0	0
OLS_NULL	ols	3	3	0	23	23	0	0	0	0	NONE	NONE	0	0
OTAR_NOMINAL_TRANSITION_PREPARATION	otar	5	5	0	16	16	0	25	25	0	G03_EVERY_RIVAL_MARGIN|G07_ALL_LEAVE_ONE_PAGE_OUT_WINS	G03_EVERY_RIVAL_MARGIN|G07_ALL_LEAVE_ONE_PAGE_OUT_WINS	0	0
OTAR_GENERAL_SEQUENCE	otar	5	5	0	18	18	0	23	23	0	G03_EVERY_RIVAL_MARGIN|G07_ALL_LEAVE_ONE_PAGE_OUT_WINS	G03_EVERY_RIVAL_MARGIN|G07_ALL_LEAVE_ONE_PAGE_OUT_WINS	0	0
OTAR_NULL	otar	5	5	0	41	41	0	0	0	0	NONE	NONE	0	0
OTAR_ENDPOINT_UNTIL	otar	5	5	0	52	52	0	-11	-11	0	G01_BRANCH_PAGE_COVERAGE|G02_NULL_MARGIN|G03_EVERY_RIVAL_MARGIN|G05_ORPHAN_PAGES|G07_ALL_LEAVE_ONE_PAGE_OUT_WINS	G01_BRANCH_PAGE_COVERAGE|G02_NULL_MARGIN|G03_EVERY_RIVAL_MARGIN|G05_ORPHAN_PAGES|G07_ALL_LEAVE_ONE_PAGE_OUT_WINS	0	0
OL_NOMINAL_BASE	ol	5	15	10	28	56	28	13	71	58	G03_EVERY_RIVAL_MARGIN|G07_ALL_LEAVE_ONE_PAGE_OUT_WINS	G03_EVERY_RIVAL_MARGIN|G07_ALL_LEAVE_ONE_PAGE_OUT_WINS|G08_EXACT_TIE_TO_NULL	0	0
OL_POSITIONAL_RELATOR	ol	5	15	10	19	56	37	22	71	49	G01_BRANCH_PAGE_COVERAGE	G03_EVERY_RIVAL_MARGIN|G06_POSITIONAL_BEATS_INVARIANT|G07_ALL_LEAVE_ONE_PAGE_OUT_WINS|G08_EXACT_TIE_TO_NULL	0	0
OL_MEASURABLE_PRODUCT_RESULT	ol	5	15	10	32	76	44	9	51	42	G03_EVERY_RIVAL_MARGIN|G07_ALL_LEAVE_ONE_PAGE_OUT_WINS	G03_EVERY_RIVAL_MARGIN|G07_ALL_LEAVE_ONE_PAGE_OUT_WINS	0	0
OL_NULL	ol	5	15	10	41	127	86	0	0	0	NONE	NONE	0	0
CKHY_INVARIANT_MIX_OPERATION	ckhy	4	4	0	13	13	0	19	19	0	G07_ALL_LEAVE_ONE_PAGE_OUT_WINS	G07_ALL_LEAVE_ONE_PAGE_OUT_WINS	0	0
CKHY_INFUSION_DECOCTION_NOUN	ckhy	4	4	0	24	24	0	8	8	0	G03_EVERY_RIVAL_MARGIN|G04_ORPHANS_REMOVED|G05_ORPHAN_PAGES|G07_ALL_LEAVE_ONE_PAGE_OUT_WINS	G03_EVERY_RIVAL_MARGIN|G04_ORPHANS_REMOVED|G05_ORPHAN_PAGES|G07_ALL_LEAVE_ONE_PAGE_OUT_WINS	0	0
