case_id	occurrence_id	cohort_id	locus	page	ordinal	case_class	left_roles	right_roles	positional_branch	positional_requirements_hold	positional_penalty	nominal_penalty	product_penalty	null_penalty	positional_advantage_over_nominal	local_minimum_candidates	local_minimum_penalty	full_branch_declared	collateral_or_final_control	semantic_identity_credit	component_export_credit
G772-OL01	G772-L016:T02:TM-Q7M2	G772-L016	f112r.36	f112r	2	GDT771_FULL_LEFT_VALUE_RIGHT_TYPED	AMOUNT|VALUE	PREPARATION	LEFT_AMOUNT_OR_VALUE	1	0	4	0	9	4	OL_MEASURABLE_PRODUCT_RESULT|OL_POSITIONAL_RELATOR	0	1	0	0	0
G772-OL02	G772-L017:T07:TM-Q7M2	G772-L017	f30v.2	f30v	7	GDT771_FULL_LEFT_VALUE_RIGHT_TYPED	AMOUNT|VALUE	FIELD	LEFT_AMOUNT_OR_VALUE	1	0	4	12	9	4	OL_POSITIONAL_RELATOR	0	1	0	0	0
G772-OL03	G770-L009:T02:TM-Q7M2	G770-L009	f3r.19	f3r	2	GDT770_OTHER_TWO_SIDED_CONTROL	FIELD|MATERIAL|PATIENT|PREPARATION	FIELD|MATERIAL|PATIENT	OTHER_TWO_SIDED	1	8	12	16	13	4	OL_POSITIONAL_RELATOR	8	0	1	0	0
G772-OL04	G770-L012:T02:TM-Q7M2	G770-L012	f55v.10	f55v	2	GDT770_OTHER_TWO_SIDED_CONTROL	FIELD|MATERIAL|PREPARATION	AMOUNT	OTHER_TWO_SIDED	1	0	4	0	9	4	OL_MEASURABLE_PRODUCT_RESULT|OL_POSITIONAL_RELATOR	0	0	1	0	0
G772-OL05	G770-L012:T12:TM-Q7M2	G770-L012	f55v.10	f55v	12	GDT770_FINAL_ONE_SIDED_CONTROL	FIELD|MATERIAL|PATIENT	NONE	NO_LEGAL_BRANCH	0	11	4	8	5	-7	OL_NOMINAL_BASE	4	0	1	0	0
G772-OL06	G770-L008:T09:TM-Q7M2	G770-L008	f58r.13	f58r	9	GDT770_OTHER_TWO_SIDED_CONTROL	FIELD	FIELD|PROCESS	OTHER_TWO_SIDED	1	0	4	8	5	4	OL_POSITIONAL_RELATOR	0	0	1	0	0
G772-OL07	G772-L018:T02:TM-Q7M2	G772-L018	f75r.26	f75r	2	GDT771_FULL_LEFT_VALUE_RIGHT_TYPED	VALUE	PREPARATION	LEFT_AMOUNT_OR_VALUE	1	0	4	0	9	4	OL_MEASURABLE_PRODUCT_RESULT|OL_POSITIONAL_RELATOR	0	1	0	0	0
G772-OL08	G772-L018:T05:TM-Q7M2	G772-L018	f75r.26	f75r	5	COLLATERAL_DIRECTIONAL_CONTROL	VALUE	NONE	LEFT_AMOUNT_OR_VALUE	0	9	0	8	5	-9	OL_NOMINAL_BASE	0	0	1	0	0
G772-OL09	G770-L013:T02:TM-Q7M2	G770-L013	f78r.37	f78r	2	GDT770_OTHER_TWO_SIDED_CONTROL	FIELD|MATERIAL|PREPARATION	AMOUNT	OTHER_TWO_SIDED	1	0	4	0	9	4	OL_MEASURABLE_PRODUCT_RESULT|OL_POSITIONAL_RELATOR	0	0	1	0	0
G772-OL10	G772-L019:T02:TM-Q7M2	G772-L019	f81r.15	f81r	2	GDT771_FULL_LEFT_VALUE_RIGHT_TYPED	AMOUNT|VALUE	PREPARATION	LEFT_AMOUNT_OR_VALUE	1	0	4	0	9	4	OL_MEASURABLE_PRODUCT_RESULT|OL_POSITIONAL_RELATOR	0	1	0	0	0
G772-OL11	G772-L020:T04:TM-Q7M2	G772-L020	f81r.22	f81r	4	COLLATERAL_DIRECTIONAL_CONTROL	NONE	VALUE	NO_LEGAL_BRANCH	0	11	0	8	5	-11	OL_NOMINAL_BASE	0	0	1	0	0
G772-OL12	G772-L020:T06:TM-Q7M2	G772-L020	f81r.22	f81r	6	COLLATERAL_DIRECTIONAL_CONTROL	VALUE	AMOUNT|VALUE	LEFT_AMOUNT_OR_VALUE	0	17	0	16	13	-17	OL_NOMINAL_BASE	0	0	1	0	0
G772-OL13	G772-L020:T08:TM-Q7M2	G772-L020	f81r.22	f81r	8	GDT771_FULL_LEFT_VALUE_RIGHT_TYPED	AMOUNT|VALUE	FIELD|PROCESS	LEFT_AMOUNT_OR_VALUE	1	0	4	0	9	4	OL_MEASURABLE_PRODUCT_RESULT|OL_POSITIONAL_RELATOR	0	1	0	0	0
G772-OL14	G772-L021:T02:TM-Q7M2	G772-L021	f82r.33	f82r	2	GDT771_FULL_LEFT_VALUE_RIGHT_TYPED	AMOUNT|VALUE	PREPARATION	LEFT_AMOUNT_OR_VALUE	1	0	4	0	9	4	OL_MEASURABLE_PRODUCT_RESULT|OL_POSITIONAL_RELATOR	0	1	0	0	0
G772-OL15	G772-L022:T04:TM-Q7M2	G772-L022	f85r1.21	f85r1	4	GDT771_FULL_LEFT_VALUE_RIGHT_TYPED	AMOUNT|VALUE	FIELD|PREPARATION	LEFT_AMOUNT_OR_VALUE	1	0	4	0	9	4	OL_MEASURABLE_PRODUCT_RESULT|OL_POSITIONAL_RELATOR	0	1	0	0	0
