occurrence_id	cohort_id	locus	page	ordinal	surface_provenance_only	occurrence_class	left_roles	right_roles	left_reader_exact	right_reader_exact	null_orphan_ids	null_orphan_types	predicate_only_close	target_default_credit	target_role_credit	confirmed_lexeme	component_export_credit
G770-L001:T04:TM-V4C9	G770-L001	f32r.2	f32r	4	ckhy	GDT770_UNCHANGED_TARGET	FIELD|MATERIAL|PATIENT	FIELD|MATERIAL|PATIENT	1	1	G770-L001:O04:LEFT:PATIENT|G770-L001:O04:RIGHT:PATIENT|G770-L001:O04:BOTH:FIELD_EDGE	PATIENT|PATIENT|FIELD_EDGE	0	0	0	0	0
G770-L002:T03:TM-V4C9	G770-L002	f10v.2	f10v	3	ckhy	GDT770_UNCHANGED_TARGET	FIELD|VALUE	FIELD|MATERIAL|PATIENT	1	1	G770-L002:O03:LEFT:VALUE|G770-L002:O03:RIGHT:PATIENT|G770-L002:O03:BOTH:FIELD_EDGE	VALUE|PATIENT|FIELD_EDGE	0	0	0	0	0
G770-L003:T07:TM-H8R1	G770-L003	f83v.22	f83v	7	ols	GDT770_UNCHANGED_TARGET	FIELD|MATERIAL|PATIENT	NONE	1	0	G770-L003:O07:LEFT:PATIENT	PATIENT	0	0	0	0	0
G770-L004:T11:TM-H8R1	G770-L004	f104v.19	f104v	11	ols	GDT770_UNCHANGED_TARGET	FIELD|MATERIAL|PATIENT	FIELD|VALUE	1	1	G770-L004:O11:LEFT:PATIENT|G770-L004:O11:RIGHT:VALUE|G770-L004:O11:BOTH:FIELD_EDGE	PATIENT|VALUE|FIELD_EDGE	0	0	0	0	0
G770-L005:T10:TM-N5K6	G770-L005	f86v5.13	f86v5	10	otar	GDT770_UNCHANGED_TARGET	AMOUNT|VALUE	FIELD|VALUE	1	1	G770-L005:O10:LEFT:AMOUNT|G770-L005:O10:RIGHT:VALUE|G770-L005:O10:BOTH:FIELD_EDGE	AMOUNT|VALUE|FIELD_EDGE	0	0	0	0	0
G770-L006:T06:TM-N5K6	G770-L006	f75r.43	f75r	6	otar	GDT770_UNCHANGED_TARGET	FIELD|MATERIAL|PATIENT	CLOSE|ENDPOINT|FIELD|PRODUCT|RESULT	1	1	G770-L006:O06:LEFT:PATIENT|G770-L006:O06:RIGHT:RESULT|G770-L006:O06:BOTH:FIELD_EDGE	PATIENT|RESULT|FIELD_EDGE	0	0	0	0	0
G770-L007:T04:TM-N5K6	G770-L007	f115v.5	f115v	4	otar	GDT770_UNCHANGED_TARGET	ENDPOINT|FIELD	FIELD|PROCESS	1	1	G770-L007:O04:LEFT:RESULT|G770-L007:O04:BOTH:FIELD_EDGE	RESULT|FIELD_EDGE	0	0	0	0	0
G770-L008:T09:TM-Q7M2	G770-L008	f58r.13	f58r	9	ol	GDT770_OTHER_TWO_SIDED_CONTROL	FIELD	FIELD|PROCESS	1	1	G770-L008:O09:BOTH:FIELD_EDGE	FIELD_EDGE	0	0	0	0	0
G770-L009:T02:TM-Q7M2	G770-L009	f3r.19	f3r	2	ol	GDT770_OTHER_TWO_SIDED_CONTROL	FIELD|MATERIAL|PATIENT|PREPARATION	FIELD|MATERIAL|PATIENT	1	1	G770-L009:O02:LEFT:PATIENT|G770-L009:O02:RIGHT:PATIENT|G770-L009:O02:BOTH:FIELD_EDGE	PATIENT|PATIENT|FIELD_EDGE	0	0	0	0	0
G770-L010:T06:TM-V4C9	G770-L010	f17v.5	f17v	6	ckhy	GDT770_UNCHANGED_TARGET	FIELD|MATERIAL|PATIENT	NONE	1	0	G770-L010:O06:LEFT:PATIENT	PATIENT	0	0	0	0	0
G770-L011:T05:TM-V4C9	G770-L011	f24r.3	f24r	5	ckhy	GDT770_UNCHANGED_TARGET	FIELD	NONE	1	0	NONE	NONE	0	0	0	0	0
G770-L012:T02:TM-Q7M2	G770-L012	f55v.10	f55v	2	ol	GDT770_OTHER_TWO_SIDED_CONTROL	FIELD|MATERIAL|PREPARATION	AMOUNT	1	1	G770-L012:O02:RIGHT:AMOUNT|G770-L012:O02:BOTH:FIELD_EDGE	AMOUNT|FIELD_EDGE	0	0	0	0	0
G770-L012:T08:TM-N5K6	G770-L012	f55v.10	f55v	8	otar	GDT770_UNCHANGED_TARGET	ENDPOINT|FIELD|VALUE	NONE	1	0	G770-L012:O08:LEFT:VALUE	VALUE	0	0	0	0	0
G770-L012:T12:TM-Q7M2	G770-L012	f55v.10	f55v	12	ol	GDT770_FINAL_ONE_SIDED_CONTROL	FIELD|MATERIAL|PATIENT	NONE	1	0	G770-L012:O12:LEFT:PATIENT	PATIENT	0	0	0	0	0
G770-L013:T02:TM-Q7M2	G770-L013	f78r.37	f78r	2	ol	GDT770_OTHER_TWO_SIDED_CONTROL	FIELD|MATERIAL|PREPARATION	AMOUNT	1	1	G770-L013:O02:RIGHT:AMOUNT|G770-L013:O02:BOTH:FIELD_EDGE	AMOUNT|FIELD_EDGE	0	0	0	0	0
G770-L014:T08:TM-H8R1	G770-L014	f15v.7	f15v	8	ols	GDT770_UNCHANGED_TARGET	FIELD|MATERIAL|PATIENT	NONE	1	0	G770-L014:O08:LEFT:PATIENT	PATIENT	0	0	0	0	0
G770-L015:T07:TM-N5K6	G770-L015	f46v.2	f46v	7	otar	GDT770_UNCHANGED_TARGET	NONE	FIELD	0	1	NONE	NONE	0	0	0	0	0
G772-L016:T02:TM-Q7M2	G772-L016	f112r.36	f112r	2	ol	GDT771_FULL_LEFT_VALUE_RIGHT_TYPED	AMOUNT|VALUE	PREPARATION	1	1	G772-L016:O02:LEFT:AMOUNT|G772-L016:O02:BOTH:FIELD_EDGE	AMOUNT|FIELD_EDGE	0	0	0	0	0
G772-L017:T07:TM-Q7M2	G772-L017	f30v.2	f30v	7	ol	GDT771_FULL_LEFT_VALUE_RIGHT_TYPED	AMOUNT|VALUE	FIELD	1	1	G772-L017:O07:LEFT:AMOUNT|G772-L017:O07:BOTH:FIELD_EDGE	AMOUNT|FIELD_EDGE	0	0	0	0	0
G772-L018:T02:TM-Q7M2	G772-L018	f75r.26	f75r	2	ol	GDT771_FULL_LEFT_VALUE_RIGHT_TYPED	VALUE	PREPARATION	1	1	G772-L018:O02:LEFT:VALUE|G772-L018:O02:BOTH:FIELD_EDGE	VALUE|FIELD_EDGE	0	0	0	0	0
G772-L018:T05:TM-Q7M2	G772-L018	f75r.26	f75r	5	ol	COLLATERAL_DIRECTIONAL_CONTROL	VALUE	NONE	1	0	G772-L018:O05:LEFT:VALUE	VALUE	0	0	0	0	0
G772-L019:T02:TM-Q7M2	G772-L019	f81r.15	f81r	2	ol	GDT771_FULL_LEFT_VALUE_RIGHT_TYPED	AMOUNT|VALUE	PREPARATION	1	1	G772-L019:O02:LEFT:AMOUNT|G772-L019:O02:BOTH:FIELD_EDGE	AMOUNT|FIELD_EDGE	0	0	0	0	0
G772-L020:T04:TM-Q7M2	G772-L020	f81r.22	f81r	4	ol	COLLATERAL_DIRECTIONAL_CONTROL	NONE	VALUE	0	1	G772-L020:O04:RIGHT:VALUE	VALUE	0	0	0	0	0
G772-L020:T06:TM-Q7M2	G772-L020	f81r.22	f81r	6	ol	COLLATERAL_DIRECTIONAL_CONTROL	VALUE	AMOUNT|VALUE	1	1	G772-L020:O06:LEFT:VALUE|G772-L020:O06:RIGHT:AMOUNT|G772-L020:O06:BOTH:FIELD_EDGE	VALUE|AMOUNT|FIELD_EDGE	0	0	0	0	0
G772-L020:T08:TM-Q7M2	G772-L020	f81r.22	f81r	8	ol	GDT771_FULL_LEFT_VALUE_RIGHT_TYPED	AMOUNT|VALUE	FIELD|PROCESS	1	1	G772-L020:O08:LEFT:AMOUNT|G772-L020:O08:BOTH:FIELD_EDGE	AMOUNT|FIELD_EDGE	0	0	0	0	0
