world	target	previous_action	patient	patient_form	object	rule	debts	prior_state	later_events	row_status
C_A|B|D|O	f21r.12:4	f21r.12:3	f21r.12:2	chor	f21r.12:2	RESULT_OF_IMMEDIATELY_PRECEDING_WRITTEN_ACTION		"{""PHYSICAL:moisture"": ""wet"", ""PHYSICAL:thermal"": ""warm""}"	4	recorded
C_A|B|D|I	f21r.12:4	f21r.12:3	f21r.12:2	chor	f21r.12:2	RESULT_OF_IMMEDIATELY_PRECEDING_WRITTEN_ACTION		"{""PHYSICAL:moisture"": ""wet"", ""PHYSICAL:thermal"": ""warm""}"	4	recorded
C_A|B|H|O	f21r.12:4	f21r.12:3	f21r.12:2	chor	f21r.12:2	RESULT_OF_IMMEDIATELY_PRECEDING_WRITTEN_ACTION		"{""PHYSICAL:moisture"": ""wet"", ""PHYSICAL:thermal"": ""warm""}"	4	recorded
C_A|B|H|I	f21r.12:4	f21r.12:3	f21r.12:2	chor	f21r.12:2	RESULT_OF_IMMEDIATELY_PRECEDING_WRITTEN_ACTION		"{""PHYSICAL:moisture"": ""wet"", ""PHYSICAL:thermal"": ""warm""}"	4	recorded
C_A|J|D|O	f21r.12:4	f21r.12:3	f21r.12:2	chor	f21r.12:2	RESULT_OF_IMMEDIATELY_PRECEDING_WRITTEN_ACTION		"{""PHYSICAL:moisture"": ""wet"", ""PHYSICAL:thermal"": ""warm""}"	4	recorded
C_A|J|D|I	f21r.12:4	f21r.12:3	f21r.12:2	chor	f21r.12:2	RESULT_OF_IMMEDIATELY_PRECEDING_WRITTEN_ACTION		"{""PHYSICAL:moisture"": ""wet"", ""PHYSICAL:thermal"": ""warm""}"	4	recorded
C_A|J|H|O	f21r.12:4	f21r.12:3	f21r.12:2	chor	f21r.12:2	RESULT_OF_IMMEDIATELY_PRECEDING_WRITTEN_ACTION		"{""PHYSICAL:moisture"": ""wet"", ""PHYSICAL:thermal"": ""warm""}"	4	recorded
C_A|J|H|I	f21r.12:4	f21r.12:3	f21r.12:2	chor	f21r.12:2	RESULT_OF_IMMEDIATELY_PRECEDING_WRITTEN_ACTION		"{""PHYSICAL:moisture"": ""wet"", ""PHYSICAL:thermal"": ""warm""}"	4	recorded
C_A|M|D|O	f21r.12:4	f21r.12:3	f21r.12:2	chor	f21r.12:2	RESULT_OF_IMMEDIATELY_PRECEDING_WRITTEN_ACTION		"{""PHYSICAL:moisture"": ""wet"", ""PHYSICAL:thermal"": ""warm""}"	4	recorded
C_A|M|D|I	f21r.12:4	f21r.12:3	f21r.12:2	chor	f21r.12:2	RESULT_OF_IMMEDIATELY_PRECEDING_WRITTEN_ACTION		"{""PHYSICAL:moisture"": ""wet"", ""PHYSICAL:thermal"": ""warm""}"	4	recorded
