component	compact_value_de	allowed_diagnostic_fragments	component_cards	component_events	surface_rule_de
OK	ANSETZEN	ok	23	79	Diagnosefragment fuer Familienanforderung; exakte Karte behaelt gebundene Rendererzeichen.
CHD	UMSETZEN	ch	22	48	Diagnosefragment fuer Familienanforderung; exakte Karte behaelt gebundene Rendererzeichen.
SH	HALTEN	sh|ch|sch	20	25	Diagnosefragment fuer Familienanforderung; exakte Karte behaelt gebundene Rendererzeichen.
SHED	ABSETZEN	she|chee|te|shed	3	15	Diagnosefragment fuer Familienanforderung; exakte Karte behaelt gebundene Rendererzeichen.
CHK	WAERMEN	ch	4	7	Diagnosefragment fuer Familienanforderung; exakte Karte behaelt gebundene Rendererzeichen.
CTH	BEREIT	cth	8	15	Diagnosefragment fuer Familienanforderung; exakte Karte behaelt gebundene Rendererzeichen.
SOLK	AUFFANGEN	olk	5	7	Diagnosefragment fuer Familienanforderung; exakte Karte behaelt gebundene Rendererzeichen.
P	EINFUELLEN	p	3	3	Diagnosefragment fuer Familienanforderung; exakte Karte behaelt gebundene Rendererzeichen.
LSH	WASCHEN	lsh	2	3	Diagnosefragment fuer Familienanforderung; exakte Karte behaelt gebundene Rendererzeichen.
CFH	AUSWRINGEN	cfh	1	1	Diagnosefragment fuer Familienanforderung; exakte Karte behaelt gebundene Rendererzeichen.
CH	ABNEHMEN	ch	15	16	Diagnosefragment fuer Familienanforderung; exakte Karte behaelt gebundene Rendererzeichen.
T	EINTRAGEN	t	9	10	Diagnosefragment fuer Familienanforderung; exakte Karte behaelt gebundene Rendererzeichen.
K	ZUDOSIEREN	k	18	21	Diagnosefragment fuer Familienanforderung; exakte Karte behaelt gebundene Rendererzeichen.
S	TEILEN	s	1	1	Diagnosefragment fuer Familienanforderung; exakte Karte behaelt gebundene Rendererzeichen.
L	WEITERLEITEN	l	18	27	Diagnosefragment fuer Familienanforderung; exakte Karte behaelt gebundene Rendererzeichen.
OL	FORTSETZEN	ol|l	25	48	Diagnosefragment fuer Familienanforderung; exakte Karte behaelt gebundene Rendererzeichen.
OT	DANACH	ot	16	26	Diagnosefragment fuer Familienanforderung; exakte Karte behaelt gebundene Rendererzeichen.
AL	ZIEL	al	22	39	Diagnosefragment fuer Familienanforderung; exakte Karte behaelt gebundene Rendererzeichen.
AR	QUELLE	ar	10	14	Diagnosefragment fuer Familienanforderung; exakte Karte behaelt gebundene Rendererzeichen.
AIR	LAUF	air	5	5	Diagnosefragment fuer Familienanforderung; exakte Karte behaelt gebundene Rendererzeichen.
OR	ANSATZ	or	10	18	Diagnosefragment fuer Familienanforderung; exakte Karte behaelt gebundene Rendererzeichen.
HO	ZUTAT	ho	5	8	Diagnosefragment fuer Familienanforderung; exakte Karte behaelt gebundene Rendererzeichen.
CKH	DURCHLASS	ckh	9	14	Diagnosefragment fuer Familienanforderung; exakte Karte behaelt gebundene Rendererzeichen.
O	GANG	o	18	19	Diagnosefragment fuer Familienanforderung; exakte Karte behaelt gebundene Rendererzeichen.
Y	DIES	y	60	124	Diagnosefragment fuer Familienanforderung; exakte Karte behaelt gebundene Rendererzeichen.
AIN	PORTION	ain|an	8	18	Diagnosefragment fuer Familienanforderung; exakte Karte behaelt gebundene Rendererzeichen.
AIIN	MASS	aiin	10	39	Diagnosefragment fuer Familienanforderung; exakte Karte behaelt gebundene Rendererzeichen.
IIN	STUFE	iin	3	4	Diagnosefragment fuer Familienanforderung; exakte Karte behaelt gebundene Rendererzeichen.
E	KURZ	e	34	49	Diagnosefragment fuer Familienanforderung; exakte Karte behaelt gebundene Rendererzeichen.
EE	LANG	ee|e	17	40	Diagnosefragment fuer Familienanforderung; exakte Karte behaelt gebundene Rendererzeichen.
EEE	VOLL	eee	2	2	Diagnosefragment fuer Familienanforderung; exakte Karte behaelt gebundene Rendererzeichen.
R	KUEHLEN	r	6	6	Diagnosefragment fuer Familienanforderung; exakte Karte behaelt gebundene Rendererzeichen.
AN	NACHGABE	an	1	1	Diagnosefragment fuer Familienanforderung; exakte Karte behaelt gebundene Rendererzeichen.
DA	ZWEIT	da	1	1	Diagnosefragment fuer Familienanforderung; exakte Karte behaelt gebundene Rendererzeichen.
LD	BEFESTIGEN	ld	1	1	Diagnosefragment fuer Familienanforderung; exakte Karte behaelt gebundene Rendererzeichen.
DY	SCHLUSS	dy	37	89	Diagnosefragment fuer Familienanforderung; exakte Karte behaelt gebundene Rendererzeichen.
OS	FACH	os	1	1	Diagnosefragment fuer Familienanforderung; exakte Karte behaelt gebundene Rendererzeichen.
RESUME_CARD	WIEDERAUFNEHMEN	chol	1	2	Diagnosefragment fuer Familienanforderung; exakte Karte behaelt gebundene Rendererzeichen.
TALAM	VERWAHREN	talam	1	1	Diagnosefragment fuer Familienanforderung; exakte Karte behaelt gebundene Rendererzeichen.
