renderer_residue	surface_forms	card_types	example_surfaces	working_role_de
NONE	78	75	cthoor os chair otytchol oky aiin ol cthy ycheor or cthaiin y	Direkte Komposition.
q	26	26	qoky qotchol qol qoctholy qotchor qokaiin qokal qokedy qolkain qokain qokchdy qokey	Gebundener Rahmen, Positionsallograph oder Schreiberzusatz; keine eigene Wortbedeutung.
ch	24	24	char chty choky chaiin okchy chol chor chy cholor oykchor cphy kchy	Gebundener Rahmen, Positionsallograph oder Schreiberzusatz; keine eigene Wortbedeutung.
d	19	19	dchey dar daiin etyd dy chodaiin dchol chdy dal dl dchdy dsheol	Gebundener Rahmen, Positionsallograph oder Schreiberzusatz; keine eigene Wortbedeutung.
s	18	18	sar saiin sol sor sy schol sho sal sshkchdy solkeedy solkaiin sotaiin	Gebundener Rahmen, Positionsallograph oder Schreiberzusatz; keine eigene Wortbedeutung.
che	9	9	chety cheol checthy chey cheal otchey lcheckhy lcheckhedy chealror	Gebundener Rahmen, Positionsallograph oder Schreiberzusatz; keine eigene Wortbedeutung.
ed	7	7	chedy lchedal lched lchedar pchedal shecthedchy chedain	Gebundener Rahmen, Positionsallograph oder Schreiberzusatz; keine eigene Wortbedeutung.
e	6	6	olchedy okchedy lchedy pchedy lochedy otchedy	Gebundener Rahmen, Positionsallograph oder Schreiberzusatz; keine eigene Wortbedeutung.
sh	5	5	shcthy shor shy shckhy shcthey	Gebundener Rahmen, Positionsallograph oder Schreiberzusatz; keine eigene Wortbedeutung.
t	5	5	taiin tol tal teol tshey	Gebundener Rahmen, Positionsallograph oder Schreiberzusatz; keine eigene Wortbedeutung.
c	4	4	chochor cho choy kchoar	Gebundener Rahmen, Positionsallograph oder Schreiberzusatz; keine eigene Wortbedeutung.
k	4	4	cheeky cheky chkeey chkeedy	Gebundener Rahmen, Positionsallograph oder Schreiberzusatz; keine eigene Wortbedeutung.
qch	3	3	qokchy qotchy qokokchy	Gebundener Rahmen, Positionsallograph oder Schreiberzusatz; keine eigene Wortbedeutung.
qe	3	3	qolchedy qokchedy qotchedy	Gebundener Rahmen, Positionsallograph oder Schreiberzusatz; keine eigene Wortbedeutung.
chd	2	2	cheedar chldaiin	Gebundener Rahmen, Positionsallograph oder Schreiberzusatz; keine eigene Wortbedeutung.
i	2	2	oiiin daiiin	Gebundener Rahmen, Positionsallograph oder Schreiberzusatz; keine eigene Wortbedeutung.
qd	2	2	qokeedal qotedaiin	Gebundener Rahmen, Positionsallograph oder Schreiberzusatz; keine eigene Wortbedeutung.
ai	1	1	kaiiin	Gebundener Rahmen, Positionsallograph oder Schreiberzusatz; keine eigene Wortbedeutung.
cd	1	1	chodaly	Gebundener Rahmen, Positionsallograph oder Schreiberzusatz; keine eigene Wortbedeutung.
chch	1	1	chokchy	Gebundener Rahmen, Positionsallograph oder Schreiberzusatz; keine eigene Wortbedeutung.
de	1	1	dchedy	Gebundener Rahmen, Positionsallograph oder Schreiberzusatz; keine eigene Wortbedeutung.
edch	1	1	chedchy	Gebundener Rahmen, Positionsallograph oder Schreiberzusatz; keine eigene Wortbedeutung.
fd	1	1	shfydaiin	Gebundener Rahmen, Positionsallograph oder Schreiberzusatz; keine eigene Wortbedeutung.
qche	1	1	qolchey	Gebundener Rahmen, Positionsallograph oder Schreiberzusatz; keine eigene Wortbedeutung.
sd	1	1	sotodan	Gebundener Rahmen, Positionsallograph oder Schreiberzusatz; keine eigene Wortbedeutung.
se	1	1	schedy	Gebundener Rahmen, Positionsallograph oder Schreiberzusatz; keine eigene Wortbedeutung.
sed	1	1	schedair	Gebundener Rahmen, Positionsallograph oder Schreiberzusatz; keine eigene Wortbedeutung.
si	1	1	soiiin	Gebundener Rahmen, Positionsallograph oder Schreiberzusatz; keine eigene Wortbedeutung.
te	1	1	tchedy	Gebundener Rahmen, Positionsallograph oder Schreiberzusatz; keine eigene Wortbedeutung.
y	1	1	ytey	Gebundener Rahmen, Positionsallograph oder Schreiberzusatz; keine eigene Wortbedeutung.
