card_no	surface	component_recipe	semantic_recipe_de	selected_diagnostic_fragments	renderer_residue	renderer_residue_length	surface_class	composition_mode	events	pages
PROC001	dchey	CH+E+Y	ABNEHMEN · KURZ · DIES	ch-e-y	d	1	ORDERED_COMPONENTS_PLUS_RENDERER	PRODUCTIVE_COMPOSITION	1	f10r
PROC002	cthoor	CTH+O+OR	BEREIT · GANG · ANSATZ	cth-o-or	NONE	0	DIRECT_COMPONENT_STRING	PRODUCTIVE_COMPOSITION	1	f10r
PROC003	char	AR	QUELLE	ar	ch	2	ORDERED_COMPONENTS_PLUS_RENDERER	PRODUCTIVE_COMPOSITION	5	f10r|f81v|f82r|f83r
PROC003	dar	AR	QUELLE	ar	d	1	ORDERED_COMPONENTS_PLUS_RENDERER	PRODUCTIVE_COMPOSITION	5	f10r|f81v|f82r|f83r
PROC003	sar	AR	QUELLE	ar	s	1	ORDERED_COMPONENTS_PLUS_RENDERER	PRODUCTIVE_COMPOSITION	5	f10r|f81v|f82r|f83r
PROC004	chety	T+Y	EINTRAGEN · DIES	t-y	che	3	ORDERED_COMPONENTS_PLUS_RENDERER	PRODUCTIVE_COMPOSITION	2	f10r|f83r
PROC004	chty	T+Y	EINTRAGEN · DIES	t-y	ch	2	ORDERED_COMPONENTS_PLUS_RENDERER	PRODUCTIVE_COMPOSITION	2	f10r|f83r
PROC005	os	OS	FACH	os	NONE	0	DIRECT_COMPONENT_STRING	MEMORIZED_WHOLE_COMMAND	1	f10r
PROC006	chair	CH+AIR	ABNEHMEN · LAUF	ch-air	NONE	0	DIRECT_COMPONENT_STRING	PRODUCTIVE_COMPOSITION	1	f10r
PROC007	otytchol	OT+Y+T+CH+OL	DANACH · DIES · EINTRAGEN · ABNEHMEN · FORTSETZEN	ot-y-t-ch-ol	NONE	0	DIRECT_COMPONENT_STRING	PRODUCTIVE_COMPOSITION	1	f10r
PROC008	choky	OK+Y	ANSETZEN · DIES	ok-y	ch	2	ORDERED_COMPONENTS_PLUS_RENDERER	PRODUCTIVE_COMPOSITION	10	f10r|f56r|f81v|f82r|f83r
PROC008	oky	OK+Y	ANSETZEN · DIES	ok-y	NONE	0	DIRECT_COMPONENT_STRING	PRODUCTIVE_COMPOSITION	10	f10r|f56r|f81v|f82r|f83r
PROC008	qoky	OK+Y	ANSETZEN · DIES	ok-y	q	1	ORDERED_COMPONENTS_PLUS_RENDERER	PRODUCTIVE_COMPOSITION	10	f10r|f56r|f81v|f82r|f83r
PROC009	aiin	AIIN	MASS	aiin	NONE	0	DIRECT_COMPONENT_STRING	PRODUCTIVE_COMPOSITION	20	f10r|f11r|f55v|f56r|f81v|f82r|f83r
PROC009	chaiin	AIIN	MASS	aiin	ch	2	ORDERED_COMPONENTS_PLUS_RENDERER	PRODUCTIVE_COMPOSITION	20	f10r|f11r|f55v|f56r|f81v|f82r|f83r
PROC009	daiin	AIIN	MASS	aiin	d	1	ORDERED_COMPONENTS_PLUS_RENDERER	PRODUCTIVE_COMPOSITION	20	f10r|f11r|f55v|f56r|f81v|f82r|f83r
PROC009	saiin	AIIN	MASS	aiin	s	1	ORDERED_COMPONENTS_PLUS_RENDERER	PRODUCTIVE_COMPOSITION	20	f10r|f11r|f55v|f56r|f81v|f82r|f83r
PROC009	taiin	AIIN	MASS	aiin	t	1	ORDERED_COMPONENTS_PLUS_RENDERER	PRODUCTIVE_COMPOSITION	20	f10r|f11r|f55v|f56r|f81v|f82r|f83r
PROC010	etyd	E+T+Y	KURZ · EINTRAGEN · DIES	e-t-y	d	1	ORDERED_COMPONENTS_PLUS_RENDERER	PRODUCTIVE_COMPOSITION	1	f10r
PROC011	chokchy	OK+Y	ANSETZEN · DIES	ok-y	chch	4	ORDERED_COMPONENTS_PLUS_RENDERER	PRODUCTIVE_COMPOSITION	3	f10r|f56r
PROC011	okchy	OK+Y	ANSETZEN · DIES	ok-y	ch	2	ORDERED_COMPONENTS_PLUS_RENDERER	PRODUCTIVE_COMPOSITION	3	f10r|f56r
PROC011	qokchy	OK+Y	ANSETZEN · DIES	ok-y	qch	3	ORDERED_COMPONENTS_PLUS_RENDERER	PRODUCTIVE_COMPOSITION	3	f10r|f56r
PROC012	qotchol	OT+CH+OL	DANACH · ABNEHMEN · FORTSETZEN	ot-ch-ol	q	1	ORDERED_COMPONENTS_PLUS_RENDERER	PRODUCTIVE_COMPOSITION	1	f10r
PROC013	cheol	OL	FORTSETZEN	ol	che	3	ORDERED_COMPONENTS_PLUS_RENDERER	PRODUCTIVE_COMPOSITION	19	f10r|f81v|f83r
PROC013	chol	OL	FORTSETZEN	ol	ch	2	ORDERED_COMPONENTS_PLUS_RENDERER	PRODUCTIVE_COMPOSITION	19	f10r|f81v|f83r
PROC013	ol	OL	FORTSETZEN	ol	NONE	0	DIRECT_COMPONENT_STRING	PRODUCTIVE_COMPOSITION	19	f10r|f81v|f83r
PROC013	qol	OL	FORTSETZEN	ol	q	1	ORDERED_COMPONENTS_PLUS_RENDERER	PRODUCTIVE_COMPOSITION	19	f10r|f81v|f83r
PROC013	sol	OL	FORTSETZEN	ol	s	1	ORDERED_COMPONENTS_PLUS_RENDERER	PRODUCTIVE_COMPOSITION	19	f10r|f81v|f83r
PROC013	tol	OL	FORTSETZEN	ol	t	1	ORDERED_COMPONENTS_PLUS_RENDERER	PRODUCTIVE_COMPOSITION	19	f10r|f81v|f83r
PROC014	checthy	CTH+Y	BEREIT · DIES	cth-y	che	3	ORDERED_COMPONENTS_PLUS_RENDERER	PRODUCTIVE_COMPOSITION	7	f10r|f11r|f83r
PROC014	cthy	CTH+Y	BEREIT · DIES	cth-y	NONE	0	DIRECT_COMPONENT_STRING	PRODUCTIVE_COMPOSITION	7	f10r|f11r|f83r
PROC014	shcthy	CTH+Y	BEREIT · DIES	cth-y	sh	2	ORDERED_COMPONENTS_PLUS_RENDERER	PRODUCTIVE_COMPOSITION	7	f10r|f11r|f83r
PROC015	ycheor	Y+CH+E+OR	DIES · ABNEHMEN · KURZ · ANSATZ	y-ch-e-or	NONE	0	DIRECT_COMPONENT_STRING	PRODUCTIVE_COMPOSITION	1	f10r
PROC016	chor	OR	ANSATZ	or	ch	2	ORDERED_COMPONENTS_PLUS_RENDERER	PRODUCTIVE_COMPOSITION	7	f10r|f55v|f83r
PROC016	or	OR	ANSATZ	or	NONE	0	DIRECT_COMPONENT_STRING	PRODUCTIVE_COMPOSITION	7	f10r|f55v|f83r
PROC016	shor	OR	ANSATZ	or	sh	2	ORDERED_COMPONENTS_PLUS_RENDERER	PRODUCTIVE_COMPOSITION	7	f10r|f55v|f83r
PROC016	sor	OR	ANSATZ	or	s	1	ORDERED_COMPONENTS_PLUS_RENDERER	PRODUCTIVE_COMPOSITION	7	f10r|f55v|f83r
PROC017	cthaiin	CTH+AIIN	BEREIT · MASS	cth-aiin	NONE	0	DIRECT_COMPONENT_STRING	PRODUCTIVE_COMPOSITION	1	f10r
PROC018	qoctholy	O+CTH+OL+Y	GANG · BEREIT · FORTSETZEN · DIES	o-cth-ol-y	q	1	ORDERED_COMPONENTS_PLUS_RENDERER	PRODUCTIVE_COMPOSITION	1	f10r
PROC019	chey	Y	DIES	y	che	3	ORDERED_COMPONENTS_PLUS_RENDERER	PRODUCTIVE_COMPOSITION	18	f10r|f11r|f55v|f81v|f82r|f83r
PROC019	chy	Y	DIES	y	ch	2	ORDERED_COMPONENTS_PLUS_RENDERER	PRODUCTIVE_COMPOSITION	18	f10r|f11r|f55v|f81v|f82r|f83r
PROC019	dy	Y	DIES	y	d	1	ORDERED_COMPONENTS_PLUS_RENDERER	PRODUCTIVE_COMPOSITION	18	f10r|f11r|f55v|f81v|f82r|f83r
PROC019	shy	Y	DIES	y	sh	2	ORDERED_COMPONENTS_PLUS_RENDERER	PRODUCTIVE_COMPOSITION	18	f10r|f11r|f55v|f81v|f82r|f83r
PROC019	sy	Y	DIES	y	s	1	ORDERED_COMPONENTS_PLUS_RENDERER	PRODUCTIVE_COMPOSITION	18	f10r|f11r|f55v|f81v|f82r|f83r
PROC019	y	Y	DIES	y	NONE	0	DIRECT_COMPONENT_STRING	PRODUCTIVE_COMPOSITION	18	f10r|f11r|f55v|f81v|f82r|f83r
PROC020	otchor	OT+CH+OR	DANACH · ABNEHMEN · ANSATZ	ot-ch-or	NONE	0	DIRECT_COMPONENT_STRING	PRODUCTIVE_COMPOSITION	2	f10r|f56r
PROC020	qotchor	OT+CH+OR	DANACH · ABNEHMEN · ANSATZ	ot-ch-or	q	1	ORDERED_COMPONENTS_PLUS_RENDERER	PRODUCTIVE_COMPOSITION	2	f10r|f56r
PROC021	otol	OT+OL	DANACH · FORTSETZEN	ot-ol	NONE	0	DIRECT_COMPONENT_STRING	PRODUCTIVE_COMPOSITION	1	f10r
PROC022	cholor	OL+OR	FORTSETZEN · ANSATZ	ol-or	ch	2	ORDERED_COMPONENTS_PLUS_RENDERER	PRODUCTIVE_COMPOSITION	2	f10r|f81v
PROC022	olor	OL+OR	FORTSETZEN · ANSATZ	ol-or	NONE	0	DIRECT_COMPONENT_STRING	PRODUCTIVE_COMPOSITION	2	f10r|f81v
PROC023	oykchor	O+Y+K+OR	GANG · DIES · ZUDOSIEREN · ANSATZ	o-y-k-or	ch	2	ORDERED_COMPONENTS_PLUS_RENDERER	PRODUCTIVE_COMPOSITION	1	f10r
PROC024	kaiiin	K+IIN	ZUDOSIEREN · STUFE	k-iin	ai	2	ORDERED_COMPONENTS_PLUS_RENDERER	PRODUCTIVE_COMPOSITION	1	f10r
PROC025	chodaiin	CH+O+AIIN	ABNEHMEN · GANG · MASS	ch-o-aiin	d	1	ORDERED_COMPONENTS_PLUS_RENDERER	PRODUCTIVE_COMPOSITION	1	f10r
PROC026	tshol	T+SH+OL	EINTRAGEN · HALTEN · FORTSETZEN	t-sh-ol	NONE	0	DIRECT_COMPONENT_STRING	PRODUCTIVE_COMPOSITION	1	f11r
PROC027	schoal	SH+O+AL	HALTEN · GANG · ZIEL	sch-o-al	NONE	0	DIRECT_COMPONENT_STRING	PRODUCTIVE_COMPOSITION	1	f11r
PROC028	cfhy	CFH+Y	AUSWRINGEN · DIES	cfh-y	NONE	0	DIRECT_COMPONENT_STRING	COMPOSITION_WITH_SINGLETON_ATOM	1	f11r
