card_no	surfaces	component_recipe	semantic_recipe_de	surface_forms	direct_forms	renderer_forms	max_renderer_residue_length	card_prediction_class	events	pages	copybook_rule_de
PROC001	dchey	CH+E+Y	ABNEHMEN · KURZ · DIES	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	1	f10r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC002	cthoor	CTH+O+OR	BEREIT · GANG · ANSATZ	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f10r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC003	char|dar|sar	AR	QUELLE	3	0	3	2	COMPOSED_WITH_BOUND_RENDERER	5	f10r|f81v|f82r|f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC004	chety|chty	T+Y	EINTRAGEN · DIES	2	0	2	3	COMPOSED_WITH_BOUND_RENDERER	2	f10r|f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC005	os	OS	FACH	1	1	0	0	MEMORIZED_WHOLE_COMMAND	1	f10r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC006	chair	CH+AIR	ABNEHMEN · LAUF	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f10r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC007	otytchol	OT+Y+T+CH+OL	DANACH · DIES · EINTRAGEN · ABNEHMEN · FORTSETZEN	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f10r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC008	choky|oky|qoky	OK+Y	ANSETZEN · DIES	3	1	2	2	COMPOSED_WITH_BOUND_RENDERER	10	f10r|f56r|f81v|f82r|f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC009	aiin|chaiin|daiin|saiin|taiin	AIIN	MASS	5	1	4	2	COMPOSED_WITH_BOUND_RENDERER	20	f10r|f11r|f55v|f56r|f81v|f82r|f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC010	etyd	E+T+Y	KURZ · EINTRAGEN · DIES	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	1	f10r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC011	chokchy|okchy|qokchy	OK+Y	ANSETZEN · DIES	3	0	3	4	COMPOSED_WITH_BOUND_RENDERER	3	f10r|f56r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC012	qotchol	OT+CH+OL	DANACH · ABNEHMEN · FORTSETZEN	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	1	f10r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC013	cheol|chol|ol|qol|sol|tol	OL	FORTSETZEN	6	1	5	3	COMPOSED_WITH_BOUND_RENDERER	19	f10r|f81v|f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC014	checthy|cthy|shcthy	CTH+Y	BEREIT · DIES	3	1	2	3	COMPOSED_WITH_BOUND_RENDERER	7	f10r|f11r|f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC015	ycheor	Y+CH+E+OR	DIES · ABNEHMEN · KURZ · ANSATZ	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f10r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC016	chor|or|shor|sor	OR	ANSATZ	4	1	3	2	COMPOSED_WITH_BOUND_RENDERER	7	f10r|f55v|f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC017	cthaiin	CTH+AIIN	BEREIT · MASS	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f10r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC018	qoctholy	O+CTH+OL+Y	GANG · BEREIT · FORTSETZEN · DIES	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	1	f10r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC019	chey|chy|dy|shy|sy|y	Y	DIES	6	1	5	3	COMPOSED_WITH_BOUND_RENDERER	18	f10r|f11r|f55v|f81v|f82r|f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC020	otchor|qotchor	OT+CH+OR	DANACH · ABNEHMEN · ANSATZ	2	1	1	1	COMPOSED_WITH_BOUND_RENDERER	2	f10r|f56r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC021	otol	OT+OL	DANACH · FORTSETZEN	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f10r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC022	cholor|olor	OL+OR	FORTSETZEN · ANSATZ	2	1	1	2	COMPOSED_WITH_BOUND_RENDERER	2	f10r|f81v	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC023	oykchor	O+Y+K+OR	GANG · DIES · ZUDOSIEREN · ANSATZ	1	0	1	2	COMPOSED_WITH_BOUND_RENDERER	1	f10r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
