physical_page	book_stage	unit_role_de	events	root_compositions	formula_cards	local_owner_values	canonical_page_reading_de	page_specific_correction_de
f10r	I_STOFF	Pflanzenartikel A	92	69	23	0	Vom gezeigten Kraut werden nacheinander Teile entnommen, in mehreren Gängen verarbeitet und bis zum gebrauchsfertigen Zustand geführt. Weitere Teile werden nach Sollmaß bereitgestellt und durch einen Durchlass weitergegeben. Der erste große Arbeitsgang schließt; der zweite bleibt als Fortsetzung offen.	NONE
f11r	I_STOFF	Pflanzenartikel B	59	46	13	0	Halte die bezeichneten Pflanzenteile, entnimm davon Portionen, gib sie in den Ansatz und arbeite sie weiter. Nach erneutem Halten wird ein Teil getrennt oder umgeleitet; der erste Zug schließt, der zweite Artikelzug bleibt offen.	NONE
f13r	I_STOFF	Pflanzenartikel C	77	54	23	0	Bereite den Ansatz, setze das bezeichnete Material ein und entnimm die benötigten Teile. Gib nach Sollmaß zu, halte den Posten, führe ihn durch den angegebenen Gang und schließe vier kurze Arbeitsschritte. Ein letzter Zusatz- und Ansatzschritt bleibt zur Fortsetzung offen.	NONE
f55v	I_STOFF	Pflanzenartikel D	106	81	25	0	Setze die Pflanzenzubereitung an und gib ihre Bestandteile in mehreren notierten Portionen zu. Stelle, behandle und versetze den Ansatz zwischen den angegebenen Stellen; entnimm zwischendurch Proben und führe sie durch den Durchlass. Vier Teilgänge schließen, der lange Hauptgang bleibt offen.	NONE
f56r	I_STOFF	Pflanzenartikel E	105	79	26	0	Entnimm aus dem gezeigten Pflanzenmaterial wiederholt kleine Anteile und setze sie in mehreren Stufen neu an. Gib weitere Anteile zu, halte und prüfe einzelne Züge und führe das Arbeitsgut zur nächsten Stelle. Zwei große Gänge schließen; der letzte bleibt als anschließende Verwendung offen.	NONE
f75r	III_ANWENDUNG	großes Bad-/Stationsblatt	418	189	219	10	Arbeite die gezeigten Bade- und Stationsposten zellenweise ab: ansetzen, kurz oder länger halten, zur nächsten Stelle umsetzen, dort neu ansetzen und den jeweiligen Schritt schließen. Entnahme, Zugabe, Auffangen und Absetzen erscheinen als lokale Varianten. Fast jede Zelle ist ein eigener kleiner Arbeitsauftrag, nicht Teil eines einzigen langen Satzes.	Sieben Zeilen bilden ein gemeinsames dreieckiges Einsatzregister.
f81v	III_ANWENDUNG	gemeinsames Badfeld	255	143	110	2	Setze den jeweiligen Posten an der gezeigten Station an, gib die bezeichnete Menge zu und halte sie für die notierte Stufe. Führe das Arbeitsgut danach über den nächsten Lauf, setze es dort neu an und lass einzelne Züge absetzen. Die Seite ist eine Folge geschlossener Anwendungs- und Transferzellen.	NONE
f82r	III_ANWENDUNG	mehrere Bad- und Leitungsstationen	291	144	134	13	Wähle an jeder dargestellten Station den aktiven Posten, setze ihn an, markiere seinen Zustand und führe ihn über Anschluss oder Durchlass weiter. Wiederhole Zugabe, Halten und Umsetzen gemäß der örtlichen Zeichnung; fange einzelne Ausgänge auf. Fast alle Stationszellen schließen für sich.	NONE
f83r	III_ANWENDUNG	Variantenatlas der Stationen	345	177	164	4	Diese Seite verzeichnet viele kurze Varianten desselben Stationsbetriebs: auswählen, ansetzen, halten, umsetzen, am neuen Ort wieder ansetzen und schließlich absetzen oder auffangen. Die sichtbaren Becken und Verbindungen bestimmen jeweils den Besitzer; der Text liefert die lokale Handlung und Stufe. Es gibt keinen einzigen durchgehenden Kreislauf, sondern viele abgeschlossene Varianten.	NONE
f67r2	IV_ZEIT_UND_AUSWAHL	zwei Himmelsräder und Tabelle	190	112	14	64	Wähle den bezeichneten Ring- oder Tabellenposten, führe die für ihn eingetragene Operation aus und wechsle zur zugeordneten Stelle oder Stufe. Wiederholtes Auswählen, Einstellen und Kennzeichnen spricht eine Nachschlagetafel, nicht eine fortlaufende Pflanzen- oder Badrezeptur. Nur wenige Blöcke schließen ausdrücklich.	NONE
f68r1	IV_ZEIT_UND_AUSWAHL	mehrteilige Sternstellentafel	65	24	7	34	Entnimm oder wähle den bezeichneten Eintrag, führe seine lokale Anweisung aus und ordne ihn der markierten Sternstelle zu. Die drei Textblöcke begleiten räumliche Stationen; sie ergeben keine feste Umlaufrichtung und keine Verbindung zur benachbarten 28er-Seite.	NONE
f69v	IV_ZEIT_UND_AUSWAHL	drei getrennte Himmelsverzeichnisse	140	0	0	140	Die Seite hat drei getrennte Adressräume. Das linke Rad besitzt 28 lokale Plätze; die beiden anderen Räder haben eigene Klassen und Einträge. Die Karten ergeben keine lineare 28-Schritt-Anweisung.	NONE
f70v	IV_ZEIT_UND_AUSWAHL	Widder- und Fischring	218	0	0	218	Die Ringtexte bezeichnen Figurenplätze des Widderrads: Reihe, Klasse, nächster Platz, Grad, Quell- oder Zielstelle und lokaler Wert. AIR bedeutet hier Ringlauf, nicht Wasser. Die Ringtexte bezeichnen die Plätze und Unterplätze des Fischpaars, wählen die jeweilige Reihe und tragen Grad oder Wert ein. Auch hier sind die Karten Adressen, keine Werkstattverben.	NONE
f88r	II_ZUBEREITUNG	Gefäß- und Zutatenregister	150	102	32	16	Wähle aus den bezeichneten Vorrats- oder Zutatenposten, entnimm den nötigen Anteil, setze die Zubereitung an und gib weitere Bestandteile zu. Halte, prüfe und verteile den Ansatz auf die angegebenen Stellen; einzelne Passagen führen durch einen Durchlass. Die Seite liest sich als kompaktes Zubereitungs- und Zuteilungsregister.	NONE
