component_no	component	sentence_role	atomic_meaning_de	grammar_contribution_de	card_types	events	is_independent_full_verb
C01	AIIN	QUANTITY	vorgeschriebenes Maß	liefert das Sollmaß	10	39	NO
C02	AIN	QUANTITY	Portion	liefert eine abgeteilte Menge	9	19	NO
C03	AIR	PATH_MEDIUM	laufender Bestand	liefert Lauf oder strömendes Medium	5	5	NO
C04	AL	TARGET	bezeichnete Stelle	liefert das Ziel	22	39	NO
C05	AR	SOURCE	von dort	liefert die Quelle	10	14	NO
C06	CFH	ACTION	auswringen	führt Auswringen aus	1	1	YES
C07	CH	ACTION	abziehen	führt Abziehen aus	15	16	YES
C08	CHD	ACTION	umsetzen	führt Umsetzen aus	22	48	YES
C09	CHK	ACTION	wärmen	führt Erwärmen aus	4	7	YES
C10	CKH	PATH_MEDIUM	Durchlass	liefert Durchlass oder Gang	9	14	NO
C11	CTH	STATE	bereit	fordert den Bereitschaftszustand	8	15	NO
C12	DA	MODIFIER	zweite	markiert die zweite Stufe	1	1	NO
C13	DY	CLOSE	Schluss	schließt nur in der lizenzierten Kartenkonstruktion	37	89	NO
C14	E	GRADE	kurz	markiert kurze oder direkte Ausführung	34	49	NO
C15	EE	GRADE	länger	markiert anhaltende Ausführung	17	40	NO
C16	EEE	GRADE	vollständig	markiert vollständige Ausführung	2	2	NO
C17	HO	MATERIAL	Gabe	liefert die einzusetzende Gabe	5	8	NO
C18	IIN	STATE	Sollstufe	liefert eine Zielstufe	3	4	NO
C19	K	ACTION	zuführen	führt Zuführung aus	18	21	YES
C20	L	ACTION	führen	führt entlang eines Wegs	18	27	YES
C21	LD	ACTION	befestigen	führt Befestigung aus	1	1	YES
C22	LS	SEQUENCE	weiter	setzt die laufende Folge fort	1	1	NO
C23	LSH	ACTION	waschen	führt einen Waschgang aus	2	3	YES
C24	O	PROCESS	Arbeitsgang	liefert den bezeichneten Vorgang	18	19	NO
C25	OK	ACTION	ansetzen	setzt Posten oder Vorgang an	23	79	YES
C26	OL	SEQUENCE	fortsetzen	setzt Posten oder Ansatz fort	25	49	NO
C27	OR	PREPARATION	Ansatz	liefert die aktuelle Zubereitung	10	18	NO
C28	OS	TARGET	Arbeitsfach	liefert das ausgewählte Arbeitsfach	1	1	NO
C29	OT	SEQUENCE	danach	ordnet die folgende Einheit an	16	26	NO
C30	P	ACTION	hineingeben	führt in einen Empfänger hinein	3	3	YES
C31	R	ACTION	abkühlen	führt Abkühlung aus	6	6	YES
C32	S	ACTION	teilen	teilt den laufenden Posten	1	1	YES
C33	SH	ACTION	halten	hält den laufenden Posten	20	25	YES
C34	SHED	ACTION	absetzen	lässt den Posten absetzen	3	15	YES
C35	SOLK	ACTION	auffangen	fängt den laufenden Bestand auf	5	7	YES
C36	T	ACTION	eintragen	trägt den Posten in einen Platz ein	9	10	YES
C37	TALAM	ACTION	verwahren	verwahrt den laufenden Posten	1	1	YES
C38	Y	ITEM	dieser Posten	bindet den aktuell gemeinten Arbeitsgegenstand	60	124	NO
