card_no	component_parse	role_signature	clause_type	head_actions	argument_components	modifier_components	has_close	role_based_reading_de	old_component_reading_de	occurrences	sections	records	composition_status
PROC001	CH+E+Y	ACTION+GRADE+ITEM	ACTION_CLAUSE	CH	Y	E	NO	diesen Posten kurz abziehen	abziehen · kurz · dies	1	HERBAL	H1	COMPOSITIONAL
PROC002	CTH+O+OR	STATE+PROCESS+PREPARATION	STATE_OR_GRADE_PHRASE	NONE	O|OR	CTH	NO	bereit · Arbeitsgang · Ansatz	bereit · Arbeitsgang · Ansatz	1	HERBAL	H1	COMPOSITIONAL
PROC003	AR	SOURCE	ARGUMENT_OR_ADDRESS	NONE	AR	NONE	NO	von dort	von dort	5	HERBAL|BIOLOGICAL	H1|H2|B1|B2|B3	COMPOSITIONAL
PROC004	T+Y	ACTION+ITEM	ACTION_CLAUSE	T	Y	NONE	NO	diesen Posten eintragen	eintragen · dies	2	HERBAL|BIOLOGICAL	H1|B3	COMPOSITIONAL
PROC005	OS	TARGET	ARGUMENT_OR_ADDRESS	NONE	OS	NONE	NO	Arbeitsfach	Arbeitsfach	1	HERBAL	H1	LEARNED_WHOLE_CARD
PROC006	CH+AIR	ACTION+PATH_MEDIUM	ACTION_CLAUSE	CH	AIR	NONE	NO	den laufenden Posten durch laufender Bestand abziehen	abziehen · Lauf	1	HERBAL	H1	COMPOSITIONAL
PROC007	OT+Y+T+CH+OL	SEQUENCE+ITEM+ACTION+ACTION+SEQUENCE	ACTION_CLAUSE	T|CH	Y	OT|OL	NO	danach fortsetzen diesen Posten eintragen und abziehen	danach · dies · eintragen · abziehen · fortsetzen	1	HERBAL	H1	COMPOSITIONAL
PROC008	OK+Y	ACTION+ITEM	ACTION_CLAUSE	OK	Y	NONE	NO	diesen Posten ansetzen	ansetzen · dies	10	HERBAL|BIOLOGICAL	H1|H5|B1|B2|B3|B4	COMPOSITIONAL
PROC009	AIIN	QUANTITY	ARGUMENT_OR_ADDRESS	NONE	AIIN	NONE	NO	vorgeschriebenes Maß	Maß	20	HERBAL|BIOLOGICAL	H1|H2|H3|H4|H5|B1|B2|B3|B4|B5|B6	COMPOSITIONAL
PROC010	E+T+Y	GRADE+ACTION+ITEM	ACTION_CLAUSE	T	Y	E	NO	diesen Posten kurz eintragen	kurz · eintragen · dies	1	HERBAL	H1	COMPOSITIONAL
PROC011	OK+Y	ACTION+ITEM	ACTION_CLAUSE	OK	Y	NONE	NO	diesen Posten ansetzen	ansetzen · dies	3	HERBAL	H1|H5	COMPOSITIONAL
PROC012	OT+CH+OL	SEQUENCE+ACTION+SEQUENCE	ACTION_CLAUSE	CH	NONE	OT|OL	NO	danach fortsetzen den laufenden Posten abziehen	danach · abziehen · fortsetzen	1	HERBAL	H1	COMPOSITIONAL
PROC013	OL	SEQUENCE	SEQUENCE_OR_CONTINUATION	NONE	NONE	OL	NO	fortsetzen	fortsetzen	19	HERBAL|BIOLOGICAL	H1|H2|B1|B3|B4|B5|B6	COMPOSITIONAL
PROC014	CTH+Y	STATE+ITEM	STATE_OR_GRADE_PHRASE	NONE	Y	CTH	NO	bereit · dieser Posten	bereit · dies	7	HERBAL|BIOLOGICAL	H1|H2|H3|B3	COMPOSITIONAL
PROC015	Y+CH+E+OR	ITEM+ACTION+GRADE+PREPARATION	ACTION_CLAUSE	CH	Y|OR	E	NO	diesen Posten kurz abziehen	dies · abziehen · kurz · Ansatz	1	HERBAL	H2	COMPOSITIONAL
PROC016	OR	PREPARATION	ARGUMENT_OR_ADDRESS	NONE	OR	NONE	NO	Ansatz	Ansatz	7	HERBAL|BIOLOGICAL	H2|H4|B3|B4	COMPOSITIONAL
PROC017	CTH+AIIN	STATE+QUANTITY	STATE_OR_GRADE_PHRASE	NONE	AIIN	CTH	NO	bereit · vorgeschriebenes Maß	bereit · Maß	1	HERBAL	H2	COMPOSITIONAL
PROC018	O+CTH+OL+Y	PROCESS+STATE+SEQUENCE+ITEM	STATE_OR_GRADE_PHRASE	NONE	O|Y	CTH|OL	NO	Arbeitsgang · bereit · fortsetzen · dieser Posten	Arbeitsgang · bereit · fortsetzen · dies	1	HERBAL	H2	COMPOSITIONAL
PROC019	Y	ITEM	ARGUMENT_OR_ADDRESS	NONE	Y	NONE	NO	dieser Posten	dies	18	HERBAL|BIOLOGICAL	H2|H3|H4|B1|B2|B3|B4|B6	COMPOSITIONAL
PROC020	OT+CH+OR	SEQUENCE+ACTION+PREPARATION	ACTION_CLAUSE	CH	OR	OT	NO	danach den Ansatz abziehen	danach · abziehen · Ansatz	2	HERBAL	H2|H5	COMPOSITIONAL
PROC021	OT+OL	SEQUENCE+SEQUENCE	SEQUENCE_OR_CONTINUATION	NONE	NONE	OT|OL	NO	danach · fortsetzen	danach · fortsetzen	1	HERBAL	H2	COMPOSITIONAL
PROC022	OL+OR	SEQUENCE+PREPARATION	SEQUENCE_OR_CONTINUATION	NONE	OR	OL	NO	fortsetzen · Ansatz	fortsetzen · Ansatz	2	HERBAL|BIOLOGICAL	H2|B1	COMPOSITIONAL
PROC023	O+Y+K+OR	PROCESS+ITEM+ACTION+PREPARATION	ACTION_CLAUSE	K	O|Y|OR	NONE	NO	diesen Posten zuführen	Arbeitsgang · dies · zuführen · Ansatz	1	HERBAL	H2	COMPOSITIONAL
PROC024	K+IIN	ACTION+STATE	ACTION_CLAUSE	K	NONE	IIN	NO	den laufenden Posten zuführen bis Sollstufe	zuführen · Sollstufe	1	HERBAL	H2	COMPOSITIONAL
PROC025	CH+O+AIIN	ACTION+PROCESS+QUANTITY	ACTION_CLAUSE	CH	O|AIIN	NONE	NO	den Arbeitsgang nach vorgeschriebenes Maß abziehen	abziehen · Arbeitsgang · Maß	1	HERBAL	H2	COMPOSITIONAL
PROC026	T+SH+OL	ACTION+ACTION+SEQUENCE	ACTION_CLAUSE	T|SH	NONE	OL	NO	fortsetzen den laufenden Posten eintragen und halten	eintragen · halten · fortsetzen	1	HERBAL	H3	COMPOSITIONAL
PROC027	SH+O+AL	ACTION+PROCESS+TARGET	ACTION_CLAUSE	SH	O|AL	NONE	NO	den Arbeitsgang an bezeichnete Stelle halten	halten · Arbeitsgang · Zielstelle	1	HERBAL	H3	COMPOSITIONAL
PROC028	CFH+Y	ACTION+ITEM	ACTION_CLAUSE	CFH	Y	NONE	NO	diesen Posten auswringen	auswringen · dies	1	HERBAL	H3	PARTIAL_WITH_LEARNED_ATOM
PROC029	SH+Y+AIIN	ACTION+ITEM+QUANTITY	ACTION_CLAUSE	SH	Y|AIIN	NONE	NO	diesen Posten nach vorgeschriebenes Maß halten	halten · dies · Maß	1	HERBAL	H3	COMPOSITIONAL
PROC030	P+Y	ACTION+ITEM	ACTION_CLAUSE	P	Y	NONE	NO	diesen Posten hineingeben	hinein · dies	1	HERBAL	H3	COMPOSITIONAL
PROC031	SH+EE+Y	ACTION+GRADE+ITEM	ACTION_CLAUSE	SH	Y	EE	NO	diesen Posten länger halten	halten · länger · dies	4	HERBAL|BIOLOGICAL	H3|B2|B4	COMPOSITIONAL
PROC032	T+CH+O+DY	ACTION+ACTION+PROCESS+CLOSE	ACTION_CLAUSE	T|CH	O	NONE	YES	den Arbeitsgang eintragen und abziehen; Schritt schließen	eintragen · abziehen · Arbeitsgang · Schluss	1	HERBAL	H3	COMPOSITIONAL
PROC033	SH+O+Y+T+Y	ACTION+PROCESS+ITEM+ACTION+ITEM	ACTION_CLAUSE	SH|T	O|Y|Y	NONE	NO	diesen Posten halten und eintragen	halten · Arbeitsgang · dies · eintragen · dies	1	HERBAL	H3	COMPOSITIONAL
PROC034	OL	SEQUENCE	SEQUENCE_OR_CONTINUATION	NONE	NONE	OL	NO	fortsetzen	fortsetzen	2	HERBAL	H3|H5	COMPOSITIONAL
PROC035	K+Y	ACTION+ITEM	ACTION_CLAUSE	K	Y	NONE	NO	diesen Posten zuführen	zuführen · dies	1	HERBAL	H3	COMPOSITIONAL
PROC036	OT+Y	SEQUENCE+ITEM	SEQUENCE_OR_CONTINUATION	NONE	Y	OT	NO	danach · dieser Posten	danach · dies	1	HERBAL	H3	COMPOSITIONAL
PROC037	OK+OL	ACTION+SEQUENCE	ACTION_CLAUSE	OK	NONE	OL	NO	fortsetzen den laufenden Posten ansetzen	ansetzen · fortsetzen	1	HERBAL	H3	COMPOSITIONAL
PROC038	OK+AIIN	ACTION+QUANTITY	ACTION_CLAUSE	OK	AIIN	NONE	NO	den laufenden Posten nach vorgeschriebenes Maß ansetzen	ansetzen · Maß	9	HERBAL|BIOLOGICAL	H4|B1|B2|B3	COMPOSITIONAL
PROC039	Y+K+AIN	ITEM+ACTION+QUANTITY	ACTION_CLAUSE	K	Y|AIN	NONE	NO	diesen Posten nach Portion zuführen	dies · zuführen · Portion	1	HERBAL	H4	COMPOSITIONAL
PROC040	Y+K+AIN	ITEM+ACTION+QUANTITY	ACTION_CLAUSE	K	Y|AIN	NONE	NO	diesen Posten nach Portion zuführen	dies · zuführen · Portion	1	HERBAL	H4	COMPOSITIONAL
PROC041	O+DY	PROCESS+CLOSE	CLOSE_WITHOUT_ACTION	NONE	O	NONE	YES	Arbeitsgang; Schritt schließen	Arbeitsgang · Schluss	1	HERBAL	H4	COMPOSITIONAL
PROC042	CHD+Y	ACTION+ITEM	ACTION_CLAUSE	CHD	Y	NONE	NO	diesen Posten umsetzen	umsetzen · dies	11	HERBAL|BIOLOGICAL	H4|B1|B3|B4|B5	COMPOSITIONAL
PROC043	TALAM	ACTION	ACTION_CLAUSE	TALAM	NONE	NONE	NO	den laufenden Posten verwahren	verwahren	1	HERBAL	H4	LEARNED_WHOLE_CARD
PROC044	Y+K+AIIN	ITEM+ACTION+QUANTITY	ACTION_CLAUSE	K	Y|AIIN	NONE	NO	diesen Posten nach vorgeschriebenes Maß zuführen	dies · zuführen · Maß	1	HERBAL	H4	COMPOSITIONAL
