event_id	page	record	statement_id	surface	card_no	clause_type	role_based_reading_de	silent_owner_de	component_values_unchanged
E001	f10r	H1	H1-S001	dchey	PROC001	ACTION_CLAUSE	diesen Posten kurz abziehen	abgebildete breit gezähnte radialblütige Pflanze	YES
E002	f10r	H1	H1-S001	cthoor	PROC002	STATE_OR_GRADE_PHRASE	bereit · Arbeitsgang · Ansatz	abgebildete breit gezähnte radialblütige Pflanze	YES
E003	f10r	H1	H1-S001	char	PROC003	ARGUMENT_OR_ADDRESS	von dort	abgebildete breit gezähnte radialblütige Pflanze	YES
E004	f10r	H1	H1-S001	chty	PROC004	ACTION_CLAUSE	diesen Posten eintragen	abgebildete breit gezähnte radialblütige Pflanze	YES
E005	f10r	H1	H1-S001	os	PROC005	ARGUMENT_OR_ADDRESS	Arbeitsfach	abgebildete breit gezähnte radialblütige Pflanze	YES
E006	f10r	H1	H1-S001	chair	PROC006	ACTION_CLAUSE	den laufenden Posten durch laufender Bestand abziehen	abgebildete breit gezähnte radialblütige Pflanze	YES
E007	f10r	H1	H1-S001	otytchol	PROC007	ACTION_CLAUSE	danach fortsetzen diesen Posten eintragen und abziehen	abgebildete breit gezähnte radialblütige Pflanze	YES
E008	f10r	H1	H1-S001	oky	PROC008	ACTION_CLAUSE	diesen Posten ansetzen	abgebildete breit gezähnte radialblütige Pflanze	YES
E009	f10r	H1	H1-S001	daiin	PROC009	ARGUMENT_OR_ADDRESS	vorgeschriebenes Maß	abgebildete breit gezähnte radialblütige Pflanze	YES
E010	f10r	H1	H1-S001	etyd	PROC010	ACTION_CLAUSE	diesen Posten kurz eintragen	abgebildete breit gezähnte radialblütige Pflanze	YES
E011	f10r	H1	H1-S002	qokchy	PROC011	ACTION_CLAUSE	diesen Posten ansetzen	abgebildete breit gezähnte radialblütige Pflanze	YES
E012	f10r	H1	H1-S002	qotchol	PROC012	ACTION_CLAUSE	danach fortsetzen den laufenden Posten abziehen	abgebildete breit gezähnte radialblütige Pflanze	YES
E013	f10r	H1	H1-S002	chol	PROC013	SEQUENCE_OR_CONTINUATION	fortsetzen	abgebildete breit gezähnte radialblütige Pflanze	YES
E014	f10r	H1	H1-S002	cthy	PROC014	STATE_OR_GRADE_PHRASE	bereit · dieser Posten	abgebildete breit gezähnte radialblütige Pflanze	YES
E015	f10r	H2	H2-S001	ycheor	PROC015	ACTION_CLAUSE	diesen Posten kurz abziehen	abgebildete breit gezähnte radialblütige Pflanze	YES
E016	f10r	H2	H2-S001	cthy	PROC014	STATE_OR_GRADE_PHRASE	bereit · dieser Posten	abgebildete breit gezähnte radialblütige Pflanze	YES
E017	f10r	H2	H2-S001	chor	PROC016	ARGUMENT_OR_ADDRESS	Ansatz	abgebildete breit gezähnte radialblütige Pflanze	YES
E018	f10r	H2	H2-S001	cthaiin	PROC017	STATE_OR_GRADE_PHRASE	bereit · vorgeschriebenes Maß	abgebildete breit gezähnte radialblütige Pflanze	YES
E019	f10r	H2	H2-S001	qoctholy	PROC018	STATE_OR_GRADE_PHRASE	Arbeitsgang · bereit · fortsetzen · dieser Posten	abgebildete breit gezähnte radialblütige Pflanze	YES
E020	f10r	H2	H2-S001	dy	PROC019	ARGUMENT_OR_ADDRESS	dieser Posten	abgebildete breit gezähnte radialblütige Pflanze	YES
E021	f10r	H2	H2-S001	chy	PROC019	ARGUMENT_OR_ADDRESS	dieser Posten	abgebildete breit gezähnte radialblütige Pflanze	YES
E022	f10r	H2	H2-S001	taiin	PROC009	ARGUMENT_OR_ADDRESS	vorgeschriebenes Maß	abgebildete breit gezähnte radialblütige Pflanze	YES
E023	f10r	H2	H2-S001	shy	PROC019	ARGUMENT_OR_ADDRESS	dieser Posten	abgebildete breit gezähnte radialblütige Pflanze	YES
E024	f10r	H2	H2-S002	qotchor	PROC020	ACTION_CLAUSE	danach den Ansatz abziehen	abgebildete breit gezähnte radialblütige Pflanze	YES
E025	f10r	H2	H2-S002	chor	PROC016	ARGUMENT_OR_ADDRESS	Ansatz	abgebildete breit gezähnte radialblütige Pflanze	YES
E026	f10r	H2	H2-S002	otol	PROC021	SEQUENCE_OR_CONTINUATION	danach · fortsetzen	abgebildete breit gezähnte radialblütige Pflanze	YES
E027	f10r	H2	H2-S002	chol	PROC013	SEQUENCE_OR_CONTINUATION	fortsetzen	abgebildete breit gezähnte radialblütige Pflanze	YES
E028	f10r	H2	H2-S002	cholor	PROC022	SEQUENCE_OR_CONTINUATION	fortsetzen · Ansatz	abgebildete breit gezähnte radialblütige Pflanze	YES
