page	record	locus	field_ordinal	visible_source_field	closure	boundary_reading	complete_field_translation	editorial_sentence_rendering
f10r	1	f10r.2	1	dchey cthoor char chty os chair otytchol oky daiin etyd	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	take the fibrous lower root; wash it in running water; from the same prepared batch; work it until evenly homogeneous; reduce it to a coarse powder; add red wine; drink it for pain of the stomach; apply or use this portion; in the stated or usual measure; keep the remaining root dry	take the fibrous lower root; wash it in running water; from the same prepared batch; work it until evenly homogeneous; reduce it to a coarse powder; add red wine; drink it for pain of the stomach; apply or use this portion; in the stated or usual measure; keep the remaining root dry; [continue]
f10r	1	f10r.5	1	qokchy qotchol chol cthy	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	use the freshly prepared remedy; apply it while warm; with the foregoing preparation; when the preparation is ready	use the freshly prepared remedy; apply it while warm; with the foregoing preparation; when the preparation is ready; [continue]
f10r	2	f10r.6	1	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	it grows in damp meadow ground; when the preparation is ready; the prepared decoction or working liquid; add the expressed juice; boil it gently; this present portion; this present portion; in the stated or usual measure; this present portion	it grows in damp meadow ground; when the preparation is ready; the prepared decoction or working liquid; add the expressed juice; boil it gently; this present portion; this present portion; in the stated or usual measure; this present portion; [continue]
f10r	2	f10r.8	1	qotchor chor otol chol cholor chol daiin dar	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	gathered before flowering; the prepared decoction or working liquid; one handful; with the foregoing preparation; from the foregoing batch; with the foregoing preparation; in the stated or usual measure; from the same prepared batch	gathered before flowering; the prepared decoction or working liquid; one handful; with the foregoing preparation; from the foregoing batch; with the foregoing preparation; in the stated or usual measure; from the same prepared batch; [continue]
f10r	2	f10r.9	1	oykchor shor chor chy kaiiin dy chodaiin	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	when its flower has opened; the prepared decoction or working liquid; the prepared decoction or working liquid; this present portion; until a bitter taste remains; this present portion; preserve that portion under oil	when its flower has opened; the prepared decoction or working liquid; the prepared decoction or working liquid; this present portion; until a bitter taste remains; this present portion; preserve that portion under oil; [continue]
f11r	1	f11r.1	1	tshol schoal cfhy shfydaiin cphy shey tchody	DY	COMMIT_LOCAL_STEP	gather the root in spring; from shaded woodland; before the flowering crown opens; press the bruised root through cloth; strain the liquor a second time; until the liquid runs clear; leave the strained liquor uncovered to cool	gather the root in spring; from shaded woodland; before the flowering crown opens; press the bruised root through cloth; strain the liquor a second time; until the liquid runs clear; leave the strained liquor uncovered to cool. [step committed]
f11r	1	f11r.1	2	shoyty	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	reserve the flowering crown	reserve the flowering crown; [continue]
f11r	1	f11r.4	1	dchol chy kchy dy daiin	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	of this pictured simple; this present portion; bind it upon a swollen place; this present portion; in the stated or usual measure	of this pictured simple; this present portion; bind it upon a swollen place; this present portion; in the stated or usual measure; [continue]
f11r	1	f11r.7	1	qotchy okchol cthy dy	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	make a warm poultice from its leaves; lay it on while warm; when the preparation is ready; this present portion	make a warm poultice from its leaves; lay it on while warm; when the preparation is ready; this present portion; [continue]
f55v	1	f55v.5	1	qokaiin chaiin ykain ykan ody	DY	COMMIT_LOCAL_STEP	begin the next measured entry; in the stated or usual measure; boil the broad leaf gently; in white wine; steep it until the liquor is clear	begin the next measured entry; in the stated or usual measure; boil the broad leaf gently; in white wine; steep it until the liquor is clear. [step committed]
f55v	1	f55v.5	2	daiin chedy talam	B3	COMMIT_RECORD_OR_MAJOR_STEP	in the stated or usual measure; stir until evenly mixed; wash the sore place once	in the stated or usual measure; stir until evenly mixed; wash the sore place once. [major step committed]
f55v	1	f55v.11	1	ykaiin cheoar cheeky oldy	DY	COMMIT_LOCAL_STEP	for its second medicinal use; add white wine; while still warm; boil gently; close the rubric	for its second medicinal use; add white wine; while still warm; boil gently; close the rubric. [step committed]
f55v	1	f55v.11	2	aiin okal oltchy or y orain	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	in the stated or usual measure; mix the two portions together; keep it in a covered jar; the prepared decoction or working liquid; this present portion; use the finished liquor fresh	in the stated or usual measure; mix the two portions together; keep it in a covered jar; the prepared decoction or working liquid; this present portion; use the finished liquor fresh; [continue]
f56r	1	f56r.5	1	chochor cho chodaly daiin	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	gather the plant in spring; then take the following ingredient or plant part; the thin lower root; in the stated or usual measure	gather the plant in spring; then take the following ingredient or plant part; the thin lower root; in the stated or usual measure; [continue]
