headword_id	headword_de	selection_mode	exact_card_types	occurrences	surface_families	encoder_question_de	choice_map_de	apprentice_rule_de
W01_ZUSATZ	ZUSATZ	ONLY_FORM	1	2	dl	Schreibe die einzige Karte dl.	dl = allgemeiner Zusatz	Gib den Zusatz zum laufenden Ansatz.
W02_GEFAESS	GEFAESS	SEMANTIC_VARIANT_MENU	3	3	os;ly;oykchor	Welche Gefaessaufgabe hat der Posten?	os = Mischgefaess; oykchor = Zubereitungsgefaess; ly = Auffang-/Haltegefaess	Das Bild und die Stelle waehlen die Gefaessform.
W03_KUEHLEN	KUEHLEN	SEMANTIC_VARIANT_MENU	2	2	tchody;ody	Wird ein Fertigprodukt oder eine Portion gekuehlt?	tchody = Fertigprodukt kaltstellen; ody = Portion abkuehlen	Kuehle den bezeichneten Posten und schliesse.
W04_ROH	ROH	ONLY_FORM	1	1	qekey	Schreibe die einzige Karte qekey.	qekey = roher Posten	Nimm den Posten im rohen Zustand.
W05_TUCH	TUCH	ONLY_FORM	1	2	dain	Schreibe die einzige Karte dain.	dain = Arbeitstuch	Lege das Tuch am bezeichneten Posten ein.
W06_SCHWENKEN	SCHWENKEN	ONLY_FORM	1	1	sshkchdy	Schreibe die einzige Karte sshkchdy.	sshkchdy = einmal schwenken und schliessen	Schwenke den Posten und schliesse.
W07_PFLANZENTEIL	PFLANZENTEIL	SEMANTIC_VARIANT_MENU	2	2	dchey;sh	Welchen Teil zeigt der Bildbesitzer?	dchey = Wurzel; sh = Staengel	Die Zeichnung waehlt Wurzel oder Staengel.
W08_WASCHEN	WASCHEN	SEMANTIC_VARIANT_MENU	2	2	rshedy;lkedy	Ist dies der ganze Waschgang oder ein Nachwaschen?	rshedy = Waschgang; lkedy = nachwaschen	Fuehre den Waschgang aus und schliesse.
W09_AUFTRAGEN	AUFTRAGEN	ONLY_FORM	1	1	cheeckhody	Schreibe die einzige Karte cheeckhody.	cheeckhody = auftragen und schliessen	Trage den Posten auf und schliesse.
W10_FUELLEN	FUELLEN	ONLY_FORM	1	1	ytey	Schreibe die einzige Karte ytey.	ytey = Empfaenger fuellen	Fuelle den bezeichneten Empfaenger.
W11_KLARLAUF	KLARLAUF	RENDERER_ALLOGRAPH	1	4	cheey|shey	Bedeutung gleich lassen und die lokale Handform kopieren.	cheey und shey = dieselbe exakte Klarlaufkarte	Nimm den klaren Lauf als neuen Posten.
W12_TRENNEN	TRENNEN	SEMANTIC_VARIANT_MENU	2	2	cfhy;cphy	Liegt die grobe oder die feine Trennstufe vor?	cfhy = auswringen; cphy = nachseihen	Trenne zuerst grob und danach fein.
W13_FRISCHWASSER	FRISCHWASSER	ONLY_FORM	1	1	dshedy	Schreibe die einzige Karte dshedy.	dshedy = Frischwasser zugeben und schliessen	Gib Frischwasser zu und schliesse.
W14_VORIGES	VORIGES	RENDERER_ALLOGRAPH	1	2	dchol|schol	Bedeutung gleich lassen und die lokale Handform kopieren.	dchol und schol = dieselbe exakte Voriges-Karte	Nimm den im Record zuletzt aktiven Posten.
W15_TEILEN	TEILEN	ONLY_FORM	1	1	ches	Schreibe die einzige Karte ches.	ches = aktuellen Posten teilen	Teile den aktuellen Posten.
W16_BEFESTIGEN	BEFESTIGEN	ONLY_FORM	1	1	qokylddy	Schreibe die einzige Karte qokylddy.	qokylddy = befestigen und schliessen	Befestige den Posten und schliesse.
