event_serial	event_id	record_unit_id	page	locus	field_id	statement_id	headword_id	headword_de	selection_mode	semantic_variant_de	joint_tuple_id	surface_family	visible_surface	previous_surface	following_surface	source_trigger_de	exact_card_rule_de	renderer_rule_de	readback_de	statement_instruction_de
1	E001	H1	f10r	f10r.2	F001	H1-S001	W07_PFLANZENTEIL	PFLANZENTEIL	SEMANTIC_VARIANT_MENU	WURZEL	65f320e75510b2f38182	dchey	dchey	STATEMENT_START	cthoor	Die Pflanzenzeichnung liefert WURZEL; daher dchey.	Wenn der Bildbesitzer die Wurzel vorgibt, dchey nehmen.	Die exakte Kartenfamilie folgt der Bedeutungsunterart; zusaetzliche Huelle nicht neu uebersetzen.	Wurzel	Nimm die Wurzel, bereite den Ansatz, trenne daraus einen Teil ab, gib ihn in das Gefaess, gib den Wasserzulauf zu, fuehre den naechsten Teilposten weiter, setze ihn nach Sollmass an und behalte einen kleinen Restteil.
5	E005	H1	f10r	f10r.2	F001	H1-S001	W02_GEFAESS	GEFAESS	SEMANTIC_VARIANT_MENU	MISCHGEFAESS	df1098831679a8ad1b39	os	os	chty	chair	Der frische Wurzelposten erhaelt danach Wasser; daher Mischgefaess os.	Fuer frischen Pflanzenstoff mit folgendem Fluessigkeitszulauf os nehmen.	Die exakte Kartenfamilie folgt der Bedeutungsunterart; zusaetzliche Huelle nicht neu uebersetzen.	Gefaess	Nimm die Wurzel, bereite den Ansatz, trenne daraus einen Teil ab, gib ihn in das Gefaess, gib den Wasserzulauf zu, fuehre den naechsten Teilposten weiter, setze ihn nach Sollmass an und behalte einen kleinen Restteil.
32	E032	H2	f10r	f10r.9	F005	H2-S003	W02_GEFAESS	GEFAESS	SEMANTIC_VARIANT_MENU	ZUBEREITUNGSGEFAESS	27d97af8c96eb056c2e6	oykchor	oykchor	STATEMENT_START	shor	Ein fortgefuehrter Folgeansatz geht in weitere Bearbeitung; daher Zubereitungsgefaess oykchor.	Fuer einen fortgefuehrten Folgeansatz vor weiterer Bearbeitung oykchor nehmen.	Die exakte Kartenfamilie folgt der Bedeutungsunterart; zusaetzliche Huelle nicht neu uebersetzen.	Gefaess	Gib den weitergefuehrten Folgeansatz in das Gefaess, bearbeite diesen Posten bis zur Weichstufe und stelle das Zutatenmass ein.
41	E041	H3	f11r	f11r.1	F006	H3-S001	W12_TRENNEN	TRENNEN	SEMANTIC_VARIANT_MENU	GROB_TRENNEN_ODER_AUSWRINGEN	bdad9f9ea8b80f141496	cfhy	cfhy	schoal	shfydaiin	Erste grobe Trennung vor der Standzeit; daher cfhy.	Vor der Standzeit die grobe Trennung mit cfhy schreiben.	Die exakte Kartenfamilie folgt der Bedeutungsunterart; zusaetzliche Huelle nicht neu uebersetzen.	auswringen	Entnimm eine Zutat, gib sie dorthin, wringe aus, lass bis zum Standmass stehen, seih nach, nimm den Klarlauf und stelle ihn kalt.
43	E043	H3	f11r	f11r.1	F006	H3-S001	W12_TRENNEN	TRENNEN	SEMANTIC_VARIANT_MENU	FEIN_TRENNEN_ODER_NACHSEIHEN	deb377381ceaf55ea310	cphy	cphy	shfydaiin	shey	Zweite feine Trennung nach der Standzeit und vor Klarlauf; daher cphy.	Nach der Standzeit vor dem Klarlauf die feine Trennung mit cphy schreiben.	Die exakte Kartenfamilie folgt der Bedeutungsunterart; zusaetzliche Huelle nicht neu uebersetzen.	nachseihen	Entnimm eine Zutat, gib sie dorthin, wringe aus, lass bis zum Standmass stehen, seih nach, nimm den Klarlauf und stelle ihn kalt.
44	E044	H3	f11r	f11r.1	F006	H3-S001	W11_KLARLAUF	KLARLAUF	RENDERER_ALLOGRAPH	KLARLAUF	b5df9126607030b95175	cheey|shey	shey	cphy	tchody	Klarlaufkopf; auf H3 wird die lokale Form shey kopiert.	Die exakte Karte bleibt gleich; cheey oder shey aus der lokalen Handvorlage kopieren.	Gleiche exakte Karte; lokale Oberflaeche shey kopieren, ohne Bedeutungswechsel.	Klarlauf	Entnimm eine Zutat, gib sie dorthin, wringe aus, lass bis zum Standmass stehen, seih nach, nimm den Klarlauf und stelle ihn kalt.
45	E045	H3	f11r	f11r.1	F006	H3-S001	W03_KUEHLEN	KUEHLEN	SEMANTIC_VARIANT_MENU	FERTIGPRODUKT_KALTSTELLEN	2e2027b1951d79911e24	tchody	tchody	shey	STATEMENT_END	Der eben gewonnene Klarlauf ist Fertigprodukt; daher tchody.	Nach dem Klarlauf das fertige Produkt mit tchody kaltstellen.	Die exakte Kartenfamilie folgt der Bedeutungsunterart; zusaetzliche Huelle nicht neu uebersetzen.	kalt stellen	Entnimm eine Zutat, gib sie dorthin, wringe aus, lass bis zum Standmass stehen, seih nach, nimm den Klarlauf und stelle ihn kalt.
47	E047	H3	f11r	f11r.4	F008	H3-S003	W14_VORIGES	VORIGES	RENDERER_ALLOGRAPH	VORIGEN_POSTEN_AUFNEHMEN	d665560c8ff80799a82c	dchol|schol	dchol	STATEMENT_START	chy	Voriges-Kopf; auf H3 wird die lokale Form dchol kopiert.	Die exakte Karte bleibt gleich; dchol oder schol aus der lokalen Handvorlage kopieren.	Gleiche exakte Karte; lokale Oberflaeche dchol kopieren, ohne Bedeutungswechsel.	Voriges	Nimm den Vorposten, bearbeite diesen Posten und stelle sein Sollmass ein.
60	E060	H4	f55v	f55v.5	F010	H4-S001	W03_KUEHLEN	KUEHLEN	SEMANTIC_VARIANT_MENU	PORTION_ABKUEHLEN	97cc9ac109148723c472	ody	ody	ykan	STATEMENT_END	Eine abgemessene Portion wird abgekuehlt; daher ody.	Eine bereits abgemessene Postenportion mit ody abkuehlen.	Die exakte Kartenfamilie folgt der Bedeutungsunterart; zusaetzliche Huelle nicht neu uebersetzen.	kühlen	Stelle das Sollmaß ein, nimm eine Postenportion und kühle diesen Anteil ab
83	E083	H5	f56r	f56r.8	F016	H5-S002	W14_VORIGES	VORIGES	RENDERER_ALLOGRAPH	VORIGEN_POSTEN_AUFNEHMEN	d665560c8ff80799a82c	dchol|schol	schol	STATEMENT_START	choy	Voriges-Kopf; auf H5 wird die lokale Form schol kopiert.	Die exakte Karte bleibt gleich; dchol oder schol aus der lokalen Handvorlage kopieren.	Gleiche exakte Karte; lokale Oberflaeche schol kopieren, ohne Bedeutungswechsel.	Voriges	Nimm vom Vorposten diese Zutat, setze sie an und trage sie auf.
86	E086	H5	f56r	f56r.8	F016	H5-S002	W09_AUFTRAGEN	AUFTRAGEN	ONLY_FORM	AUFTRAGEN	95987d6f198d6d247511	cheeckhody	cheeckhody	choky	STATEMENT_END	Bereiteten Posten auftragen und Zelle schliessen; daher cheeckhody.	Fuer den abgeschlossenen Auftrag des bereiteten Postens cheeckhody nehmen.	Die exakte Kartenfamilie folgt der Bedeutungsunterart; zusaetzliche Huelle nicht neu uebersetzen.	auftragen	Nimm vom Vorposten diese Zutat, setze sie an und trage sie auf.
87	E087	H5	f56r	f56r.12	F017	H5-S003	W07_PFLANZENTEIL	PFLANZENTEIL	SEMANTIC_VARIANT_MENU	STAENGEL	ad3581d3144f69a5912d	sh	sh	STATEMENT_START	cho	Die Pflanzenzeichnung liefert STAENGEL; daher sh.	Wenn der Bildbesitzer den Staengel vorgibt, sh nehmen.	Die exakte Kartenfamilie folgt der Bedeutungsunterart; zusaetzliche Huelle nicht neu uebersetzen.	Staengel	Nimm den Staengel als Zutat, bearbeite diesen Posten kurz und setze ihn erneut an.
112	E112	B1	f81v	f81v.2	F022	B1-S002	W01_ZUSATZ	ZUSATZ	ONLY_FORM	ALLGEMEINER_ZUSATZ	0f18de177ed7c878bf95	dl	dl	rol	olor	Unbenannter Zusatz zum laufenden Ansatz; daher dl.	Bei einem unbenannten Zusatz zum laufenden Ansatz dl nehmen.	Die exakte Kartenfamilie folgt der Bedeutungsunterart; zusaetzliche Huelle nicht neu uebersetzen.	Zusatz	Stelle das Sollmass ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, fuehre den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmass ein, halte dort laenger, leite durch, setze um und schliesse.
122	E122	B1	f81v	f81v.17	F025	B1-S003	W06_SCHWENKEN	SCHWENKEN	ONLY_FORM	EINMAL_SCHWENKEN	54e32e9c1414b20640e9	sshkchdy	sshkchdy	qol	STATEMENT_END	Ein einzelner geschlossener Schwenkgang; daher sshkchdy.	Fuer einen einzelnen abgeschlossenen Schwenkgang sshkchdy nehmen.	Die exakte Kartenfamilie folgt der Bedeutungsunterart; zusaetzliche Huelle nicht neu uebersetzen.	schwenken	Führe weiter, schwenke den Posten und schließe
129	E129	B1	f81v	f81v.17	F028	B1-S006	W01_ZUSATZ	ZUSATZ	ONLY_FORM	ALLGEMEINER_ZUSATZ	0f18de177ed7c878bf95	dl	dl	shckhy	ral	Unbenannter Zusatz zum laufenden Ansatz; daher dl.	Bei einem unbenannten Zusatz zum laufenden Ansatz dl nehmen.	Die exakte Kartenfamilie folgt der Bedeutungsunterart; zusaetzliche Huelle nicht neu uebersetzen.	Zusatz	Gib eine Portion und den Zusatz zu, leite durch, fuehre zur Zielstelle und uebergib an den folgenden Umsetzschritt.
150	E150	B1	f81v	f81v.24	F037	B1-S015	W10_FUELLEN	FUELLEN	ONLY_FORM	EMPFANGER_FUELLEN	a7af89ab31ce5e247395	ytey	ytey	STATEMENT_START	okchedy	Der sichtbare Empfaenger wird gefuellt; daher ytey.	Fuer das Fuellen des sichtbaren Empfaengers ytey nehmen.	Die exakte Kartenfamilie folgt der Bedeutungsunterart; zusaetzliche Huelle nicht neu uebersetzen.	fuellen	Fülle das Gefäß mit der abgeleiteten Arbeitsflüssigkeit, setze den Inhalt um und schließe
159	E159	B1	f81v	f81v.24	F040	B1-S018	W02_GEFAESS	GEFAESS	SEMANTIC_VARIANT_MENU	AUFFANG_ODER_HALTEGEFAESS	b38d70daefd663d74625	ly	ly	STATEMENT_START	dsheol	Bio-Empfangsstation zum Ruhen und Sammeln; daher ly.	Fuer eine Bio-Station, in der der Posten ruht oder gesammelt wird, ly nehmen.	Die exakte Kartenfamilie folgt der Bedeutungsunterart; zusaetzliche Huelle nicht neu uebersetzen.	Gefaess	Stelle das Gefaess bereit, lass den Posten kurz weiter ruhen, bringe ihn auf Sollstufe, sammle laenger und schliesse.
189	E189	B2	f82r	f82r.7	F053	B2-S007	W13_FRISCHWASSER	FRISCHWASSER	ONLY_FORM	FRISCHWASSER_ZUGEBEN	cbb42a4fe68068325d6b	dshedy	dshedy	STATEMENT_START	STATEMENT_END	Frischwasserzugabe als eigene Schlusszelle; daher dshedy.	Fuer Frischwasserzugabe mit Zellschluss dshedy nehmen.	Die exakte Kartenfamilie folgt der Bedeutungsunterart; zusaetzliche Huelle nicht neu uebersetzen.	Frischwasser	Gib dem weitergeführten Überlaufposten Frischwasser zu und schließe
197	E197	B2	f82r	f82r.7	F056	B2-S010	W11_KLARLAUF	KLARLAUF	RENDERER_ALLOGRAPH	KLARLAUF	b5df9126607030b95175	cheey|shey	cheey	ls	STATEMENT_END	Klarlaufkopf; in B2 wird die lokale Form cheey kopiert.	Die exakte Karte bleibt gleich; cheey oder shey aus der lokalen Handvorlage kopieren.	Gleiche exakte Karte; lokale Oberflaeche cheey kopieren, ohne Bedeutungswechsel.	Klarlauf	Setze laenger an, fuehre den Posten durch den Auslass und nimm den Klarlauf.
203	E203	B2	f82r	f82r.23	F059	B2-S012	W11_KLARLAUF	KLARLAUF	RENDERER_ALLOGRAPH	KLARLAUF	b5df9126607030b95175	cheey|shey	cheey	lchy	qcthey	Klarlaufkopf; in B2 wird die lokale Form cheey kopiert.	Die exakte Karte bleibt gleich; cheey oder shey aus der lokalen Handvorlage kopieren.	Gleiche exakte Karte; lokale Oberflaeche cheey kopieren, ohne Bedeutungswechsel.	Klarlauf	Ziehe den Posten ab, nimm den Klarlauf, halte ihn kurz bereit, setze ihn laenger an, fuehre den Klarlauf ab, stelle das Sollmass ein, fuehre den Posten vollstaendig aus und schliesse.
216	E216	B2	f82r	f82r.26	F063	B2-S016	W15_TEILEN	TEILEN	ONLY_FORM	AKTUELLEN_POSTEN_TEILEN	db729b598e89e11452e0	ches	ches	lchedar	aiin	Der laufende Posten wird geteilt; daher ches.	Fuer die Teilung des laufenden Postens ches nehmen.	Die exakte Kartenfamilie folgt der Bedeutungsunterart; zusaetzliche Huelle nicht neu uebersetzen.	teilen	Führe ihn dorthin und von dort ab, teile gleich, stelle das Sollmaß ein, nimm den langen Folgeposten, setze kurz an, führe ein und schließe
225	E225	B2	f82r	f82r.27	F067	B2-S019	W08_WASCHEN	WASCHEN	SEMANTIC_VARIANT_MENU	VOLLSTAENDIGER_WASCHGANG	7f68f60279efe6b28cd7	rshedy	rshedy	STATEMENT_START	STATEMENT_END	Eigenstaendige vollstaendige Waschzelle; daher rshedy.	Fuer eine eigenstaendige geschlossene Waschzelle rshedy nehmen.	Die exakte Kartenfamilie folgt der Bedeutungsunterart; zusaetzliche Huelle nicht neu uebersetzen.	Waschgang	Führe den Waschgang aus und schließe.
326	E326	B4	f83r	f83r.26	F113	B4-S004	W16_BEFESTIGEN	BEFESTIGEN	ONLY_FORM	POSTEN_BEFESTIGEN	eb2e4bc143f623ee03ac	qokylddy	qokylddy	STATEMENT_START	STATEMENT_END	Posten befestigen und Zelle schliessen; daher qokylddy.	Fuer Befestigen mit Zellschluss qokylddy nehmen.	Die exakte Kartenfamilie folgt der Bedeutungsunterart; zusaetzliche Huelle nicht neu uebersetzen.	befestigen	Befestige den Posten und schließe
327	E327	B4	f83r	f83r.27	F114	B4-S005	W05_TUCH	TUCH	ONLY_FORM	ARBEITSTUCH	53cd0637c6820ba5e91f	dain	dain	STATEMENT_START	chedy	Arbeitstuch in die laufende Station einlegen; daher dain.	Fuer das eingelegte Arbeitstuch dain nehmen.	Die exakte Kartenfamilie folgt der Bedeutungsunterart; zusaetzliche Huelle nicht neu uebersetzen.	Tuch	Lege das Tuch ein, setze um, setze länger an und schließe
344	E344	B4	f83r	f83r.37	F121	B4-S011	W08_WASCHEN	WASCHEN	SEMANTIC_VARIANT_MENU	NACHWASCHEN	b958a512ca6a3559e86e	lkedy	lkedy	sol	STATEMENT_END	Waschen nach mehreren vorausgehenden Arbeitsschritten; daher lkedy.	Nach vorausgehenden Bearbeitungsschritten fuer den letzten Waschgang lkedy nehmen.	Die exakte Kartenfamilie folgt der Bedeutungsunterart; zusaetzliche Huelle nicht neu uebersetzen.	nachwaschen	Stelle das Sollmaß ein, wärme kurz, führe länger fort, gib eine Portion zu, setze um, führe weiter, wasche nach und schließe
353	E353	B4	f83r	f83r.39	F125	B4-S015	W11_KLARLAUF	KLARLAUF	RENDERER_ALLOGRAPH	KLARLAUF	b5df9126607030b95175	cheey|shey	shey	qokain	kain	Klarlaufkopf; in B4 wird die lokale Form shey kopiert.	Die exakte Karte bleibt gleich; cheey oder shey aus der lokalen Handvorlage kopieren.	Gleiche exakte Karte; lokale Oberflaeche shey kopieren, ohne Bedeutungswechsel.	Klarlauf	Gib eine Portion zu, nimm den Klarlauf, leite die Portion zur Zielstelle, sammle kurz, fuehre ab und schliesse.
374	E374	B6	f83r	f83r.52	F134	B6-S001	W04_ROH	ROH	ONLY_FORM	ROHER_AUSGANGSPOSTEN	43eb9aa12959b4d5cdc9	qekey	qekey	solkeey	raly	Der Ausgangsposten wird ausdruecklich roh gefuehrt; daher qekey.	Fuer den unbehandelten Ausgangsposten qekey nehmen.	Die exakte Kartenfamilie folgt der Bedeutungsunterart; zusaetzliche Huelle nicht neu uebersetzen.	roh	Sammle den rohen Posten laenger, fuehre diesen Posten dorthin, stelle das Sollmass ein, lege das Tuch ein und fuehre den Posten zum Endziel.
